starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 20:39:42 2016	1461443982	0	173	173	164
Sat Apr 23 20:39:42 2016	1461443982	1	205	205	183
Sat Apr 23 20:39:20 2016	1461443960	0	216	216	209
Sat Apr 23 20:39:39 2016	1461443979	0	234	234	220
Sat Apr 23 20:39:34 2016	1461443974	0	237	237	221
Sat Apr 23 20:39:42 2016	1461443982	0	238	239	224
Sat Apr 23 20:39:20 2016	1461443960	1	250	251	236
Sat Apr 23 20:39:31 2016	1461443971	0	252	252	244
Sat Apr 23 20:39:27 2016	1461443967	6	246	253	236
Sat Apr 23 20:39:32 2016	1461443972	0	253	253	237
Sat Apr 23 20:39:41 2016	1461443981	0	257	257	251
Sat Apr 23 20:39:30 2016	1461443970	0	262	263	252
Sat Apr 23 20:39:25 2016	1461443965	0	263	264	255
Sat Apr 23 20:39:24 2016	1461443964	0	264	264	243
Sat Apr 23 20:39:29 2016	1461443969	1	263	265	249
Sat Apr 23 20:39:39 2016	1461443979	1	264	265	245
Sat Apr 23 20:39:28 2016	1461443968	0	266	266	252
Sat Apr 23 20:39:33 2016	1461443973	1	265	266	248
Sat Apr 23 20:39:42 2016	1461443982	0	266	267	246
Sat Apr 23 20:39:21 2016	1461443961	3	264	267	252
Sat Apr 23 20:39:39 2016	1461443979	1	268	269	261
Sat Apr 23 20:39:37 2016	1461443977	0	270	271	228
Sat Apr 23 20:39:32 2016	1461443972	0	271	271	256
Sat Apr 23 20:39:41 2016	1461443981	0	271	271	250
Sat Apr 23 20:39:41 2016	1461443981	0	274	275	258
Sat Apr 23 20:39:24 2016	1461443964	1	275	276	260
Sat Apr 23 20:39:40 2016	1461443980	0	277	277	259
Sat Apr 23 20:39:26 2016	1461443966	0	277	278	263
Sat Apr 23 20:39:22 2016	1461443962	0	280	280	272
Sat Apr 23 20:39:41 2016	1461443981	0	281	282	270
Sat Apr 23 20:39:26 2016	1461443966	0	282	282	265
Sat Apr 23 20:39:35 2016	1461443975	0	282	283	261
Sat Apr 23 20:39:32 2016	1461443972	1	284	284	271
Sat Apr 23 20:39:37 2016	1461443977	0	285	285	277
