starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 20:40:50 2016	1461444050	0	445	445	425
Sat Apr 23 20:40:53 2016	1461444053	0	475	475	464
Sat Apr 23 20:40:44 2016	1461444044	1	487	488	471
Sat Apr 23 20:40:47 2016	1461444047	0	488	489	462
Sat Apr 23 20:40:53 2016	1461444053	0	491	492	479
Sat Apr 23 20:40:51 2016	1461444051	0	497	497	473
Sat Apr 23 20:41:08 2016	1461444068	2	498	500	410
Sat Apr 23 20:40:41 2016	1461444041	0	499	500	487
Sat Apr 23 20:40:36 2016	1461444036	1	503	504	488
Sat Apr 23 20:40:49 2016	1461444049	1	516	517	471
Sat Apr 23 20:41:20 2016	1461444080	4	515	518	486
Sat Apr 23 20:41:01 2016	1461444061	0	528	528	522
Sat Apr 23 20:40:41 2016	1461444041	3	527	531	497
Sat Apr 23 20:41:11 2016	1461444071	1	532	533	518
Sat Apr 23 20:41:02 2016	1461444062	0	534	534	495
Sat Apr 23 20:40:39 2016	1461444039	0	534	534	506
Sat Apr 23 20:40:44 2016	1461444044	3	532	535	499
Sat Apr 23 20:40:57 2016	1461444057	1	539	539	528
Sat Apr 23 20:41:22 2016	1461444082	0	552	552	542
Sat Apr 23 20:41:00 2016	1461444060	7	555	561	517
Sat Apr 23 20:41:17 2016	1461444077	1	564	565	547
Sat Apr 23 20:40:58 2016	1461444058	4	563	567	545
Sat Apr 23 20:40:41 2016	1461444041	0	567	567	554
Sat Apr 23 20:41:12 2016	1461444072	2	565	567	498
Sat Apr 23 20:41:19 2016	1461444079	1	569	570	540
Sat Apr 23 20:40:57 2016	1461444057	0	573	574	557
Sat Apr 23 20:40:53 2016	1461444053	0	574	574	564
Sat Apr 23 20:41:08 2016	1461444068	1	579	580	569
Sat Apr 23 20:40:51 2016	1461444051	0	580	581	573
Sat Apr 23 20:40:40 2016	1461444040	0	580	581	565
Sat Apr 23 20:41:15 2016	1461444075	3	578	581	561
Sat Apr 23 20:41:21 2016	1461444081	1	582	583	557
Sat Apr 23 20:40:37 2016	1461444037	0	584	584	527
Sat Apr 23 20:40:49 2016	1461444049	0	587	588	576
Sat Apr 23 20:41:01 2016	1461444061	0	592	592	573
Sat Apr 23 20:41:01 2016	1461444061	1	592	593	581
Sat Apr 23 20:40:39 2016	1461444039	0	596	596	577
Sat Apr 23 20:40:39 2016	1461444039	1	596	597	549
Sat Apr 23 20:41:06 2016	1461444066	1	598	598	592
Sat Apr 23 20:40:59 2016	1461444059	0	600	600	590
Sat Apr 23 20:40:55 2016	1461444055	0	602	602	578
Sat Apr 23 20:40:45 2016	1461444045	0	604	604	595
Sat Apr 23 20:40:45 2016	1461444045	1	606	607	521
Sat Apr 23 20:40:43 2016	1461444043	0	607	608	574
Sat Apr 23 20:40:55 2016	1461444055	5	603	608	580
Sat Apr 23 20:40:39 2016	1461444039	0	609	610	552
Sat Apr 23 20:41:13 2016	1461444073	1	609	610	542
Sat Apr 23 20:40:52 2016	1461444052	1	609	610	581
Sat Apr 23 20:41:02 2016	1461444062	1	609	611	596
Sat Apr 23 20:41:03 2016	1461444063	0	615	615	599
Sat Apr 23 20:41:09 2016	1461444069	1	621	622	554
Sat Apr 23 20:41:13 2016	1461444073	0	623	623	596
Sat Apr 23 20:41:19 2016	1461444079	0	624	624	599
Sat Apr 23 20:40:59 2016	1461444059	5	619	624	597
Sat Apr 23 20:41:22 2016	1461444082	0	624	625	615
Sat Apr 23 20:40:45 2016	1461444045	0	626	626	611
Sat Apr 23 20:41:18 2016	1461444078	0	626	627	584
Sat Apr 23 20:41:05 2016	1461444065	1	628	629	605
Sat Apr 23 20:41:03 2016	1461444063	1	632	633	573
Sat Apr 23 20:41:17 2016	1461444077	1	634	635	625
Sat Apr 23 20:41:19 2016	1461444079	0	635	635	628
Sat Apr 23 20:41:02 2016	1461444062	2	636	639	606
Sat Apr 23 20:40:59 2016	1461444059	0	639	640	616
Sat Apr 23 20:41:15 2016	1461444075	1	639	640	620
Sat Apr 23 20:40:46 2016	1461444046	1	639	640	577
Sat Apr 23 20:40:59 2016	1461444059	1	640	641	611
Sat Apr 23 20:40:52 2016	1461444052	0	642	642	632
Sat Apr 23 20:40:59 2016	1461444059	0	643	643	623
Sat Apr 23 20:40:57 2016	1461444057	0	644	645	631
Sat Apr 23 20:41:11 2016	1461444071	0	645	645	630
Sat Apr 23 20:41:11 2016	1461444071	0	647	647	632
Sat Apr 23 20:40:53 2016	1461444053	0	649	649	634
Sat Apr 23 20:40:44 2016	1461444044	1	649	650	635
Sat Apr 23 20:40:51 2016	1461444051	0	650	651	561
Sat Apr 23 20:41:06 2016	1461444066	1	650	651	599
Sat Apr 23 20:40:51 2016	1461444051	1	652	653	596
Sat Apr 23 20:40:40 2016	1461444040	1	653	653	621
Sat Apr 23 20:41:04 2016	1461444064	0	653	653	629
Sat Apr 23 20:40:43 2016	1461444043	0	653	653	631
Sat Apr 23 20:40:59 2016	1461444059	1	653	654	614
Sat Apr 23 20:41:11 2016	1461444071	1	658	659	642
Sat Apr 23 20:40:46 2016	1461444046	1	658	659	631
Sat Apr 23 20:41:13 2016	1461444073	0	659	659	645
Sat Apr 23 20:40:51 2016	1461444051	1	659	660	621
Sat Apr 23 20:41:07 2016	1461444067	1	660	660	634
Sat Apr 23 20:40:41 2016	1461444041	1	660	661	627
Sat Apr 23 20:41:16 2016	1461444076	0	663	663	626
Sat Apr 23 20:40:40 2016	1461444040	0	664	664	645
Sat Apr 23 20:41:11 2016	1461444071	0	668	669	619
Sat Apr 23 20:41:11 2016	1461444071	0	670	670	651
Sat Apr 23 20:41:04 2016	1461444064	1	670	670	562
Sat Apr 23 20:40:39 2016	1461444039	0	670	671	661
Sat Apr 23 20:40:41 2016	1461444041	0	672	672	657
Sat Apr 23 20:41:17 2016	1461444077	2	671	672	651
Sat Apr 23 20:41:14 2016	1461444074	1	673	674	658
Sat Apr 23 20:41:16 2016	1461444076	0	673	674	629
Sat Apr 23 20:41:13 2016	1461444073	1	676	677	638
Sat Apr 23 20:41:16 2016	1461444076	0	677	678	665
Sat Apr 23 20:41:10 2016	1461444070	1	679	680	668
Sat Apr 23 20:41:12 2016	1461444072	1	680	680	640
Sat Apr 23 20:41:17 2016	1461444077	0	680	680	647
Sat Apr 23 20:41:21 2016	1461444081	1	680	681	648
Sat Apr 23 20:41:05 2016	1461444065	0	684	684	642
Sat Apr 23 20:41:09 2016	1461444069	1	684	684	669
Sat Apr 23 20:40:54 2016	1461444054	0	684	684	669
Sat Apr 23 20:40:50 2016	1461444050	1	684	685	656
Sat Apr 23 20:40:52 2016	1461444052	1	684	685	648
Sat Apr 23 20:40:52 2016	1461444052	0	684	685	676
Sat Apr 23 20:41:05 2016	1461444065	1	685	685	663
Sat Apr 23 20:40:59 2016	1461444059	0	687	687	633
Sat Apr 23 20:41:18 2016	1461444078	1	687	688	672
Sat Apr 23 20:41:14 2016	1461444074	1	687	688	616
Sat Apr 23 20:40:44 2016	1461444044	1	688	689	666
Sat Apr 23 20:40:46 2016	1461444046	0	689	690	671
Sat Apr 23 20:41:14 2016	1461444074	0	691	691	680
Sat Apr 23 20:41:20 2016	1461444080	1	692	693	671
Sat Apr 23 20:41:09 2016	1461444069	0	693	694	684
Sat Apr 23 20:41:00 2016	1461444060	1	693	694	675
Sat Apr 23 20:40:48 2016	1461444048	0	694	694	669
Sat Apr 23 20:40:39 2016	1461444039	1	694	695	668
Sat Apr 23 20:41:06 2016	1461444066	0	695	695	653
Sat Apr 23 20:41:09 2016	1461444069	1	696	697	677
Sat Apr 23 20:41:20 2016	1461444080	1	697	698	688
Sat Apr 23 20:40:50 2016	1461444050	3	696	698	646
Sat Apr 23 20:40:44 2016	1461444044	0	699	700	666
Sat Apr 23 20:41:12 2016	1461444072	1	699	700	633
Sat Apr 23 20:41:18 2016	1461444078	0	700	701	646
Sat Apr 23 20:41:13 2016	1461444073	0	701	701	688
Sat Apr 23 20:40:42 2016	1461444042	1	701	701	688
Sat Apr 23 20:41:09 2016	1461444069	1	701	702	660
Sat Apr 23 20:41:21 2016	1461444081	1	702	702	657
Sat Apr 23 20:41:00 2016	1461444060	2	702	704	684
Sat Apr 23 20:40:38 2016	1461444038	22	683	705	649
Sat Apr 23 20:41:17 2016	1461444077	1	704	705	603
Sat Apr 23 20:40:45 2016	1461444045	0	707	707	695
Sat Apr 23 20:41:00 2016	1461444060	1	708	709	692
Sat Apr 23 20:40:59 2016	1461444059	1	710	711	671
Sat Apr 23 20:40:45 2016	1461444045	0	711	712	702
Sat Apr 23 20:41:16 2016	1461444076	1	713	713	666
Sat Apr 23 20:41:06 2016	1461444066	0	713	714	700
Sat Apr 23 20:40:58 2016	1461444058	1	714	715	671
Sat Apr 23 20:41:16 2016	1461444076	1	714	715	687
Sat Apr 23 20:41:07 2016	1461444067	0	715	716	651
Sat Apr 23 20:41:03 2016	1461444063	1	716	716	669
Sat Apr 23 20:40:57 2016	1461444057	2	715	717	697
Sat Apr 23 20:41:12 2016	1461444072	2	718	719	681
Sat Apr 23 20:40:45 2016	1461444045	0	720	720	710
Sat Apr 23 20:41:15 2016	1461444075	1	721	721	706
Sat Apr 23 20:41:15 2016	1461444075	1	723	724	692
Sat Apr 23 20:41:01 2016	1461444061	0	726	726	702
Sat Apr 23 20:41:14 2016	1461444074	3	724	727	694
Sat Apr 23 20:41:01 2016	1461444061	0	727	728	715
Sat Apr 23 20:41:14 2016	1461444074	1	730	731	721
Sat Apr 23 20:40:53 2016	1461444053	0	731	731	722
Sat Apr 23 20:41:03 2016	1461444063	0	733	733	711
Sat Apr 23 20:41:15 2016	1461444075	1	733	733	720
Sat Apr 23 20:41:04 2016	1461444064	1	735	736	678
Sat Apr 23 20:41:08 2016	1461444068	1	736	737	730
Sat Apr 23 20:40:54 2016	1461444054	1	743	743	713
Sat Apr 23 20:40:46 2016	1461444046	0	745	746	730
Sat Apr 23 20:41:12 2016	1461444072	0	746	746	699
Sat Apr 23 20:40:49 2016	1461444049	1	748	749	738
Sat Apr 23 20:40:37 2016	1461444037	1	751	751	741
Sat Apr 23 20:40:43 2016	1461444043	0	752	752	715
Sat Apr 23 20:40:58 2016	1461444058	1	753	754	729
