Percentage served,Time in ms
0,885.032
1,917.334
2,920.508
3,935.450
4,937.524
5,961.747
6,971.772
7,980.262
8,983.005
9,1022.681
10,1035.742
11,1040.812
12,1049.107
13,1056.907
14,1061.897
15,1078.284
16,1082.576
17,1104.579
18,1112.722
19,1121.033
20,1131.865
21,1167.415
22,1175.128
23,1182.902
24,1188.742
25,1221.000
26,1239.923
27,1259.956
28,1262.173
29,1263.633
30,1272.732
31,1280.208
32,1295.895
33,1327.759
34,1335.172
35,1354.037
36,1356.766
37,1361.536
38,1405.418
39,1435.239
40,1436.696
41,1459.200
42,1465.698
43,1475.015
44,1485.432
45,1498.856
46,1501.132
47,1509.870
48,1512.962
49,1517.235
50,1518.982
51,1521.357
52,1528.021
53,1530.544
54,1534.092
55,1536.599
56,1540.384
57,1544.070
58,1545.185
59,1547.185
60,1549.912
61,1552.977
62,1557.724
63,1565.716
64,1570.751
65,1577.499
66,1580.888
67,1582.957
68,1584.791
69,1586.578
70,1587.083
71,1593.994
72,1599.977
73,1605.044
74,1614.167
75,1620.895
76,1621.927
77,1624.141
78,1628.332
79,1638.212
80,1642.075
81,1646.974
82,1647.561
83,1662.698
84,1669.180
85,1674.952
86,1681.912
87,1695.107
88,1696.760
89,1701.997
90,1725.240
91,1743.387
92,1750.014
93,1767.592
94,1778.002
95,1810.580
96,1825.428
97,1972.401
98,2228.107
99,2418.380
100,2657.827
