starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 21:18:24 2016	1461359904	0	885	885	874
Fri Apr 22 21:17:56 2016	1461359876	0	902	902	873
Fri Apr 22 21:18:39 2016	1461359919	0	907	907	897
Fri Apr 22 21:17:46 2016	1461359866	0	917	917	907
Fri Apr 22 21:18:40 2016	1461359920	0	918	918	913
Fri Apr 22 21:18:42 2016	1461359922	0	920	921	912
Fri Apr 22 21:17:36 2016	1461359856	0	932	932	921
Fri Apr 22 21:18:34 2016	1461359914	0	932	933	926
Fri Apr 22 21:17:48 2016	1461359868	0	935	935	928
Fri Apr 22 21:17:54 2016	1461359874	0	935	936	925
Fri Apr 22 21:17:59 2016	1461359879	0	937	938	930
Fri Apr 22 21:18:23 2016	1461359903	0	942	943	938
Fri Apr 22 21:18:13 2016	1461359893	0	954	954	946
Fri Apr 22 21:18:38 2016	1461359918	0	961	962	951
Fri Apr 22 21:17:55 2016	1461359875	0	970	970	964
Fri Apr 22 21:18:50 2016	1461359930	0	971	972	963
Fri Apr 22 21:18:15 2016	1461359895	0	972	972	960
Fri Apr 22 21:18:40 2016	1461359920	0	980	980	972
Fri Apr 22 21:18:09 2016	1461359889	0	980	980	973
Fri Apr 22 21:17:35 2016	1461359855	0	980	981	974
Fri Apr 22 21:18:45 2016	1461359925	0	983	983	973
Fri Apr 22 21:18:13 2016	1461359893	0	983	983	969
Fri Apr 22 21:18:51 2016	1461359931	0	994	994	980
Fri Apr 22 21:17:47 2016	1461359867	1	1022	1023	965
Fri Apr 22 21:17:53 2016	1461359873	0	1027	1027	1015
Fri Apr 22 21:18:29 2016	1461359909	0	1035	1036	1026
Fri Apr 22 21:18:14 2016	1461359894	1	1036	1036	1025
Fri Apr 22 21:17:32 2016	1461359852	0	1040	1041	1031
Fri Apr 22 21:18:33 2016	1461359913	0	1040	1041	1028
Fri Apr 22 21:17:58 2016	1461359878	0	1046	1047	1041
Fri Apr 22 21:18:46 2016	1461359926	0	1049	1049	1042
Fri Apr 22 21:18:22 2016	1461359902	0	1056	1056	1045
Fri Apr 22 21:18:21 2016	1461359901	0	1056	1057	1029
Fri Apr 22 21:17:34 2016	1461359854	0	1057	1057	1049
Fri Apr 22 21:18:36 2016	1461359916	0	1057	1057	1049
Fri Apr 22 21:17:51 2016	1461359871	0	1062	1062	1055
Fri Apr 22 21:17:40 2016	1461359860	0	1067	1067	1051
Fri Apr 22 21:17:39 2016	1461359859	0	1077	1077	1067
Fri Apr 22 21:17:42 2016	1461359862	0	1078	1078	1071
Fri Apr 22 21:17:31 2016	1461359851	0	1078	1079	1073
Fri Apr 22 21:18:41 2016	1461359921	0	1082	1083	1074
Fri Apr 22 21:17:43 2016	1461359863	0	1094	1094	1088
Fri Apr 22 21:18:18 2016	1461359898	0	1098	1098	1090
Fri Apr 22 21:18:22 2016	1461359902	0	1104	1105	1086
Fri Apr 22 21:18:12 2016	1461359892	0	1109	1109	1102
Fri Apr 22 21:18:43 2016	1461359923	0	1112	1113	1100
Fri Apr 22 21:18:31 2016	1461359911	0	1114	1114	1109
Fri Apr 22 21:18:25 2016	1461359905	0	1116	1117	1109
Fri Apr 22 21:17:50 2016	1461359870	0	1121	1121	1112
Fri Apr 22 21:18:41 2016	1461359921	0	1121	1122	1113
Fri Apr 22 21:18:10 2016	1461359890	0	1132	1132	1123
Fri Apr 22 21:18:39 2016	1461359919	0	1134	1135	1127
Fri Apr 22 21:17:47 2016	1461359867	0	1161	1162	1151
Fri Apr 22 21:18:08 2016	1461359888	0	1167	1167	1157
Fri Apr 22 21:18:45 2016	1461359925	1	1167	1168	1158
Fri Apr 22 21:17:49 2016	1461359869	0	1175	1175	1160
Fri Apr 22 21:18:03 2016	1461359883	0	1176	1177	1166
Fri Apr 22 21:18:08 2016	1461359888	0	1178	1178	1163
Fri Apr 22 21:17:49 2016	1461359869	0	1183	1183	1174
Fri Apr 22 21:18:33 2016	1461359913	0	1186	1186	1180
Fri Apr 22 21:18:19 2016	1461359899	0	1188	1189	1176
Fri Apr 22 21:18:54 2016	1461359934	1	1196	1196	1189
Fri Apr 22 21:18:16 2016	1461359896	0	1197	1198	1191
Fri Apr 22 21:17:46 2016	1461359866	0	1221	1221	1210
Fri Apr 22 21:18:37 2016	1461359917	0	1233	1233	1225
Fri Apr 22 21:17:58 2016	1461359878	0	1240	1240	1211
Fri Apr 22 21:17:28 2016	1461359848	0	1248	1249	1241
Fri Apr 22 21:18:44 2016	1461359924	0	1250	1250	1242
Fri Apr 22 21:18:12 2016	1461359892	0	1260	1260	1253
Fri Apr 22 21:18:54 2016	1461359934	0	1261	1262	1252
Fri Apr 22 21:18:07 2016	1461359887	0	1262	1262	1255
Fri Apr 22 21:18:37 2016	1461359917	0	1262	1262	1255
Fri Apr 22 21:18:49 2016	1461359929	0	1262	1263	1253
Fri Apr 22 21:18:44 2016	1461359924	0	1263	1264	1258
Fri Apr 22 21:18:28 2016	1461359908	0	1268	1268	1262
Fri Apr 22 21:18:20 2016	1461359900	0	1272	1273	1266
Fri Apr 22 21:17:33 2016	1461359853	0	1273	1274	1266
Fri Apr 22 21:18:27 2016	1461359907	0	1277	1277	1271
Fri Apr 22 21:18:35 2016	1461359915	1	1279	1280	1270
Fri Apr 22 21:17:38 2016	1461359858	0	1284	1284	1274
Fri Apr 22 21:18:41 2016	1461359921	0	1296	1296	1291
Fri Apr 22 21:18:35 2016	1461359915	0	1299	1300	1293
Fri Apr 22 21:18:16 2016	1461359896	0	1309	1309	1303
Fri Apr 22 21:18:13 2016	1461359893	0	1327	1328	1320
Fri Apr 22 21:18:24 2016	1461359904	0	1333	1334	1326
Fri Apr 22 21:18:28 2016	1461359908	0	1335	1335	1326
Fri Apr 22 21:18:09 2016	1461359889	0	1350	1350	1337
Fri Apr 22 21:18:49 2016	1461359929	0	1353	1353	1346
Fri Apr 22 21:18:48 2016	1461359928	0	1354	1354	1347
Fri Apr 22 21:18:53 2016	1461359933	0	1356	1356	1343
Fri Apr 22 21:17:39 2016	1461359859	0	1356	1357	1349
Fri Apr 22 21:18:32 2016	1461359912	0	1358	1358	1350
Fri Apr 22 21:17:45 2016	1461359865	0	1359	1359	1348
Fri Apr 22 21:17:42 2016	1461359862	1	1361	1362	1354
Fri Apr 22 21:18:39 2016	1461359919	0	1366	1367	1358
Fri Apr 22 21:18:01 2016	1461359881	0	1405	1405	1395
Fri Apr 22 21:18:37 2016	1461359917	0	1409	1409	1368
Fri Apr 22 21:17:42 2016	1461359862	0	1432	1432	1425
Fri Apr 22 21:18:15 2016	1461359895	0	1435	1435	1421
Fri Apr 22 21:17:50 2016	1461359870	0	1436	1436	1424
Fri Apr 22 21:17:54 2016	1461359874	0	1436	1437	1428
Fri Apr 22 21:18:20 2016	1461359900	0	1437	1437	1426
Fri Apr 22 21:18:34 2016	1461359914	0	1442	1443	1434
Fri Apr 22 21:18:07 2016	1461359887	0	1459	1459	1452
Fri Apr 22 21:17:28 2016	1461359848	0	1465	1466	1456
Fri Apr 22 21:18:23 2016	1461359903	1	1465	1466	1452
Fri Apr 22 21:18:09 2016	1461359889	0	1469	1469	1459
Fri Apr 22 21:17:46 2016	1461359866	0	1474	1474	1464
Fri Apr 22 21:18:30 2016	1461359910	0	1475	1475	1468
Fri Apr 22 21:18:39 2016	1461359919	0	1478	1479	1472
Fri Apr 22 21:18:32 2016	1461359912	0	1485	1485	1479
Fri Apr 22 21:17:51 2016	1461359871	0	1491	1492	1483
Fri Apr 22 21:18:38 2016	1461359918	0	1496	1497	1485
Fri Apr 22 21:17:29 2016	1461359849	0	1499	1499	1488
Fri Apr 22 21:17:48 2016	1461359868	0	1499	1499	1490
Fri Apr 22 21:18:33 2016	1461359913	0	1501	1501	1496
Fri Apr 22 21:17:52 2016	1461359872	0	1501	1501	1494
Fri Apr 22 21:18:35 2016	1461359915	0	1509	1509	1501
Fri Apr 22 21:17:37 2016	1461359857	1	1509	1510	1500
Fri Apr 22 21:17:59 2016	1461359879	0	1510	1510	1501
Fri Apr 22 21:17:40 2016	1461359860	0	1513	1513	1507
Fri Apr 22 21:17:36 2016	1461359856	0	1514	1514	1491
Fri Apr 22 21:18:36 2016	1461359916	0	1515	1515	1509
Fri Apr 22 21:18:07 2016	1461359887	0	1517	1517	1509
Fri Apr 22 21:17:34 2016	1461359854	0	1517	1518	1508
Fri Apr 22 21:17:52 2016	1461359872	0	1519	1519	1510
Fri Apr 22 21:18:18 2016	1461359898	0	1519	1520	1511
Fri Apr 22 21:18:30 2016	1461359910	0	1520	1520	1511
Fri Apr 22 21:18:34 2016	1461359914	0	1521	1521	1512
Fri Apr 22 21:18:22 2016	1461359902	0	1524	1524	1516
Fri Apr 22 21:18:52 2016	1461359932	0	1528	1528	1518
Fri Apr 22 21:17:59 2016	1461359879	0	1528	1528	1518
Fri Apr 22 21:17:31 2016	1461359851	0	1529	1529	1519
Fri Apr 22 21:18:48 2016	1461359928	0	1530	1531	1511
Fri Apr 22 21:17:31 2016	1461359851	0	1530	1531	1523
Fri Apr 22 21:18:50 2016	1461359930	0	1534	1534	1525
Fri Apr 22 21:18:42 2016	1461359922	0	1534	1534	1516
Fri Apr 22 21:18:44 2016	1461359924	0	1536	1536	1531
Fri Apr 22 21:18:16 2016	1461359896	0	1536	1537	1529
Fri Apr 22 21:18:02 2016	1461359882	0	1538	1538	1530
Fri Apr 22 21:18:07 2016	1461359887	0	1540	1540	1530
Fri Apr 22 21:18:53 2016	1461359933	0	1540	1541	1536
Fri Apr 22 21:17:44 2016	1461359864	0	1541	1541	1533
Fri Apr 22 21:17:37 2016	1461359857	0	1544	1544	1535
Fri Apr 22 21:18:38 2016	1461359918	0	1544	1545	1528
Fri Apr 22 21:18:46 2016	1461359926	0	1545	1545	1537
Fri Apr 22 21:17:35 2016	1461359855	0	1546	1546	1537
Fri Apr 22 21:17:40 2016	1461359860	0	1546	1547	1538
Fri Apr 22 21:17:57 2016	1461359877	0	1547	1547	1520
Fri Apr 22 21:17:33 2016	1461359853	0	1548	1548	1540
Fri Apr 22 21:17:57 2016	1461359877	0	1550	1550	1538
Fri Apr 22 21:18:26 2016	1461359906	0	1550	1550	1544
Fri Apr 22 21:18:19 2016	1461359899	0	1553	1553	1544
Fri Apr 22 21:18:04 2016	1461359884	0	1553	1553	1547
Fri Apr 22 21:17:41 2016	1461359861	0	1555	1556	1545
Fri Apr 22 21:17:33 2016	1461359853	0	1557	1558	1551
Fri Apr 22 21:18:26 2016	1461359906	0	1562	1563	1553
Fri Apr 22 21:18:31 2016	1461359911	0	1565	1566	1554
Fri Apr 22 21:18:52 2016	1461359932	0	1565	1566	1552
Fri Apr 22 21:18:36 2016	1461359916	0	1568	1569	1559
Fri Apr 22 21:18:02 2016	1461359882	0	1570	1571	1562
Fri Apr 22 21:18:23 2016	1461359903	1	1571	1572	1561
Fri Apr 22 21:18:04 2016	1461359884	0	1574	1574	1563
Fri Apr 22 21:18:17 2016	1461359897	0	1577	1577	1570
Fri Apr 22 21:17:28 2016	1461359848	0	1579	1580	1570
Fri Apr 22 21:17:35 2016	1461359855	0	1580	1581	1574
Fri Apr 22 21:18:21 2016	1461359901	0	1581	1581	1566
Fri Apr 22 21:18:46 2016	1461359926	0	1582	1583	1576
Fri Apr 22 21:18:16 2016	1461359896	1	1582	1583	1572
Fri Apr 22 21:18:40 2016	1461359920	1	1584	1584	1574
Fri Apr 22 21:17:56 2016	1461359876	0	1584	1585	1569
Fri Apr 22 21:18:50 2016	1461359930	0	1585	1585	1577
Fri Apr 22 21:18:45 2016	1461359925	4	1583	1586	1576
Fri Apr 22 21:18:47 2016	1461359927	0	1586	1587	1573
Fri Apr 22 21:18:50 2016	1461359930	0	1587	1587	1576
Fri Apr 22 21:18:53 2016	1461359933	0	1587	1587	1578
Fri Apr 22 21:17:48 2016	1461359868	0	1590	1590	1584
Fri Apr 22 21:17:51 2016	1461359871	0	1592	1593	1566
Fri Apr 22 21:17:49 2016	1461359869	0	1594	1594	1584
Fri Apr 22 21:17:47 2016	1461359867	0	1594	1594	1575
Fri Apr 22 21:18:17 2016	1461359897	0	1600	1600	1594
Fri Apr 22 21:18:06 2016	1461359886	0	1600	1601	1592
Fri Apr 22 21:17:55 2016	1461359875	0	1602	1603	1596
Fri Apr 22 21:18:18 2016	1461359898	0	1605	1605	1599
Fri Apr 22 21:18:29 2016	1461359909	0	1613	1613	1606
Fri Apr 22 21:18:10 2016	1461359890	0	1614	1614	1604
Fri Apr 22 21:17:32 2016	1461359852	1	1615	1616	1602
Fri Apr 22 21:18:05 2016	1461359885	0	1620	1621	1614
Fri Apr 22 21:18:29 2016	1461359909	0	1621	1621	1615
Fri Apr 22 21:17:50 2016	1461359870	0	1621	1621	1613
Fri Apr 22 21:18:43 2016	1461359923	0	1622	1622	1614
Fri Apr 22 21:18:47 2016	1461359927	0	1622	1623	1614
Fri Apr 22 21:17:34 2016	1461359854	0	1622	1623	1614
Fri Apr 22 21:17:39 2016	1461359859	0	1624	1624	1617
Fri Apr 22 21:18:51 2016	1461359931	0	1624	1625	1616
Fri Apr 22 21:18:42 2016	1461359922	0	1628	1628	1617
Fri Apr 22 21:17:45 2016	1461359865	0	1633	1633	1622
Fri Apr 22 21:17:43 2016	1461359863	0	1633	1634	1625
Fri Apr 22 21:17:39 2016	1461359859	0	1638	1638	1632
Fri Apr 22 21:18:00 2016	1461359880	0	1640	1640	1630
