Percentage served,Time in ms
0,934.284
1,962.019
2,974.784
3,1002.529
4,1012.211
5,1021.787
6,1024.751
7,1036.022
8,1049.057
9,1056.079
10,1060.621
11,1067.606
12,1073.819
13,1085.865
14,1091.894
15,1106.152
16,1149.458
17,1178.750
18,1187.583
19,1202.110
20,1230.912
21,1249.793
22,1271.021
23,1317.888
24,1338.822
25,1348.539
26,1350.361
27,1361.841
28,1366.636
29,1380.499
30,1389.495
31,1393.018
32,1394.297
33,1402.038
34,1405.874
35,1410.557
36,1417.404
37,1426.689
38,1430.564
39,1435.971
40,1440.310
41,1447.959
42,1455.374
43,1458.404
44,1459.871
45,1464.992
46,1472.417
47,1478.546
48,1481.503
49,1485.547
50,1492.476
51,1498.263
52,1503.305
53,1506.868
54,1510.304
55,1514.371
56,1517.690
57,1520.231
58,1520.646
59,1525.816
60,1527.919
61,1532.279
62,1534.985
63,1537.701
64,1542.008
65,1549.242
66,1555.160
67,1560.214
68,1560.802
69,1567.074
70,1568.106
71,1579.622
72,1583.587
73,1589.482
74,1591.274
75,1603.169
76,1611.610
77,1621.025
78,1627.526
79,1630.943
80,1636.835
81,1658.759
82,1660.889
83,1663.783
84,1669.397
85,1679.236
86,1690.376
87,1724.859
88,1737.495
89,1742.035
90,1769.833
91,1802.079
92,1806.933
93,1813.784
94,1826.081
95,1900.095
96,1930.216
97,2134.145
98,2258.336
99,2603.317
100,2755.145
