Percentage served,Time in ms
0,1388.134
1,1462.183
2,1467.635
3,1494.008
4,1495.783
5,1499.282
6,1507.242
7,1522.147
8,1535.885
9,1538.510
10,1542.859
11,1545.229
12,1550.867
13,1564.625
14,1570.679
15,1583.557
16,1585.570
17,1608.223
18,1616.677
19,1637.040
20,1651.227
21,1656.385
22,1659.950
23,1689.557
24,1714.698
25,1716.736
26,1717.758
27,1730.283
28,1736.140
29,1782.986
30,1789.786
31,1824.601
32,1838.200
33,1936.677
34,1989.209
35,2047.366
36,2354.299
37,2523.416
38,2633.082
39,2663.973
40,2680.535
41,2716.502
42,2733.966
43,2756.669
44,2784.179
45,2815.406
46,2831.833
47,2848.089
48,2855.766
49,2878.526
50,2889.377
51,2892.352
52,2904.733
53,2916.644
54,2920.459
55,2940.379
56,2944.040
57,2959.688
58,2975.303
59,2979.908
60,2987.247
61,2993.841
62,3002.847
63,3006.880
64,3018.213
65,3033.797
66,3035.789
67,3044.723
68,3058.011
69,3073.021
70,3075.192
71,3081.638
72,3093.557
73,3108.572
74,3114.562
75,3133.357
76,3155.651
77,3161.418
78,3177.527
79,3184.060
80,3201.718
81,3212.087
82,3215.541
83,3239.832
84,3246.516
85,3272.010
86,3284.830
87,3314.462
88,3380.364
89,3417.377
90,3466.015
91,3530.665
92,3686.593
93,3725.571
94,3812.618
95,3990.128
96,4210.421
97,5179.652
98,6304.723
99,7867.848
100,37327.283
