Percentage served,Time in ms
0,935.696
1,989.617
2,1018.834
3,1044.549
4,1048.380
5,1087.460
6,1099.385
7,1142.283
8,1152.376
9,1199.738
10,1206.808
11,1226.139
12,1235.243
13,1253.309
14,1273.119
15,1306.413
16,1312.050
17,1331.175
18,1345.069
19,1352.727
20,1357.723
21,1363.936
22,1365.344
23,1378.110
24,1384.496
25,1404.009
26,1424.011
27,1442.131
28,1448.053
29,1461.981
30,1469.634
31,1487.858
32,1495.300
33,1524.667
34,1537.262
35,1539.205
36,1542.412
37,1567.543
38,1571.135
39,1582.555
40,1596.669
41,1608.525
42,1613.222
43,1627.003
44,1633.263
45,1657.230
46,1662.290
47,1674.353
48,1720.907
49,1741.425
50,1761.492
51,1765.576
52,1776.736
53,1785.974
54,1797.496
55,1808.520
56,1821.442
57,1891.607
58,1900.034
59,1916.277
60,1932.998
61,1953.898
62,1990.383
63,1999.070
64,2019.878
65,2043.820
66,2079.125
67,2099.494
68,2115.052
69,2129.072
70,2132.805
71,2152.728
72,2169.206
73,2184.451
74,2193.028
75,2214.084
76,2225.661
77,2271.343
78,2310.869
79,2328.279
80,2376.980
81,2403.892
82,2408.377
83,2437.567
84,2473.439
85,2522.066
86,2550.065
87,2589.190
88,2592.370
89,2633.665
90,2640.243
91,2681.443
92,2705.052
93,2794.444
94,2839.862
95,3149.124
96,3176.819
97,3426.673
98,3690.149
99,4075.380
100,4129.382
