starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 20:36:38 2016	1461357398	0	11072	11073	11063
Fri Apr 22 20:39:39 2016	1461357579	0	11559	11560	11551
Fri Apr 22 20:50:00 2016	1461358200	0	11898	11898	11891
Fri Apr 22 20:49:20 2016	1461358160	0	11980	11980	11970
Fri Apr 22 20:43:30 2016	1461357810	0	12139	12139	12130
Fri Apr 22 20:37:23 2016	1461357443	0	12208	12208	12200
Fri Apr 22 20:43:53 2016	1461357833	0	12218	12218	12212
Fri Apr 22 20:39:18 2016	1461357558	0	12274	12274	12263
Fri Apr 22 20:46:38 2016	1461357998	0	12289	12289	12283
Fri Apr 22 20:46:59 2016	1461358019	0	12314	12315	12306
Fri Apr 22 20:41:01 2016	1461357661	0	12322	12323	12313
Fri Apr 22 20:38:38 2016	1461357518	0	12349	12349	12343
Fri Apr 22 20:47:28 2016	1461358048	0	12432	12433	12424
Fri Apr 22 20:50:08 2016	1461358208	1	12480	12480	12472
Fri Apr 22 20:48:10 2016	1461358090	0	12481	12481	12475
Fri Apr 22 20:36:10 2016	1461357370	0	12534	12535	12524
Fri Apr 22 20:36:11 2016	1461357371	0	12541	12541	12535
Fri Apr 22 20:36:11 2016	1461357371	0	12552	12552	12544
Fri Apr 22 20:36:11 2016	1461357371	0	12655	12655	12648
Fri Apr 22 20:41:48 2016	1461357708	0	12736	12736	12723
Fri Apr 22 20:43:11 2016	1461357791	0	12739	12739	12734
Fri Apr 22 20:42:20 2016	1461357740	0	12775	12775	12768
Fri Apr 22 20:47:00 2016	1461358020	0	12814	12814	12806
Fri Apr 22 20:44:09 2016	1461357849	0	12869	12870	12855
Fri Apr 22 20:39:39 2016	1461357579	0	12870	12870	12865
Fri Apr 22 20:45:09 2016	1461357909	0	12878	12879	12870
Fri Apr 22 20:37:10 2016	1461357430	0	12896	12896	12888
Fri Apr 22 20:50:01 2016	1461358201	0	12899	12900	12894
Fri Apr 22 20:40:48 2016	1461357648	0	12904	12905	12899
Fri Apr 22 20:43:40 2016	1461357820	0	12920	12920	12914
Fri Apr 22 20:36:39 2016	1461357399	0	12962	12962	12954
Fri Apr 22 20:51:07 2016	1461358267	0	12964	12964	12954
Fri Apr 22 20:48:50 2016	1461358130	0	12987	12988	12981
Fri Apr 22 20:41:18 2016	1461357678	0	13009	13009	13000
Fri Apr 22 20:40:11 2016	1461357611	0	13011	13011	13000
Fri Apr 22 20:51:31 2016	1461358291	0	13013	13014	13005
Fri Apr 22 20:51:43 2016	1461358303	0	13021	13021	13015
Fri Apr 22 20:46:31 2016	1461357991	0	13026	13026	13020
Fri Apr 22 20:48:01 2016	1461358081	0	13045	13045	13040
Fri Apr 22 20:42:49 2016	1461357769	0	13067	13067	13061
Fri Apr 22 20:49:09 2016	1461358149	0	13080	13080	13071
Fri Apr 22 20:41:09 2016	1461357669	0	13112	13112	13102
Fri Apr 22 20:42:01 2016	1461357721	0	13114	13115	13104
Fri Apr 22 20:51:18 2016	1461358278	0	13117	13118	13110
Fri Apr 22 20:41:00 2016	1461357660	0	13148	13149	13140
Fri Apr 22 20:45:38 2016	1461357938	0	13161	13162	13155
Fri Apr 22 20:47:40 2016	1461358060	0	13199	13199	13190
Fri Apr 22 20:40:28 2016	1461357628	0	13217	13217	13208
Fri Apr 22 20:38:38 2016	1461357518	0	13235	13236	13228
Fri Apr 22 20:43:38 2016	1461357818	0	13237	13238	13231
Fri Apr 22 20:37:49 2016	1461357469	0	13256	13256	13245
Fri Apr 22 20:45:18 2016	1461357918	0	13264	13264	13258
Fri Apr 22 20:48:39 2016	1461358119	0	13291	13292	13285
Fri Apr 22 20:39:09 2016	1461357549	0	13297	13297	13289
Fri Apr 22 20:38:50 2016	1461357530	0	13323	13324	13316
Fri Apr 22 20:50:47 2016	1461358247	0	13335	13335	13325
Fri Apr 22 20:38:21 2016	1461357501	0	13338	13339	13333
Fri Apr 22 20:38:51 2016	1461357531	0	13345	13345	13338
Fri Apr 22 20:41:30 2016	1461357690	0	13354	13354	13340
Fri Apr 22 20:47:38 2016	1461358058	0	13365	13365	13356
Fri Apr 22 20:48:40 2016	1461358120	0	13378	13379	13372
Fri Apr 22 20:51:09 2016	1461358269	0	13385	13386	13379
Fri Apr 22 20:48:29 2016	1461358109	0	13408	13408	13400
Fri Apr 22 20:47:29 2016	1461358049	0	13415	13416	13408
Fri Apr 22 20:37:50 2016	1461357470	0	13438	13438	13429
Fri Apr 22 20:46:18 2016	1461357978	0	13450	13450	13443
Fri Apr 22 20:37:28 2016	1461357448	0	13481	13482	13472
Fri Apr 22 20:37:50 2016	1461357470	0	13487	13488	13479
Fri Apr 22 20:49:08 2016	1461358148	0	13578	13579	13573
Fri Apr 22 20:39:50 2016	1461357590	0	13596	13596	13585
Fri Apr 22 20:46:38 2016	1461357998	0	13604	13604	13599
Fri Apr 22 20:50:38 2016	1461358238	0	13642	13643	13637
Fri Apr 22 20:51:20 2016	1461358280	0	13648	13648	13639
Fri Apr 22 20:43:00 2016	1461357780	0	13654	13654	13647
Fri Apr 22 20:44:28 2016	1461357868	0	13662	13662	13656
Fri Apr 22 20:48:08 2016	1461358088	0	13672	13673	13664
Fri Apr 22 20:49:48 2016	1461358188	0	13691	13691	13682
Fri Apr 22 20:37:58 2016	1461357478	0	13701	13701	13694
Fri Apr 22 20:50:21 2016	1461358221	0	13730	13731	13722
