Percentage served,Time in ms
0,1542.488
1,1564.881
2,1586.446
3,1612.342
4,1618.369
5,1632.093
6,1635.466
7,1637.926
8,1642.971
9,1651.578
10,1657.294
11,1663.705
12,1668.492
13,1670.849
14,1676.648
15,1688.610
16,1696.202
17,1699.367
18,1701.874
19,1703.731
20,1709.916
21,1729.591
22,1737.012
23,1746.789
24,1747.278
25,1749.132
26,1754.675
27,1761.205
28,1766.366
29,1770.390
30,1775.392
31,1794.985
32,1803.520
33,1831.220
34,1849.086
35,1857.747
36,1868.374
37,1910.311
38,1913.618
39,1929.117
40,1950.925
41,2078.791
42,2128.804
43,2257.966
44,2294.882
45,2503.537
46,2801.622
47,3029.200
48,3060.442
49,3082.759
50,3089.205
51,3103.548
52,3110.293
53,3117.125
54,3131.053
55,3134.226
56,3138.440
57,3148.776
58,3153.061
59,3170.619
60,3180.314
61,3197.286
62,3207.136
63,3224.234
64,3226.279
65,3240.515
66,3249.139
67,3262.791
68,3274.465
69,3283.045
70,3286.456
71,3288.768
72,3294.023
73,3299.164
74,3304.895
75,3312.467
76,3327.841
77,3342.067
78,3354.808
79,3374.498
80,3380.463
81,3388.226
82,3397.716
83,3425.052
84,3439.655
85,3458.260
86,3477.171
87,3511.257
88,3522.892
89,3586.670
90,3589.859
91,3628.381
92,3648.066
93,3704.516
94,3725.497
95,3774.816
96,3815.309
97,4124.434
98,4257.591
99,4530.580
100,4775.538
