starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 20:54:32 2016	1461358472	0	1542	1542	1535
Fri Apr 22 20:53:37 2016	1461358417	0	1551	1551	1544
Fri Apr 22 20:53:32 2016	1461358412	0	1561	1562	1555
Fri Apr 22 20:53:47 2016	1461358427	0	1565	1565	1556
Fri Apr 22 20:54:33 2016	1461358473	0	1578	1578	1567
Fri Apr 22 20:53:46 2016	1461358426	1	1586	1586	1577
Fri Apr 22 20:53:57 2016	1461358437	0	1590	1590	1585
Fri Apr 22 20:54:41 2016	1461358481	0	1600	1600	1594
Fri Apr 22 20:53:46 2016	1461358426	0	1612	1612	1604
Fri Apr 22 20:53:11 2016	1461358391	0	1615	1615	1608
Fri Apr 22 20:53:54 2016	1461358434	0	1618	1618	1607
Fri Apr 22 20:54:22 2016	1461358462	0	1630	1630	1622
Fri Apr 22 20:54:42 2016	1461358482	0	1631	1632	1610
Fri Apr 22 20:54:16 2016	1461358456	0	1632	1632	1623
Fri Apr 22 20:54:19 2016	1461358459	0	1634	1634	1622
Fri Apr 22 20:55:19 2016	1461358519	0	1635	1635	1625
Fri Apr 22 20:54:56 2016	1461358496	0	1637	1637	1628
Fri Apr 22 20:54:53 2016	1461358493	0	1637	1637	1631
Fri Apr 22 20:54:22 2016	1461358462	0	1638	1638	1629
Fri Apr 22 20:54:18 2016	1461358458	0	1639	1640	1628
Fri Apr 22 20:54:44 2016	1461358484	0	1643	1643	1635
Fri Apr 22 20:54:08 2016	1461358448	0	1645	1645	1635
Fri Apr 22 20:53:45 2016	1461358425	0	1650	1650	1638
Fri Apr 22 20:54:58 2016	1461358498	0	1651	1652	1641
Fri Apr 22 20:52:48 2016	1461358368	0	1657	1657	1644
Fri Apr 22 20:54:38 2016	1461358478	0	1657	1657	1644
Fri Apr 22 20:53:17 2016	1461358397	0	1657	1657	1649
Fri Apr 22 20:54:29 2016	1461358469	0	1660	1661	1650
Fri Apr 22 20:53:38 2016	1461358418	0	1663	1664	1658
Fri Apr 22 20:54:54 2016	1461358494	0	1665	1666	1658
Fri Apr 22 20:55:04 2016	1461358504	0	1668	1668	1660
Fri Apr 22 20:52:49 2016	1461358369	0	1668	1669	1660
Fri Apr 22 20:52:58 2016	1461358378	0	1669	1669	1659
Fri Apr 22 20:55:06 2016	1461358506	0	1670	1671	1649
Fri Apr 22 20:53:05 2016	1461358385	0	1676	1676	1666
Fri Apr 22 20:54:33 2016	1461358473	0	1676	1677	1670
Fri Apr 22 20:54:13 2016	1461358453	0	1683	1684	1660
Fri Apr 22 20:55:11 2016	1461358511	0	1684	1685	1678
Fri Apr 22 20:53:16 2016	1461358396	0	1688	1689	1668
Fri Apr 22 20:54:54 2016	1461358494	0	1689	1689	1676
Fri Apr 22 20:53:22 2016	1461358402	0	1696	1696	1686
Fri Apr 22 20:55:11 2016	1461358511	0	1697	1697	1690
Fri Apr 22 20:55:11 2016	1461358511	0	1699	1699	1687
Fri Apr 22 20:53:39 2016	1461358419	0	1699	1699	1693
Fri Apr 22 20:54:28 2016	1461358468	0	1701	1702	1690
Fri Apr 22 20:53:25 2016	1461358405	0	1702	1702	1695
Fri Apr 22 20:53:31 2016	1461358411	0	1703	1703	1692
Fri Apr 22 20:54:17 2016	1461358457	0	1703	1703	1695
Fri Apr 22 20:53:11 2016	1461358391	0	1703	1704	1692
Fri Apr 22 20:54:36 2016	1461358476	0	1709	1709	1699
Fri Apr 22 20:54:55 2016	1461358495	0	1709	1710	1701
Fri Apr 22 20:53:51 2016	1461358431	0	1713	1714	1706
Fri Apr 22 20:54:57 2016	1461358497	0	1728	1728	1721
Fri Apr 22 20:52:47 2016	1461358367	0	1729	1730	1718
Fri Apr 22 20:54:11 2016	1461358451	0	1733	1734	1728
Fri Apr 22 20:53:09 2016	1461358389	0	1737	1737	1724
Fri Apr 22 20:54:46 2016	1461358486	0	1741	1741	1735
Fri Apr 22 20:53:39 2016	1461358419	0	1745	1745	1740
Fri Apr 22 20:53:33 2016	1461358413	0	1746	1747	1738
