starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 22:09:15 2016	1461362955	0	1118	1118	1103
Fri Apr 22 22:10:24 2016	1461363024	0	1151	1151	1143
Fri Apr 22 22:10:26 2016	1461363026	0	1158	1159	1150
Fri Apr 22 22:09:36 2016	1461362976	0	1167	1167	1159
Fri Apr 22 22:10:19 2016	1461363019	0	1174	1174	1166
Fri Apr 22 22:09:35 2016	1461362975	0	1182	1182	1176
Fri Apr 22 22:10:15 2016	1461363015	0	1189	1189	1177
Fri Apr 22 22:10:35 2016	1461363035	0	1198	1198	1190
Fri Apr 22 22:10:20 2016	1461363020	0	1199	1199	1193
Fri Apr 22 22:09:37 2016	1461362977	0	1201	1201	1192
Fri Apr 22 22:09:11 2016	1461362951	0	1212	1213	1205
Fri Apr 22 22:09:49 2016	1461362989	0	1212	1213	1205
Fri Apr 22 22:10:25 2016	1461363025	0	1213	1213	1200
Fri Apr 22 22:09:14 2016	1461362954	1	1213	1214	1205
Fri Apr 22 22:09:38 2016	1461362978	0	1217	1217	1210
Fri Apr 22 22:09:55 2016	1461362995	0	1219	1220	1213
Fri Apr 22 22:09:04 2016	1461362944	0	1230	1230	1218
Fri Apr 22 22:09:12 2016	1461362952	0	1235	1235	1230
Fri Apr 22 22:10:14 2016	1461363014	0	1249	1250	1239
Fri Apr 22 22:09:55 2016	1461362995	0	1252	1253	1247
Fri Apr 22 22:09:10 2016	1461362950	0	1255	1255	1246
Fri Apr 22 22:09:16 2016	1461362956	0	1255	1255	1247
Fri Apr 22 22:09:40 2016	1461362980	4	1253	1257	1241
Fri Apr 22 22:09:38 2016	1461362978	0	1258	1259	1247
Fri Apr 22 22:09:05 2016	1461362945	0	1259	1259	1249
Fri Apr 22 22:10:02 2016	1461363002	0	1261	1262	1252
Fri Apr 22 22:10:09 2016	1461363009	0	1263	1264	1257
Fri Apr 22 22:09:18 2016	1461362958	0	1271	1271	1263
Fri Apr 22 22:10:31 2016	1461363031	0	1278	1278	1270
Fri Apr 22 22:09:46 2016	1461362986	0	1284	1285	1279
Fri Apr 22 22:10:08 2016	1461363008	0	1291	1291	1281
Fri Apr 22 22:09:35 2016	1461362975	0	1294	1294	1281
Fri Apr 22 22:10:04 2016	1461363004	0	1298	1298	1291
Fri Apr 22 22:10:28 2016	1461363028	0	1304	1305	1294
Fri Apr 22 22:10:33 2016	1461363033	0	1306	1307	1300
Fri Apr 22 22:09:17 2016	1461362957	0	1312	1313	1304
Fri Apr 22 22:10:12 2016	1461363012	0	1315	1316	1307
Fri Apr 22 22:09:36 2016	1461362976	0	1319	1320	1314
Fri Apr 22 22:10:29 2016	1461363029	0	1331	1332	1325
Fri Apr 22 22:09:04 2016	1461362944	0	1347	1348	1338
Fri Apr 22 22:09:48 2016	1461362988	0	1354	1354	1347
Fri Apr 22 22:10:17 2016	1461363017	0	1360	1360	1352
Fri Apr 22 22:10:28 2016	1461363028	0	1360	1360	1351
Fri Apr 22 22:10:18 2016	1461363018	0	1365	1365	1356
Fri Apr 22 22:09:58 2016	1461362998	0	1365	1365	1359
Fri Apr 22 22:10:32 2016	1461363032	0	1369	1370	1354
Fri Apr 22 22:09:07 2016	1461362947	0	1371	1372	1366
Fri Apr 22 22:10:16 2016	1461363016	0	1372	1373	1364
Fri Apr 22 22:10:03 2016	1461363003	0	1374	1375	1369
Fri Apr 22 22:09:58 2016	1461362998	0	1376	1377	1365
Fri Apr 22 22:09:55 2016	1461362995	0	1381	1381	1376
Fri Apr 22 22:10:29 2016	1461363029	0	1399	1399	1391
Fri Apr 22 22:09:56 2016	1461362996	0	1401	1402	1395
Fri Apr 22 22:09:59 2016	1461362999	0	1402	1402	1389
Fri Apr 22 22:10:35 2016	1461363035	0	1403	1403	1393
Fri Apr 22 22:10:16 2016	1461363016	0	1410	1411	1400
Fri Apr 22 22:10:24 2016	1461363024	0	1416	1416	1410
Fri Apr 22 22:09:47 2016	1461362987	0	1419	1419	1410
Fri Apr 22 22:10:26 2016	1461363026	0	1419	1420	1411
Fri Apr 22 22:08:59 2016	1461362939	0	1422	1422	1411
Fri Apr 22 22:09:46 2016	1461362986	0	1424	1424	1419
Fri Apr 22 22:09:08 2016	1461362948	0	1425	1425	1417
Fri Apr 22 22:09:47 2016	1461362987	0	1432	1433	1425
Fri Apr 22 22:08:58 2016	1461362938	0	1435	1435	1428
Fri Apr 22 22:09:03 2016	1461362943	0	1436	1436	1431
Fri Apr 22 22:10:27 2016	1461363027	0	1436	1436	1430
Fri Apr 22 22:10:05 2016	1461363005	0	1442	1442	1434
Fri Apr 22 22:10:27 2016	1461363027	0	1445	1445	1439
Fri Apr 22 22:10:22 2016	1461363022	0	1448	1448	1441
Fri Apr 22 22:09:13 2016	1461362953	0	1450	1450	1441
Fri Apr 22 22:09:35 2016	1461362975	0	1454	1454	1448
Fri Apr 22 22:09:06 2016	1461362946	0	1458	1458	1447
Fri Apr 22 22:09:32 2016	1461362972	0	1461	1461	1454
Fri Apr 22 22:09:47 2016	1461362987	0	1462	1462	1446
Fri Apr 22 22:09:18 2016	1461362958	0	1462	1462	1455
Fri Apr 22 22:10:10 2016	1461363010	1	1462	1462	1454
Fri Apr 22 22:10:24 2016	1461363024	1	1463	1464	1456
Fri Apr 22 22:09:09 2016	1461362949	0	1464	1465	1454
Fri Apr 22 22:09:45 2016	1461362985	0	1465	1465	1457
Fri Apr 22 22:10:31 2016	1461363031	0	1470	1470	1465
Fri Apr 22 22:08:58 2016	1461362938	0	1474	1474	1459
Fri Apr 22 22:09:25 2016	1461362965	1	1473	1474	1446
Fri Apr 22 22:10:32 2016	1461363032	0	1475	1476	1466
Fri Apr 22 22:10:15 2016	1461363015	0	1477	1477	1454
Fri Apr 22 22:09:24 2016	1461362964	0	1478	1478	1467
Fri Apr 22 22:10:17 2016	1461363017	0	1478	1478	1467
Fri Apr 22 22:09:22 2016	1461362962	0	1479	1479	1468
Fri Apr 22 22:09:04 2016	1461362944	0	1481	1481	1474
Fri Apr 22 22:10:23 2016	1461363023	0	1482	1483	1474
Fri Apr 22 22:09:46 2016	1461362986	0	1487	1488	1479
Fri Apr 22 22:10:06 2016	1461363006	0	1488	1488	1483
Fri Apr 22 22:10:28 2016	1461363028	0	1489	1489	1479
Fri Apr 22 22:09:05 2016	1461362945	0	1489	1490	1481
Fri Apr 22 22:10:27 2016	1461363027	0	1491	1492	1484
Fri Apr 22 22:09:51 2016	1461362991	0	1494	1495	1487
Fri Apr 22 22:09:11 2016	1461362951	0	1495	1496	1488
Fri Apr 22 22:09:34 2016	1461362974	0	1496	1497	1486
Fri Apr 22 22:09:17 2016	1461362957	0	1498	1498	1486
Fri Apr 22 22:09:07 2016	1461362947	0	1500	1500	1492
Fri Apr 22 22:09:07 2016	1461362947	0	1501	1501	1491
Fri Apr 22 22:10:11 2016	1461363011	0	1501	1502	1494
Fri Apr 22 22:10:22 2016	1461363022	0	1501	1502	1488
Fri Apr 22 22:09:16 2016	1461362956	0	1503	1503	1495
Fri Apr 22 22:09:32 2016	1461362972	0	1503	1504	1492
Fri Apr 22 22:09:39 2016	1461362979	0	1512	1513	1506
Fri Apr 22 22:09:12 2016	1461362952	0	1512	1513	1507
Fri Apr 22 22:09:10 2016	1461362950	0	1514	1514	1502
Fri Apr 22 22:09:02 2016	1461362942	0	1514	1514	1507
Fri Apr 22 22:09:57 2016	1461362997	0	1519	1520	1508
Fri Apr 22 22:10:30 2016	1461363030	0	1522	1522	1516
Fri Apr 22 22:09:43 2016	1461362983	0	1523	1523	1515
Fri Apr 22 22:09:03 2016	1461362943	0	1523	1523	1511
Fri Apr 22 22:10:12 2016	1461363012	0	1523	1523	1518
Fri Apr 22 22:09:01 2016	1461362941	0	1525	1526	1513
Fri Apr 22 22:10:34 2016	1461363034	0	1527	1527	1518
Fri Apr 22 22:10:05 2016	1461363005	0	1528	1528	1518
Fri Apr 22 22:09:20 2016	1461362960	0	1528	1528	1521
Fri Apr 22 22:10:19 2016	1461363019	0	1530	1530	1518
Fri Apr 22 22:10:09 2016	1461363009	0	1537	1537	1529
Fri Apr 22 22:09:24 2016	1461362964	0	1538	1539	1533
Fri Apr 22 22:10:23 2016	1461363023	0	1538	1539	1530
Fri Apr 22 22:09:54 2016	1461362994	0	1543	1543	1535
Fri Apr 22 22:09:52 2016	1461362992	0	1543	1544	1538
Fri Apr 22 22:09:52 2016	1461362992	0	1544	1544	1538
Fri Apr 22 22:09:44 2016	1461362984	0	1546	1547	1541
Fri Apr 22 22:09:33 2016	1461362973	0	1552	1552	1544
Fri Apr 22 22:09:17 2016	1461362957	0	1553	1553	1543
Fri Apr 22 22:10:03 2016	1461363003	0	1554	1554	1548
Fri Apr 22 22:10:00 2016	1461363000	0	1554	1554	1547
Fri Apr 22 22:10:07 2016	1461363007	0	1556	1556	1548
Fri Apr 22 22:09:23 2016	1461362963	0	1556	1556	1549
Fri Apr 22 22:10:01 2016	1461363001	0	1557	1557	1551
Fri Apr 22 22:09:54 2016	1461362994	0	1557	1558	1552
Fri Apr 22 22:10:17 2016	1461363017	1	1559	1560	1551
Fri Apr 22 22:09:49 2016	1461362989	0	1561	1562	1554
Fri Apr 22 22:09:38 2016	1461362978	0	1563	1564	1553
Fri Apr 22 22:09:17 2016	1461362957	0	1564	1564	1553
Fri Apr 22 22:09:19 2016	1461362959	0	1565	1565	1559
Fri Apr 22 22:09:52 2016	1461362992	0	1566	1566	1558
Fri Apr 22 22:09:43 2016	1461362983	0	1567	1568	1556
Fri Apr 22 22:10:18 2016	1461363018	0	1571	1571	1564
Fri Apr 22 22:09:08 2016	1461362948	0	1572	1573	1560
Fri Apr 22 22:10:21 2016	1461363021	0	1573	1573	1567
Fri Apr 22 22:10:04 2016	1461363004	0	1574	1574	1566
Fri Apr 22 22:09:35 2016	1461362975	0	1574	1575	1562
Fri Apr 22 22:09:09 2016	1461362949	0	1578	1578	1571
Fri Apr 22 22:10:12 2016	1461363012	0	1580	1581	1567
Fri Apr 22 22:09:26 2016	1461362966	0	1581	1581	1567
Fri Apr 22 22:10:04 2016	1461363004	0	1593	1594	1588
Fri Apr 22 22:09:53 2016	1461362993	0	1594	1594	1586
Fri Apr 22 22:09:22 2016	1461362962	0	1598	1598	1582
Fri Apr 22 22:09:06 2016	1461362946	0	1601	1602	1591
Fri Apr 22 22:10:09 2016	1461363009	0	1604	1604	1595
Fri Apr 22 22:10:01 2016	1461363001	1	1605	1606	1570
Fri Apr 22 22:09:14 2016	1461362954	0	1607	1608	1602
Fri Apr 22 22:09:41 2016	1461362981	0	1612	1612	1606
Fri Apr 22 22:09:09 2016	1461362949	0	1613	1613	1604
Fri Apr 22 22:09:40 2016	1461362980	0	1613	1614	1604
Fri Apr 22 22:10:06 2016	1461363006	0	1614	1614	1603
Fri Apr 22 22:09:14 2016	1461362954	0	1615	1615	1608
Fri Apr 22 22:09:27 2016	1461362967	0	1617	1617	1604
Fri Apr 22 22:09:15 2016	1461362955	0	1617	1617	1612
Fri Apr 22 22:10:11 2016	1461363011	1	1617	1618	1611
Fri Apr 22 22:09:58 2016	1461362998	0	1621	1621	1612
Fri Apr 22 22:09:12 2016	1461362952	0	1627	1627	1616
Fri Apr 22 22:10:33 2016	1461363033	0	1627	1627	1619
Fri Apr 22 22:10:03 2016	1461363003	0	1633	1634	1625
Fri Apr 22 22:10:09 2016	1461363009	0	1635	1635	1627
Fri Apr 22 22:09:21 2016	1461362961	0	1641	1642	1635
Fri Apr 22 22:10:02 2016	1461363002	0	1648	1648	1639
Fri Apr 22 22:09:50 2016	1461362990	0	1652	1652	1646
