Percentage served,Time in ms
0,9028.185
1,10859.772
2,11196.221
3,11519.724
4,11817.742
5,12012.702
6,12036.008
7,12218.287
8,12379.809
9,12521.245
10,12532.243
11,12561.792
12,12612.170
13,12682.508
14,12754.228
15,12872.283
16,12881.925
17,12932.742
18,13000.078
19,13045.912
20,13120.233
21,13155.425
22,13183.970
23,13228.325
24,13265.028
25,13336.646
26,13343.858
27,13507.334
28,13540.207
29,13591.041
30,13606.066
31,13628.753
32,13691.700
33,13800.347
34,13897.809
35,13911.887
36,14049.260
37,14187.366
38,14235.067
39,14274.533
40,14316.336
41,14409.307
42,14418.482
43,14661.577
44,14681.026
45,14737.341
46,14738.318
47,14793.030
48,14932.218
49,15082.752
50,15163.003
51,15245.083
52,15376.480
53,15425.080
54,15437.205
55,15696.807
56,15728.410
57,15751.674
58,15771.021
59,15812.708
60,15899.308
61,15942.319
62,16026.015
63,16082.641
64,16100.888
65,16160.928
66,16285.890
67,16388.796
68,16401.561
69,16418.434
70,16512.978
71,16570.108
72,16652.865
73,16703.593
74,16741.043
75,16787.134
76,16878.856
77,16938.474
78,17024.291
79,17056.015
80,17181.139
81,17274.931
82,17470.697
83,17562.376
84,17594.992
85,17643.806
86,17760.104
87,17840.765
88,17862.428
89,18036.135
90,18077.201
91,18272.585
92,18365.212
93,18523.385
94,18765.251
95,19030.264
96,19099.025
97,20332.571
98,21835.651
99,27655.688
100,29207.679
