starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 22:35:24 2016	1461364524	0	9028	9028	9018
Fri Apr 22 22:35:34 2016	1461364534	0	9109	9109	9100
Fri Apr 22 22:37:01 2016	1461364621	0	10841	10841	10833
Fri Apr 22 22:35:50 2016	1461364550	0	10859	10860	10854
Fri Apr 22 22:35:13 2016	1461364513	0	11004	11005	10996
Fri Apr 22 22:27:35 2016	1461364055	1	11195	11196	11187
Fri Apr 22 22:36:07 2016	1461364567	0	11300	11300	11294
Fri Apr 22 22:27:47 2016	1461364067	0	11365	11366	11357
Fri Apr 22 22:30:00 2016	1461364200	0	11519	11520	11513
Fri Apr 22 22:27:47 2016	1461364067	0	11809	11810	11799
Fri Apr 22 22:36:30 2016	1461364590	0	11817	11818	11813
Fri Apr 22 22:27:35 2016	1461364055	33	11808	11841	11777
Fri Apr 22 22:35:38 2016	1461364538	0	11972	11972	11965
Fri Apr 22 22:39:27 2016	1461364767	0	12012	12013	12002
Fri Apr 22 22:40:09 2016	1461364809	0	12033	12033	12027
Fri Apr 22 22:27:35 2016	1461364055	8	12028	12036	12003
Fri Apr 22 22:32:58 2016	1461364378	0	12144	12144	12139
Fri Apr 22 22:33:29 2016	1461364409	0	12157	12157	12148
Fri Apr 22 22:38:10 2016	1461364690	0	12218	12218	12210
Fri Apr 22 22:28:41 2016	1461364121	0	12237	12237	12230
Fri Apr 22 22:30:29 2016	1461364229	0	12379	12380	12368
Fri Apr 22 22:39:39 2016	1461364779	0	12381	12382	12376
Fri Apr 22 22:38:17 2016	1461364697	0	12447	12447	12440
Fri Apr 22 22:38:59 2016	1461364739	0	12521	12521	12514
Fri Apr 22 22:33:47 2016	1461364427	0	12521	12522	12513
Fri Apr 22 22:31:40 2016	1461364300	0	12532	12532	12522
Fri Apr 22 22:32:40 2016	1461364360	0	12555	12555	12547
Fri Apr 22 22:43:22 2016	1461365002	0	12555	12556	12547
Fri Apr 22 22:27:58 2016	1461364078	0	12561	12562	12553
Fri Apr 22 22:38:40 2016	1461364720	0	12576	12577	12571
Fri Apr 22 22:27:58 2016	1461364078	0	12612	12612	12603
Fri Apr 22 22:27:46 2016	1461364066	1	12618	12618	12605
Fri Apr 22 22:37:19 2016	1461364639	0	12628	12628	12618
Fri Apr 22 22:27:35 2016	1461364055	63	12619	12683	12601
Fri Apr 22 22:29:10 2016	1461364150	0	12740	12740	12730
Fri Apr 22 22:31:27 2016	1461364287	0	12754	12754	12747
Fri Apr 22 22:43:09 2016	1461364989	0	12757	12757	12747
Fri Apr 22 22:42:09 2016	1461364929	0	12760	12760	12754
Fri Apr 22 22:30:10 2016	1461364210	0	12872	12872	12867
Fri Apr 22 22:28:47 2016	1461364127	0	12874	12874	12865
Fri Apr 22 22:36:30 2016	1461364590	0	12882	12882	12872
Fri Apr 22 22:35:00 2016	1461364500	0	12888	12888	12879
Fri Apr 22 22:30:58 2016	1461364258	0	12922	12922	12916
Fri Apr 22 22:29:58 2016	1461364198	0	12932	12933	12923
Fri Apr 22 22:31:58 2016	1461364318	0	12996	12996	12986
Fri Apr 22 22:40:37 2016	1461364837	0	13000	13000	12992
Fri Apr 22 22:34:07 2016	1461364447	0	13007	13008	12999
Fri Apr 22 22:28:57 2016	1461364137	0	13045	13045	13039
Fri Apr 22 22:32:59 2016	1461364379	0	13046	13046	13041
Fri Apr 22 22:37:47 2016	1461364667	0	13073	13074	13066
Fri Apr 22 22:34:20 2016	1461364460	0	13120	13120	13111
Fri Apr 22 22:41:38 2016	1461364898	0	13145	13146	13138
Fri Apr 22 22:34:47 2016	1461364487	0	13147	13148	13136
Fri Apr 22 22:33:39 2016	1461364419	0	13155	13155	13147
Fri Apr 22 22:42:58 2016	1461364978	0	13175	13175	13169
Fri Apr 22 22:34:37 2016	1461364477	0	13184	13184	13178
Fri Apr 22 22:31:28 2016	1461364288	0	13193	13193	13185
Fri Apr 22 22:41:39 2016	1461364899	0	13203	13203	13196
Fri Apr 22 22:27:47 2016	1461364067	0	13228	13228	13202
Fri Apr 22 22:28:17 2016	1461364097	0	13251	13251	13245
Fri Apr 22 22:38:47 2016	1461364727	0	13265	13265	13256
Fri Apr 22 22:31:39 2016	1461364299	0	13266	13266	13257
Fri Apr 22 22:29:47 2016	1461364187	0	13312	13313	13302
Fri Apr 22 22:39:48 2016	1461364788	0	13336	13337	13326
Fri Apr 22 22:43:17 2016	1461364997	0	13341	13341	13336
Fri Apr 22 22:32:27 2016	1461364347	0	13344	13344	13334
Fri Apr 22 22:37:58 2016	1461364678	0	13378	13378	13367
Fri Apr 22 22:42:08 2016	1461364928	0	13471	13471	13466
