Percentage served,Time in ms
0,926.398
1,954.912
2,962.152
3,968.841
4,970.924
5,980.060
6,994.725
7,1008.450
8,1033.158
9,1045.959
10,1049.792
11,1065.946
12,1073.754
13,1092.801
14,1102.295
15,1112.629
16,1140.002
17,1221.289
18,1243.658
19,1292.291
20,1305.466
21,1314.268
22,1317.339
23,1322.656
24,1327.895
25,1334.178
26,1336.281
27,1342.783
28,1350.047
29,1358.327
30,1364.050
31,1371.970
32,1382.158
33,1391.178
34,1409.313
35,1426.603
36,1436.262
37,1450.117
38,1464.302
39,1518.139
40,1520.185
41,1607.107
42,1671.524
43,1721.580
44,1975.650
45,2118.349
46,2193.493
47,3121.689
48,3740.441
49,4068.838
50,4101.444
51,4156.877
52,4184.734
53,4246.436
54,4248.088
55,4254.870
56,4286.256
57,4296.823
58,4326.267
59,4369.313
60,4379.100
61,4408.393
62,4416.668
63,4461.302
64,4507.395
65,4545.072
66,4553.928
67,4591.357
68,4606.855
69,4623.687
70,4637.960
71,4649.125
72,4653.641
73,4714.684
74,4772.890
75,4798.183
76,4799.933
77,4825.938
78,4871.670
79,4881.691
80,4924.385
81,4959.391
82,4990.398
83,5028.952
84,5072.446
85,5111.127
86,5135.820
87,5232.847
88,5233.919
89,5304.297
90,5328.540
91,5382.798
92,5460.052
93,5493.810
94,5555.224
95,5809.778
96,5984.126
97,6321.535
98,6608.961
99,7049.583
100,8947.263
