starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 05:10:31 2016	1461474631	0	17167	17168	17159
Sun Apr 24 04:55:52 2016	1461473752	0	17200	17200	17193
Sun Apr 24 05:10:43 2016	1461474643	0	17438	17439	17426
Sun Apr 24 05:00:36 2016	1461474036	0	17458	17458	17453
Sun Apr 24 04:57:33 2016	1461473853	0	17502	17502	17493
Sun Apr 24 05:09:48 2016	1461474588	0	17553	17554	17549
Sun Apr 24 05:01:28 2016	1461474088	0	17669	17669	17660
Sun Apr 24 04:50:26 2016	1461473426	0	17971	17971	17962
Sun Apr 24 05:02:47 2016	1461474167	0	18105	18106	18095
Sun Apr 24 04:54:04 2016	1461473644	0	18124	18124	18116
Sun Apr 24 04:52:49 2016	1461473569	0	18140	18140	18133
Sun Apr 24 04:58:35 2016	1461473915	0	18193	18193	18187
Sun Apr 24 04:55:05 2016	1461473705	0	18260	18260	18250
Sun Apr 24 04:53:05 2016	1461473585	0	18265	18265	18260
Sun Apr 24 05:01:00 2016	1461474060	0	18308	18308	18301
Sun Apr 24 04:55:34 2016	1461473734	0	18372	18372	18360
Sun Apr 24 05:01:13 2016	1461474073	0	18384	18385	18372
Sun Apr 24 04:58:19 2016	1461473899	0	18390	18390	18382
Sun Apr 24 05:10:12 2016	1461474612	0	18391	18391	18381
Sun Apr 24 04:52:12 2016	1461473532	0	18402	18402	18394
Sun Apr 24 05:04:18 2016	1461474258	0	18438	18439	18426
Sun Apr 24 04:56:41 2016	1461473801	0	18448	18448	18440
Sun Apr 24 04:53:46 2016	1461473626	0	18487	18487	18481
Sun Apr 24 05:10:45 2016	1461474645	0	18525	18525	18519
Sun Apr 24 05:01:40 2016	1461474100	0	18530	18530	18524
Sun Apr 24 04:59:36 2016	1461473976	0	18579	18579	18564
Sun Apr 24 04:50:22 2016	1461473422	0	18585	18586	18575
Sun Apr 24 04:54:05 2016	1461473645	0	18643	18643	18635
Sun Apr 24 04:56:04 2016	1461473764	0	18643	18643	18635
Sun Apr 24 04:59:17 2016	1461473957	0	18649	18649	18640
Sun Apr 24 04:57:19 2016	1461473839	0	18661	18661	18652
Sun Apr 24 04:55:12 2016	1461473712	0	18669	18669	18661
Sun Apr 24 04:57:57 2016	1461473877	0	18669	18669	18659
Sun Apr 24 05:04:59 2016	1461474299	0	18690	18690	18681
Sun Apr 24 04:58:56 2016	1461473936	0	18709	18709	18700
Sun Apr 24 05:02:30 2016	1461474150	0	18713	18713	18700
Sun Apr 24 04:56:22 2016	1461473782	0	18722	18723	18717
Sun Apr 24 04:57:40 2016	1461473860	0	18757	18758	18751
Sun Apr 24 04:54:22 2016	1461473662	0	18762	18763	18749
