starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 10:45:53 2016	1461408353	0	1343	1343	1336
Sat Apr 23 10:44:57 2016	1461408297	0	1344	1345	1338
Sat Apr 23 10:46:23 2016	1461408383	0	1347	1347	1342
Sat Apr 23 10:45:48 2016	1461408348	1	1363	1364	1355
Sat Apr 23 10:46:17 2016	1461408377	0	1365	1365	1355
Sat Apr 23 10:44:22 2016	1461408262	0	1369	1370	1363
Sat Apr 23 10:45:57 2016	1461408357	0	1378	1378	1369
Sat Apr 23 10:46:19 2016	1461408379	0	1398	1398	1390
Sat Apr 23 10:44:31 2016	1461408271	0	1398	1398	1386
Sat Apr 23 10:45:46 2016	1461408346	0	1407	1408	1400
Sat Apr 23 10:46:18 2016	1461408378	0	1419	1420	1414
Sat Apr 23 10:45:41 2016	1461408341	0	1419	1420	1412
Sat Apr 23 10:45:50 2016	1461408350	0	1428	1429	1419
Sat Apr 23 10:44:17 2016	1461408257	0	1431	1431	1421
Sat Apr 23 10:45:47 2016	1461408347	3	1433	1436	1422
Sat Apr 23 10:45:51 2016	1461408351	0	1439	1440	1433
Sat Apr 23 10:46:06 2016	1461408366	0	1441	1441	1433
Sat Apr 23 10:46:24 2016	1461408384	0	1446	1446	1406
Sat Apr 23 10:44:19 2016	1461408259	0	1447	1448	1438
Sat Apr 23 10:44:33 2016	1461408273	0	1449	1449	1442
Sat Apr 23 10:44:57 2016	1461408297	0	1451	1451	1445
Sat Apr 23 10:46:12 2016	1461408372	0	1452	1452	1441
Sat Apr 23 10:44:12 2016	1461408252	0	1452	1452	1447
Sat Apr 23 10:44:44 2016	1461408284	0	1452	1453	1448
Sat Apr 23 10:44:55 2016	1461408295	0	1453	1453	1442
Sat Apr 23 10:45:39 2016	1461408339	0	1453	1454	1442
Sat Apr 23 10:45:45 2016	1461408345	0	1456	1457	1446
Sat Apr 23 10:46:16 2016	1461408376	0	1457	1457	1450
Sat Apr 23 10:45:04 2016	1461408304	0	1457	1457	1447
Sat Apr 23 10:45:18 2016	1461408318	0	1457	1457	1451
Sat Apr 23 10:44:56 2016	1461408296	0	1457	1457	1452
Sat Apr 23 10:45:04 2016	1461408304	0	1459	1459	1452
