Percentage served,Time in ms
0,932.072
1,944.700
2,952.979
3,968.505
4,974.522
5,992.153
6,1005.830
7,1034.226
8,1038.928
9,1043.206
10,1046.866
11,1051.953
12,1054.941
13,1061.715
14,1062.741
15,1081.753
16,1088.300
17,1101.495
18,1134.320
19,1152.562
20,1168.089
21,1192.682
22,1202.924
23,1268.101
24,1294.248
25,1311.054
26,1329.646
27,1337.442
28,1341.924
29,1346.804
30,1351.208
31,1362.345
32,1366.986
33,1377.650
34,1384.326
35,1390.636
36,1391.672
37,1411.227
38,1436.100
39,1448.628
40,1476.291
41,1553.264
42,1564.776
43,1657.999
44,1735.166
45,2003.486
46,2197.708
47,2617.605
48,3371.882
49,3472.342
50,3518.128
51,3522.878
52,3556.742
53,3565.228
54,3595.366
55,3622.956
56,3634.757
57,3674.594
58,3690.095
59,3729.946
60,3773.335
61,3818.521
62,3819.515
63,3843.029
64,3885.930
65,3894.013
66,3913.361
67,3942.660
68,3947.925
69,3971.243
70,4035.851
71,4083.509
72,4094.343
73,4128.767
74,4141.860
75,4173.899
76,4187.053
77,4229.535
78,4252.536
79,4367.468
80,4382.697
81,4442.386
82,4467.155
83,4500.774
84,4514.161
85,4553.634
86,4564.846
87,4614.235
88,4650.979
89,4744.748
90,4769.559
91,4896.365
92,4978.865
93,5215.989
94,5387.914
95,5661.384
96,5716.649
97,6417.797
98,6550.897
99,7354.649
100,24609.974
