starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 08:46:05 2016	1461487565	0	932	932	927
Sun Apr 24 08:47:07 2016	1461487627	0	940	941	931
Sun Apr 24 08:46:43 2016	1461487603	0	944	945	929
Sun Apr 24 08:45:56 2016	1461487556	0	944	945	939
Sun Apr 24 08:47:55 2016	1461487675	0	946	946	940
Sun Apr 24 08:47:17 2016	1461487637	0	953	953	943
Sun Apr 24 08:46:59 2016	1461487619	0	966	966	953
Sun Apr 24 08:47:56 2016	1461487676	0	966	967	959
Sun Apr 24 08:47:08 2016	1461487628	0	968	969	960
Sun Apr 24 08:47:50 2016	1461487670	0	971	971	965
Sun Apr 24 08:47:53 2016	1461487673	0	974	975	969
Sun Apr 24 08:47:54 2016	1461487674	0	978	978	970
Sun Apr 24 08:48:49 2016	1461487729	0	988	989	977
Sun Apr 24 08:45:55 2016	1461487555	0	992	992	979
Sun Apr 24 08:46:27 2016	1461487587	0	1000	1000	993
Sun Apr 24 08:46:04 2016	1461487564	0	1005	1006	1001
Sun Apr 24 08:48:13 2016	1461487693	0	1022	1022	1012
Sun Apr 24 08:47:49 2016	1461487669	0	1029	1029	1022
Sun Apr 24 08:46:58 2016	1461487618	1	1034	1034	1027
Sun Apr 24 08:45:55 2016	1461487555	0	1037	1037	1026
Sun Apr 24 08:46:56 2016	1461487616	0	1039	1039	1031
Sun Apr 24 08:47:35 2016	1461487655	0	1041	1041	1032
Sun Apr 24 08:46:28 2016	1461487588	0	1041	1041	1032
Sun Apr 24 08:46:26 2016	1461487586	3	1040	1043	1029
Sun Apr 24 08:47:07 2016	1461487627	0	1045	1046	1038
Sun Apr 24 08:46:36 2016	1461487596	0	1046	1047	1037
Sun Apr 24 08:47:06 2016	1461487626	0	1049	1049	1040
Sun Apr 24 08:46:43 2016	1461487603	0	1051	1051	1040
Sun Apr 24 08:46:35 2016	1461487595	0	1052	1052	1044
Sun Apr 24 08:46:25 2016	1461487585	0	1052	1052	1044
Sun Apr 24 08:48:46 2016	1461487726	0	1054	1055	1044
Sun Apr 24 08:46:03 2016	1461487563	0	1055	1056	1047
Sun Apr 24 08:46:11 2016	1461487571	0	1061	1061	1054
Sun Apr 24 08:48:12 2016	1461487692	0	1061	1062	1053
Sun Apr 24 08:48:34 2016	1461487714	0	1062	1062	1054
Sun Apr 24 08:48:48 2016	1461487728	0	1062	1063	1055
Sun Apr 24 08:47:33 2016	1461487653	0	1071	1071	1063
Sun Apr 24 08:48:13 2016	1461487693	0	1076	1077	1066
Sun Apr 24 08:46:11 2016	1461487571	0	1081	1082	1071
Sun Apr 24 08:47:21 2016	1461487641	0	1083	1083	1078
Sun Apr 24 08:47:40 2016	1461487660	0	1088	1088	1079
Sun Apr 24 08:47:52 2016	1461487672	0	1091	1091	1080
