Percentage served,Time in ms
0,16450.985
1,18104.835
2,18291.303
3,18493.096
4,18541.417
5,18698.069
6,18933.905
7,19056.356
8,19248.280
9,19332.811
10,19407.811
11,19818.636
12,19893.886
13,20031.797
14,20080.126
15,20390.413
16,20427.152
17,20488.118
18,20525.194
19,20833.170
20,20857.578
21,20984.726
22,21076.281
23,21172.293
24,21210.195
25,21327.890
26,21389.757
27,21494.441
28,21572.968
29,21700.328
30,21801.324
31,21878.095
32,21907.780
33,22018.260
34,22139.649
35,22218.744
36,22321.532
37,22383.734
38,22415.534
39,22442.140
40,22475.809
41,22543.924
42,22597.209
43,22717.052
44,22809.756
45,22838.217
46,22889.489
47,22966.473
48,23009.060
49,23053.051
50,23151.414
51,23209.676
52,23253.910
53,23300.467
54,23322.675
55,23420.402
56,23477.231
57,23561.293
58,23612.983
59,23772.119
60,23820.110
61,23872.552
62,23915.287
63,24005.888
64,24162.268
65,24380.548
66,24408.222
67,24476.026
68,24549.758
69,24621.487
70,24648.613
71,24723.187
72,24804.180
73,24890.503
74,24914.312
75,24983.058
76,25114.859
77,25254.716
78,25531.354
79,25721.741
80,25814.897
81,26015.961
82,26218.251
83,26346.051
84,26459.266
85,26546.749
86,26625.406
87,26897.697
88,26977.456
89,27247.829
90,27316.761
91,27812.599
92,27964.816
93,28386.195
94,28521.031
95,29673.389
96,29911.261
97,31177.049
98,32123.948
99,34339.562
100,35416.390
