starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 06:58:37 2016	1461481117	0	16451	16451	16444
Sun Apr 24 06:59:38 2016	1461481178	0	17483	17483	17475
Sun Apr 24 06:58:23 2016	1461481103	0	17517	17517	17511
Sun Apr 24 07:03:19 2016	1461481399	0	18104	18105	18097
Sun Apr 24 06:58:26 2016	1461481106	0	18116	18116	18110
Sun Apr 24 06:59:56 2016	1461481196	0	18291	18291	18283
Sun Apr 24 06:59:21 2016	1461481161	0	18355	18356	18347
Sun Apr 24 07:01:47 2016	1461481307	0	18368	18368	18362
Sun Apr 24 07:02:25 2016	1461481345	0	18493	18493	18487
Sun Apr 24 07:01:55 2016	1461481315	0	18523	18523	18514
Sun Apr 24 07:02:35 2016	1461481355	0	18541	18541	18533
Sun Apr 24 07:01:28 2016	1461481288	0	18676	18676	18666
Sun Apr 24 06:59:39 2016	1461481179	0	18692	18692	18684
Sun Apr 24 06:59:24 2016	1461481164	0	18698	18698	18691
Sun Apr 24 07:03:14 2016	1461481394	0	18754	18755	18746
Sun Apr 24 07:03:05 2016	1461481385	0	18934	18934	18923
Sun Apr 24 06:58:18 2016	1461481098	0	18956	18956	18951
Sun Apr 24 07:01:09 2016	1461481269	0	19008	19008	19000
Sun Apr 24 07:01:36 2016	1461481296	0	19056	19056	19048
Sun Apr 24 06:59:34 2016	1461481174	0	19138	19139	19127
Sun Apr 24 07:00:52 2016	1461481252	0	19248	19248	19239
Sun Apr 24 06:59:15 2016	1461481155	0	19318	19318	19309
Sun Apr 24 06:59:05 2016	1461481145	0	19323	19323	19317
Sun Apr 24 07:00:04 2016	1461481204	0	19332	19333	19324
Sun Apr 24 07:01:56 2016	1461481316	0	19355	19356	19349
Sun Apr 24 06:58:36 2016	1461481116	0	19407	19408	19403
Sun Apr 24 07:02:14 2016	1461481334	0	19605	19605	19599
Sun Apr 24 06:58:41 2016	1461481121	0	19776	19776	19767
Sun Apr 24 07:02:15 2016	1461481335	0	19818	19819	19811
Sun Apr 24 07:01:16 2016	1461481276	0	19860	19860	19851
Sun Apr 24 06:59:01 2016	1461481141	0	19894	19894	19884
Sun Apr 24 07:00:57 2016	1461481257	0	19924	19925	19916
Sun Apr 24 07:03:36 2016	1461481416	0	19941	19942	19936
Sun Apr 24 06:58:03 2016	1461481083	0	20031	20032	20023
