Percentage served,Time in ms
0,3242.158
1,3384.135
2,3495.210
3,3523.527
4,3528.680
5,3567.317
6,3592.205
7,3651.703
8,3685.408
9,3695.428
10,3698.477
11,3710.208
12,3741.437
13,3777.859
14,3793.092
15,3817.569
16,3847.640
17,3882.697
18,3884.097
19,3902.574
20,3927.023
21,3961.805
22,3989.822
23,4038.981
24,4071.042
25,4076.121
26,4124.462
27,4142.185
28,4154.968
29,4174.476
30,4192.504
31,4259.753
32,4288.943
33,4363.589
34,4400.920
35,4462.365
36,4478.076
37,4513.554
38,4549.459
39,4596.461
40,4630.817
41,4686.189
42,4726.045
43,4872.505
44,4978.398
45,5440.035
46,5729.044
47,6445.475
48,6850.496
49,7014.533
50,7096.208
51,7167.760
52,7200.146
53,7242.634
54,7268.644
55,7309.656
56,7373.406
57,7430.252
58,7471.112
59,7536.045
60,7549.834
61,7560.590
62,7613.924
63,7704.091
64,7718.217
65,7756.293
66,7766.885
67,7824.277
68,7845.619
69,7850.035
70,7894.332
71,7934.478
72,7976.639
73,8051.939
74,8094.346
75,8134.172
76,8155.971
77,8260.890
78,8288.988
79,8327.728
80,8406.763
81,8455.064
82,8510.103
83,8567.500
84,8625.201
85,8671.434
86,8748.957
87,8782.593
88,8823.602
89,9021.914
90,9028.928
91,9105.973
92,9306.003
93,9376.152
94,9438.438
95,9691.910
96,9746.648
97,10755.498
98,11098.312
99,11781.511
100,12592.232
