Percentage served,Time in ms
0,1120.865
1,1169.879
2,1179.893
3,1181.881
4,1187.992
5,1203.162
6,1207.252
7,1215.184
8,1224.253
9,1229.041
10,1250.471
11,1265.428
12,1274.216
13,1289.409
14,1303.202
15,1310.989
16,1325.225
17,1332.879
18,1353.136
19,1382.069
20,1406.498
21,1413.330
22,1423.491
23,1444.784
24,1452.671
25,1460.502
26,1463.993
27,1471.034
28,1475.538
29,1489.094
30,1491.994
31,1496.369
32,1501.968
33,1506.019
34,1508.251
35,1523.862
36,1524.675
37,1528.593
38,1532.780
39,1567.353
40,1578.036
41,1616.479
42,1621.809
43,1674.759
44,1715.606
45,1753.270
46,1800.702
47,1985.015
48,2147.832
49,2307.758
50,2376.723
51,3320.957
52,3383.934
53,3545.373
54,3554.997
55,3625.896
56,3644.080
57,3657.765
58,3666.189
59,3698.689
60,3711.031
61,3724.418
62,3754.106
63,3761.644
64,3782.673
65,3801.447
66,3822.211
67,3824.092
68,3833.566
69,3846.479
70,3863.906
71,3880.858
72,3891.829
73,3903.882
74,3931.480
75,3965.965
76,3972.364
77,4000.584
78,4008.140
79,4041.843
80,4048.237
81,4091.473
82,4110.484
83,4115.747
84,4145.062
85,4222.910
86,4268.747
87,4289.168
88,4306.741
89,4349.092
90,4501.557
91,4529.644
92,4573.214
93,4717.764
94,4786.614
95,5061.766
96,5124.314
97,5142.760
98,5189.862
99,5299.308
100,5619.249
