starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 02:15:26 2016	1461464126	0	1121	1121	1113
Sun Apr 24 02:15:04 2016	1461464104	0	1146	1146	1134
Sun Apr 24 02:13:43 2016	1461464023	0	1163	1163	1156
Sun Apr 24 02:14:17 2016	1461464057	0	1170	1170	1161
Sun Apr 24 02:15:54 2016	1461464154	0	1178	1178	1170
Sun Apr 24 02:15:25 2016	1461464125	0	1180	1180	1171
Sun Apr 24 02:15:16 2016	1461464116	2	1178	1180	1173
Sun Apr 24 02:14:51 2016	1461464091	1	1181	1181	1167
Sun Apr 24 02:15:03 2016	1461464103	0	1182	1182	1173
Sun Apr 24 02:16:06 2016	1461464166	0	1185	1185	1179
Sun Apr 24 02:14:38 2016	1461464078	0	1188	1188	1177
Sun Apr 24 02:14:47 2016	1461464087	0	1195	1195	1186
Sun Apr 24 02:14:37 2016	1461464077	0	1197	1198	1179
Sun Apr 24 02:14:15 2016	1461464055	0	1203	1203	1188
Sun Apr 24 02:13:56 2016	1461464036	0	1204	1204	1196
Sun Apr 24 02:15:52 2016	1461464152	0	1207	1207	1199
Sun Apr 24 02:14:32 2016	1461464072	0	1209	1209	1200
Sun Apr 24 02:15:21 2016	1461464121	0	1213	1213	1204
Sun Apr 24 02:13:52 2016	1461464032	0	1215	1215	1195
Sun Apr 24 02:13:42 2016	1461464022	0	1217	1217	1211
Sun Apr 24 02:14:26 2016	1461464066	0	1224	1224	1214
Sun Apr 24 02:15:03 2016	1461464103	0	1225	1226	1219
Sun Apr 24 02:15:24 2016	1461464124	0	1226	1227	1221
Sun Apr 24 02:16:08 2016	1461464168	0	1229	1229	1218
Sun Apr 24 02:16:07 2016	1461464167	1	1230	1231	1223
Sun Apr 24 02:14:16 2016	1461464056	0	1250	1250	1240
Sun Apr 24 02:15:13 2016	1461464113	0	1257	1257	1250
Sun Apr 24 02:13:45 2016	1461464025	0	1259	1260	1248
Sun Apr 24 02:14:25 2016	1461464065	0	1265	1265	1255
Sun Apr 24 02:14:02 2016	1461464042	1	1268	1269	1256
Sun Apr 24 02:13:55 2016	1461464035	0	1274	1274	1247
Sun Apr 24 02:15:33 2016	1461464133	0	1277	1277	1270
Sun Apr 24 02:13:29 2016	1461464009	0	1278	1278	1270
Sun Apr 24 02:13:39 2016	1461464019	0	1289	1289	1281
Sun Apr 24 02:14:24 2016	1461464064	0	1302	1303	1291
Sun Apr 24 02:14:24 2016	1461464064	0	1303	1303	1296
Sun Apr 24 02:15:14 2016	1461464114	0	1306	1306	1299
Sun Apr 24 02:15:22 2016	1461464122	0	1308	1308	1299
Sun Apr 24 02:16:05 2016	1461464165	0	1311	1311	1299
Sun Apr 24 02:16:03 2016	1461464163	0	1320	1320	1310
Sun Apr 24 02:13:37 2016	1461464017	0	1325	1325	1318
Sun Apr 24 02:15:32 2016	1461464132	0	1327	1328	1318
Sun Apr 24 02:14:53 2016	1461464093	0	1331	1331	1324
Sun Apr 24 02:14:54 2016	1461464094	0	1332	1333	1325
Sun Apr 24 02:13:54 2016	1461464034	0	1343	1343	1331
Sun Apr 24 02:15:23 2016	1461464123	0	1353	1353	1343
Sun Apr 24 02:15:15 2016	1461464115	0	1370	1370	1363
Sun Apr 24 02:13:41 2016	1461464021	0	1375	1376	1369
Sun Apr 24 02:14:04 2016	1461464044	0	1382	1382	1366
Sun Apr 24 02:14:23 2016	1461464063	0	1394	1395	1383
Sun Apr 24 02:14:13 2016	1461464053	0	1406	1406	1392
Sun Apr 24 02:14:13 2016	1461464053	0	1408	1409	1403
Sun Apr 24 02:14:52 2016	1461464092	0	1411	1412	1400
Sun Apr 24 02:15:02 2016	1461464102	0	1413	1413	1402
Sun Apr 24 02:15:41 2016	1461464141	0	1413	1414	1405
Sun Apr 24 02:14:55 2016	1461464095	0	1423	1423	1413
Sun Apr 24 02:14:25 2016	1461464065	0	1431	1432	1426
Sun Apr 24 02:15:46 2016	1461464146	0	1443	1444	1432
Sun Apr 24 02:13:29 2016	1461464009	0	1444	1445	1438
Sun Apr 24 02:15:42 2016	1461464142	0	1447	1447	1441
Sun Apr 24 02:15:58 2016	1461464158	0	1452	1453	1443
Sun Apr 24 02:15:14 2016	1461464114	0	1458	1459	1450
Sun Apr 24 02:14:50 2016	1461464090	0	1460	1460	1451
Sun Apr 24 02:14:46 2016	1461464086	0	1460	1461	1453
Sun Apr 24 02:15:58 2016	1461464158	0	1462	1463	1453
Sun Apr 24 02:16:09 2016	1461464169	0	1464	1464	1456
Sun Apr 24 02:15:24 2016	1461464124	0	1467	1468	1458
Sun Apr 24 02:14:41 2016	1461464081	0	1469	1469	1463
Sun Apr 24 02:13:35 2016	1461464015	0	1471	1471	1464
Sun Apr 24 02:15:19 2016	1461464119	0	1475	1475	1471
Sun Apr 24 02:13:45 2016	1461464025	0	1475	1476	1465
Sun Apr 24 02:15:01 2016	1461464101	0	1477	1478	1471
Sun Apr 24 02:15:59 2016	1461464159	0	1479	1479	1470
Sun Apr 24 02:15:34 2016	1461464134	0	1489	1489	1479
Sun Apr 24 02:16:09 2016	1461464169	1	1489	1490	1482
Sun Apr 24 02:15:03 2016	1461464103	0	1492	1492	1477
Sun Apr 24 02:14:15 2016	1461464055	0	1494	1495	1489
Sun Apr 24 02:14:30 2016	1461464070	0	1496	1496	1485
Sun Apr 24 02:14:21 2016	1461464061	0	1496	1496	1489
Sun Apr 24 02:16:02 2016	1461464162	0	1500	1501	1493
Sun Apr 24 02:13:27 2016	1461464007	0	1502	1502	1495
Sun Apr 24 02:15:39 2016	1461464139	0	1502	1502	1495
Sun Apr 24 02:15:05 2016	1461464105	0	1506	1506	1497
Sun Apr 24 02:14:10 2016	1461464050	0	1506	1506	1496
Sun Apr 24 02:15:30 2016	1461464130	0	1507	1508	1497
Sun Apr 24 02:14:10 2016	1461464050	0	1508	1508	1499
Sun Apr 24 02:15:48 2016	1461464148	0	1514	1514	1508
Sun Apr 24 02:14:22 2016	1461464062	0	1523	1523	1504
Sun Apr 24 02:13:28 2016	1461464008	0	1523	1524	1517
Sun Apr 24 02:15:31 2016	1461464131	0	1524	1525	1517
Sun Apr 24 02:15:53 2016	1461464153	0	1524	1525	1517
Sun Apr 24 02:14:05 2016	1461464045	0	1526	1527	1518
Sun Apr 24 02:14:01 2016	1461464041	0	1528	1528	1523
Sun Apr 24 02:15:26 2016	1461464126	0	1528	1529	1515
Sun Apr 24 02:15:40 2016	1461464140	0	1531	1531	1521
Sun Apr 24 02:15:47 2016	1461464147	0	1532	1533	1525
Sun Apr 24 02:14:04 2016	1461464044	0	1535	1535	1525
Sun Apr 24 02:13:50 2016	1461464030	0	1548	1549	1542
Sun Apr 24 02:15:51 2016	1461464151	0	1567	1567	1559
Sun Apr 24 02:13:35 2016	1461464015	0	1571	1571	1559
Sun Apr 24 02:15:11 2016	1461464111	0	1578	1578	1573
Sun Apr 24 02:14:35 2016	1461464075	0	1582	1583	1572
Sun Apr 24 02:15:52 2016	1461464152	0	1590	1590	1582
Sun Apr 24 02:13:55 2016	1461464035	0	1616	1616	1602
Sun Apr 24 02:15:31 2016	1461464131	0	1619	1619	1609
Sun Apr 24 02:14:52 2016	1461464092	0	1621	1622	1614
Sun Apr 24 02:15:45 2016	1461464145	0	1655	1655	1648
Sun Apr 24 02:15:19 2016	1461464119	0	1663	1664	1655
Sun Apr 24 02:16:03 2016	1461464163	0	1674	1675	1662
Sun Apr 24 02:14:37 2016	1461464077	0	1714	1714	1705
Sun Apr 24 02:14:35 2016	1461464075	0	1715	1716	1709
Sun Apr 24 02:15:30 2016	1461464130	1	1718	1719	1704
Sun Apr 24 02:14:31 2016	1461464071	0	1735	1735	1718
Sun Apr 24 02:14:25 2016	1461464065	0	1753	1753	1743
Sun Apr 24 02:14:11 2016	1461464051	0	1795	1795	1787
Sun Apr 24 02:15:12 2016	1461464112	0	1800	1801	1788
Sun Apr 24 02:14:02 2016	1461464042	0	1822	1823	1817
Sun Apr 24 02:13:36 2016	1461464016	0	1863	1864	1855
Sun Apr 24 02:14:55 2016	1461464095	0	1985	1985	1975
Sun Apr 24 02:14:52 2016	1461464092	0	2087	2088	2078
Sun Apr 24 02:15:21 2016	1461464121	0	2147	2148	2136
Sun Apr 24 02:15:59 2016	1461464159	0	2206	2206	2196
Sun Apr 24 02:13:18 2016	1461463998	18	2227	2244	2196
Sun Apr 24 02:14:11 2016	1461464051	0	2307	2308	2296
Sun Apr 24 02:14:11 2016	1461464051	0	2369	2369	2361
Sun Apr 24 02:14:59 2016	1461464099	0	2376	2377	2371
Sun Apr 24 02:13:36 2016	1461464016	0	2466	2466	2460
Sun Apr 24 02:13:18 2016	1461463998	48	2423	2472	2386
Sun Apr 24 02:14:14 2016	1461464054	0	3321	3321	3313
Sun Apr 24 02:13:42 2016	1461464022	1	3382	3383	3376
Sun Apr 24 02:13:24 2016	1461464004	0	3384	3384	3376
Sun Apr 24 02:14:57 2016	1461464097	0	3504	3504	3492
Sun Apr 24 02:14:07 2016	1461464047	0	3531	3532	3524
Sun Apr 24 02:14:18 2016	1461464058	0	3545	3545	3535
Sun Apr 24 02:14:37 2016	1461464077	0	3554	3555	3545
Sun Apr 24 02:14:46 2016	1461464086	0	3555	3555	3548
Sun Apr 24 02:15:49 2016	1461464149	0	3578	3579	3572
Sun Apr 24 02:15:43 2016	1461464143	0	3585	3586	3579
Sun Apr 24 02:14:33 2016	1461464073	0	3626	3626	3618
Sun Apr 24 02:15:47 2016	1461464147	1	3627	3628	3616
Sun Apr 24 02:15:15 2016	1461464115	0	3644	3644	3635
Sun Apr 24 02:15:30 2016	1461464130	0	3645	3645	3634
Sun Apr 24 02:15:54 2016	1461464154	0	3656	3657	3644
Sun Apr 24 02:16:09 2016	1461464169	0	3657	3658	3647
Sun Apr 24 02:13:44 2016	1461464024	0	3660	3660	3649
Sun Apr 24 02:14:07 2016	1461464047	0	3666	3666	3657
Sun Apr 24 02:15:26 2016	1461464126	0	3680	3681	3665
Sun Apr 24 02:15:27 2016	1461464127	0	3693	3694	3689
Sun Apr 24 02:14:15 2016	1461464055	0	3698	3699	3690
Sun Apr 24 02:13:42 2016	1461464022	0	3710	3711	3704
Sun Apr 24 02:13:53 2016	1461464033	0	3711	3711	3703
Sun Apr 24 02:14:56 2016	1461464096	0	3715	3716	3710
Sun Apr 24 02:14:12 2016	1461464052	1	3719	3719	3707
Sun Apr 24 02:15:22 2016	1461464122	0	3724	3724	3713
Sun Apr 24 02:13:20 2016	1461464000	0	3738	3738	3727
Sun Apr 24 02:14:27 2016	1461464067	0	3754	3754	3744
Sun Apr 24 02:13:52 2016	1461464032	0	3754	3754	3746
Sun Apr 24 02:14:17 2016	1461464057	0	3758	3759	3748
Sun Apr 24 02:15:50 2016	1461464150	0	3761	3762	3752
Sun Apr 24 02:15:55 2016	1461464155	0	3765	3765	3758
Sun Apr 24 02:13:24 2016	1461464004	0	3782	3783	3773
Sun Apr 24 02:16:05 2016	1461464165	0	3787	3787	3776
Sun Apr 24 02:14:43 2016	1461464083	0	3799	3800	3792
Sun Apr 24 02:13:51 2016	1461464031	0	3801	3801	3793
Sun Apr 24 02:15:04 2016	1461464104	0	3818	3819	3811
Sun Apr 24 02:15:27 2016	1461464127	0	3822	3822	3797
Sun Apr 24 02:14:48 2016	1461464088	0	3823	3823	3816
Sun Apr 24 02:14:01 2016	1461464041	0	3823	3823	3813
Sun Apr 24 02:14:07 2016	1461464047	0	3824	3824	3817
Sun Apr 24 02:13:40 2016	1461464020	0	3829	3830	3822
Sun Apr 24 02:15:40 2016	1461464140	0	3833	3834	3828
Sun Apr 24 02:14:04 2016	1461464044	0	3837	3837	3827
Sun Apr 24 02:14:51 2016	1461464091	0	3846	3846	3838
Sun Apr 24 02:13:21 2016	1461464001	0	3846	3846	3835
Sun Apr 24 02:13:50 2016	1461464030	0	3851	3851	3843
Sun Apr 24 02:14:27 2016	1461464067	0	3864	3864	3853
Sun Apr 24 02:15:42 2016	1461464142	0	3874	3875	3865
Sun Apr 24 02:15:26 2016	1461464126	0	3874	3875	3868
Sun Apr 24 02:15:15 2016	1461464115	0	3881	3881	3876
Sun Apr 24 02:14:18 2016	1461464058	0	3885	3886	3878
Sun Apr 24 02:15:47 2016	1461464147	0	3891	3892	3881
Sun Apr 24 02:13:46 2016	1461464026	0	3892	3892	3885
Sun Apr 24 02:14:06 2016	1461464046	0	3901	3901	3888
Sun Apr 24 02:15:01 2016	1461464101	0	3903	3904	3894
Sun Apr 24 02:15:14 2016	1461464114	0	3908	3908	3902
Sun Apr 24 02:15:59 2016	1461464159	0	3931	3931	3926
Sun Apr 24 02:16:05 2016	1461464165	0	3947	3948	3941
Sun Apr 24 02:15:41 2016	1461464141	0	3958	3958	3951
Sun Apr 24 02:15:33 2016	1461464133	0	3966	3966	3956
Sun Apr 24 02:14:28 2016	1461464068	1	3966	3967	3958
Sun Apr 24 02:15:18 2016	1461464118	0	3972	3972	3964
Sun Apr 24 02:14:39 2016	1461464079	1	3988	3988	3981
Sun Apr 24 02:14:17 2016	1461464057	0	4000	4000	3990
Sun Apr 24 02:15:50 2016	1461464150	0	4000	4001	3991
Sun Apr 24 02:14:31 2016	1461464071	0	4003	4003	3993
Sun Apr 24 02:14:31 2016	1461464071	0	4008	4008	3998
Sun Apr 24 02:13:38 2016	1461464018	0	4009	4010	3987
Sun Apr 24 02:14:32 2016	1461464072	0	4038	4038	4030
Sun Apr 24 02:13:38 2016	1461464018	0	4041	4042	4034
Sun Apr 24 02:13:32 2016	1461464012	0	4042	4043	4033
Sun Apr 24 02:15:04 2016	1461464104	0	4048	4048	4040
Sun Apr 24 02:14:37 2016	1461464077	0	4049	4049	4043
Sun Apr 24 02:14:59 2016	1461464099	0	4090	4090	4078
Sun Apr 24 02:15:36 2016	1461464136	0	4091	4091	4082
Sun Apr 24 02:13:57 2016	1461464037	0	4102	4102	4092
Sun Apr 24 02:14:42 2016	1461464082	0	4110	4110	4100
Sun Apr 24 02:15:36 2016	1461464136	0	4114	4114	4105
Sun Apr 24 02:15:17 2016	1461464117	0	4114	4115	4105
Sun Apr 24 02:14:38 2016	1461464078	0	4115	4116	4105
Sun Apr 24 02:14:47 2016	1461464087	0	4116	4116	4104
Sun Apr 24 02:13:18 2016	1461463998	1	4144	4145	4134
Sun Apr 24 02:14:22 2016	1461464062	0	4161	4161	4156
Sun Apr 24 02:13:37 2016	1461464017	0	4181	4182	4173
Sun Apr 24 02:13:28 2016	1461464008	0	4222	4223	4217
