Percentage served,Time in ms
0,1911.902
1,6244.136
2,6340.475
3,6434.700
4,6450.159
5,6502.714
6,6543.600
7,6559.190
8,6582.049
9,6631.546
10,6635.972
11,6665.983
12,6671.276
13,6728.932
14,6759.171
15,6789.108
16,6801.313
17,6810.146
18,6824.371
19,6843.953
20,6847.579
21,6856.106
22,6867.402
23,6904.540
24,6919.407
25,6928.227
26,6937.055
27,6952.449
28,6954.036
29,6985.948
30,7005.371
31,7019.267
32,7040.543
33,7077.274
34,7083.561
35,7101.452
36,7113.833
37,7136.025
38,7150.193
39,7164.075
40,7178.525
41,7186.735
42,7191.694
43,7211.013
44,7215.502
45,7233.589
46,7261.666
47,7291.910
48,7317.278
49,7333.551
50,7341.838
51,7389.292
52,7408.273
53,7431.774
54,7452.390
55,7469.007
56,7475.999
57,7479.666
58,7480.755
59,7484.693
60,7502.937
61,7527.349
62,7547.428
63,7593.030
64,7612.558
65,7624.851
66,7636.337
67,7663.800
68,7708.807
69,7714.532
70,7741.562
71,7764.401
72,7793.565
73,7818.471
74,7833.287
75,7850.523
76,7880.128
77,7925.341
78,7998.723
79,8013.533
80,8019.638
81,8083.055
82,8102.126
83,8158.356
84,8179.018
85,8265.501
86,8304.435
87,8370.393
88,8430.212
89,8457.534
90,8529.871
91,8584.153
92,8637.638
93,8717.500
94,8759.224
95,8904.217
96,9115.331
97,9194.735
98,9276.516
99,9926.431
100,10310.417
