starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 04:36:19 2016	1461472579	0	2942	2943	2935
Sun Apr 24 04:35:54 2016	1461472554	0	3010	3010	3001
Sun Apr 24 04:36:36 2016	1461472596	0	3051	3051	3042
Sun Apr 24 04:34:05 2016	1461472445	0	3181	3181	3173
Sun Apr 24 04:36:21 2016	1461472581	0	3203	3203	3192
Sun Apr 24 04:35:56 2016	1461472556	0	3217	3218	3210
Sun Apr 24 04:35:20 2016	1461472520	0	3232	3233	3226
Sun Apr 24 04:33:18 2016	1461472398	0	3273	3273	3267
Sun Apr 24 04:33:10 2016	1461472390	0	3296	3297	3285
Sun Apr 24 04:33:24 2016	1461472404	0	3356	3357	3343
Sun Apr 24 04:34:17 2016	1461472457	0	3361	3361	3352
Sun Apr 24 04:32:44 2016	1461472364	0	3367	3368	3357
Sun Apr 24 04:33:14 2016	1461472394	0	3394	3394	3384
Sun Apr 24 04:36:09 2016	1461472569	0	3399	3399	3394
Sun Apr 24 04:32:56 2016	1461472376	0	3407	3408	3393
Sun Apr 24 04:36:46 2016	1461472606	0	3417	3418	3410
Sun Apr 24 04:35:37 2016	1461472537	0	3426	3427	3418
Sun Apr 24 04:36:06 2016	1461472566	0	3432	3433	3425
Sun Apr 24 04:34:39 2016	1461472479	0	3436	3436	3225
Sun Apr 24 04:36:10 2016	1461472570	0	3463	3463	3454
Sun Apr 24 04:32:39 2016	1461472359	0	3487	3487	3476
Sun Apr 24 04:32:46 2016	1461472366	0	3492	3492	3480
Sun Apr 24 04:35:34 2016	1461472534	0	3511	3511	3486
Sun Apr 24 04:36:56 2016	1461472616	0	3515	3515	3510
Sun Apr 24 04:36:14 2016	1461472574	0	3539	3540	3528
Sun Apr 24 04:36:07 2016	1461472567	0	3541	3541	3529
Sun Apr 24 04:35:41 2016	1461472541	0	3543	3543	3531
Sun Apr 24 04:33:03 2016	1461472383	0	3547	3548	3528
Sun Apr 24 04:35:16 2016	1461472516	0	3551	3551	3546
Sun Apr 24 04:34:02 2016	1461472442	0	3555	3555	3545
Sun Apr 24 04:32:40 2016	1461472360	0	3556	3556	3543
Sun Apr 24 04:35:02 2016	1461472502	0	3568	3568	3560
Sun Apr 24 04:33:50 2016	1461472430	0	3568	3569	3561
Sun Apr 24 04:38:48 2016	1461472728	0	3573	3573	3560
Sun Apr 24 04:33:26 2016	1461472406	0	3588	3589	3576
Sun Apr 24 04:38:38 2016	1461472718	0	3589	3589	3579
Sun Apr 24 04:35:19 2016	1461472519	0	3598	3598	3590
Sun Apr 24 04:36:28 2016	1461472588	0	3609	3610	3602
Sun Apr 24 04:33:40 2016	1461472420	0	3641	3641	3632
Sun Apr 24 04:36:59 2016	1461472619	0	3646	3646	3641
Sun Apr 24 04:33:32 2016	1461472412	0	3670	3670	3659
Sun Apr 24 04:32:42 2016	1461472362	1	3696	3696	3687
Sun Apr 24 04:33:46 2016	1461472426	0	3706	3707	3692
Sun Apr 24 04:35:37 2016	1461472537	0	3712	3713	3705
Sun Apr 24 04:33:53 2016	1461472433	0	3715	3716	3708
Sun Apr 24 04:33:22 2016	1461472402	0	3733	3734	3724
Sun Apr 24 04:34:04 2016	1461472444	0	3744	3745	3733
Sun Apr 24 04:36:25 2016	1461472585	0	3748	3749	3738
Sun Apr 24 04:33:11 2016	1461472391	0	3755	3755	3729
Sun Apr 24 04:33:34 2016	1461472414	0	3758	3759	3746
Sun Apr 24 04:36:47 2016	1461472607	0	3791	3791	3780
Sun Apr 24 04:36:58 2016	1461472618	0	3797	3797	3791
Sun Apr 24 04:35:20 2016	1461472520	0	3807	3807	3795
Sun Apr 24 04:34:51 2016	1461472491	0	3807	3807	3798
Sun Apr 24 04:36:42 2016	1461472602	0	3820	3820	3810
Sun Apr 24 04:35:57 2016	1461472557	0	3838	3838	3833
Sun Apr 24 04:35:48 2016	1461472548	0	3863	3863	3852
Sun Apr 24 04:33:42 2016	1461472422	0	3873	3873	3866
Sun Apr 24 04:33:52 2016	1461472432	0	3882	3882	3876
Sun Apr 24 04:35:05 2016	1461472505	1	3898	3898	3882
Sun Apr 24 04:36:49 2016	1461472609	0	3913	3913	3907
Sun Apr 24 04:37:55 2016	1461472675	0	3935	3936	3927
Sun Apr 24 04:37:56 2016	1461472676	0	3952	3953	3941
Sun Apr 24 04:34:25 2016	1461472465	0	3953	3954	3947
Sun Apr 24 04:37:59 2016	1461472679	0	3967	3967	3955
Sun Apr 24 04:33:58 2016	1461472438	0	3973	3974	3960
Sun Apr 24 04:33:07 2016	1461472387	0	3988	3989	3979
Sun Apr 24 04:33:01 2016	1461472381	0	4014	4014	4004
Sun Apr 24 04:37:57 2016	1461472677	1	4020	4020	3993
Sun Apr 24 04:34:47 2016	1461472487	0	4025	4026	4018
Sun Apr 24 04:33:36 2016	1461472416	0	4039	4039	4034
Sun Apr 24 04:34:52 2016	1461472492	0	4046	4046	4030
Sun Apr 24 04:33:40 2016	1461472420	0	4046	4047	4039
Sun Apr 24 04:35:36 2016	1461472536	0	4093	4093	4083
Sun Apr 24 04:33:20 2016	1461472400	0	4112	4113	4106
Sun Apr 24 04:36:29 2016	1461472589	0	4114	4115	4106
Sun Apr 24 04:36:24 2016	1461472584	0	4124	4125	4112
Sun Apr 24 04:36:09 2016	1461472569	0	4158	4158	4147
Sun Apr 24 04:37:50 2016	1461472670	0	4168	4168	4159
Sun Apr 24 04:37:25 2016	1461472645	0	4191	4191	4183
Sun Apr 24 04:33:38 2016	1461472418	0	4219	4219	4197
Sun Apr 24 04:35:01 2016	1461472501	0	4219	4220	4215
Sun Apr 24 04:34:21 2016	1461472461	0	4230	4230	4224
Sun Apr 24 04:38:17 2016	1461472697	0	4240	4240	4231
Sun Apr 24 04:33:28 2016	1461472408	0	4307	4308	4297
Sun Apr 24 04:33:30 2016	1461472410	0	4328	4329	4316
Sun Apr 24 04:36:37 2016	1461472597	0	4342	4343	4337
Sun Apr 24 04:35:46 2016	1461472546	0	4380	4381	4370
Sun Apr 24 04:37:02 2016	1461472622	0	4418	4419	4411
Sun Apr 24 04:37:44 2016	1461472664	0	4429	4430	4423
Sun Apr 24 04:38:47 2016	1461472727	0	4435	4436	4425
Sun Apr 24 04:35:05 2016	1461472505	0	4436	4436	4421
Sun Apr 24 04:34:40 2016	1461472480	0	4484	4484	4477
Sun Apr 24 04:34:56 2016	1461472496	0	4486	4486	4477
Sun Apr 24 04:32:57 2016	1461472377	0	4506	4506	4493
Sun Apr 24 04:36:32 2016	1461472592	0	4510	4510	4503
Sun Apr 24 04:32:26 2016	1461472346	48	4465	4513	4450
Sun Apr 24 04:37:06 2016	1461472626	0	4518	4519	4508
Sun Apr 24 04:33:36 2016	1461472416	0	4653	4653	4646
Sun Apr 24 04:37:30 2016	1461472650	0	4690	4691	4681
Sun Apr 24 04:38:32 2016	1461472712	0	4787	4787	4775
Sun Apr 24 04:36:21 2016	1461472581	0	4811	4811	4803
Sun Apr 24 04:37:21 2016	1461472641	0	4833	4834	4824
Sun Apr 24 04:37:53 2016	1461472673	0	4861	4861	4855
Sun Apr 24 04:35:24 2016	1461472524	0	4920	4921	4905
Sun Apr 24 04:33:31 2016	1461472411	0	4974	4974	4964
Sun Apr 24 04:35:05 2016	1461472505	0	5030	5030	5022
Sun Apr 24 04:38:09 2016	1461472689	0	5045	5046	5039
Sun Apr 24 04:36:53 2016	1461472613	0	5054	5055	5042
Sun Apr 24 04:34:11 2016	1461472451	0	5213	5213	5204
Sun Apr 24 04:33:05 2016	1461472385	0	5378	5378	5372
Sun Apr 24 04:37:45 2016	1461472665	0	5490	5490	5483
Sun Apr 24 04:32:26 2016	1461472346	1	5502	5503	5492
Sun Apr 24 04:33:44 2016	1461472424	0	5524	5525	5515
Sun Apr 24 04:38:17 2016	1461472697	0	5841	5841	5626
Sun Apr 24 04:32:30 2016	1461472350	0	5860	5860	5855
Sun Apr 24 04:33:55 2016	1461472435	0	6048	6049	6042
Sun Apr 24 04:33:00 2016	1461472380	0	6094	6095	6086
Sun Apr 24 04:37:06 2016	1461472626	0	6262	6263	6256
Sun Apr 24 04:36:13 2016	1461472573	0	6383	6383	6375
Sun Apr 24 04:34:15 2016	1461472455	0	6408	6408	6401
Sun Apr 24 04:33:14 2016	1461472394	0	6437	6438	6430
Sun Apr 24 04:35:29 2016	1461472529	0	6542	6543	6530
Sun Apr 24 04:32:51 2016	1461472371	0	6573	6573	6567
Sun Apr 24 04:36:44 2016	1461472604	0	6636	6636	6630
Sun Apr 24 04:34:37 2016	1461472477	0	6690	6690	6679
Sun Apr 24 04:34:14 2016	1461472454	0	6694	6694	6684
Sun Apr 24 04:36:07 2016	1461472567	0	6741	6741	6735
Sun Apr 24 04:32:34 2016	1461472354	0	6783	6784	6773
Sun Apr 24 04:35:13 2016	1461472513	0	6788	6788	6782
Sun Apr 24 04:32:44 2016	1461472364	0	6806	6806	6799
Sun Apr 24 04:32:56 2016	1461472376	1	6820	6821	6809
Sun Apr 24 04:36:22 2016	1461472582	0	6881	6882	6873
Sun Apr 24 04:34:55 2016	1461472495	0	6882	6882	6873
Sun Apr 24 04:35:23 2016	1461472523	0	6887	6888	6879
Sun Apr 24 04:34:07 2016	1461472447	0	6921	6921	6911
Sun Apr 24 04:34:52 2016	1461472492	0	6922	6922	6915
Sun Apr 24 04:34:08 2016	1461472448	0	6924	6924	6917
Sun Apr 24 04:35:30 2016	1461472530	0	6938	6938	6924
Sun Apr 24 04:36:14 2016	1461472574	0	6940	6940	6931
Sun Apr 24 04:35:22 2016	1461472522	0	6961	6962	6953
Sun Apr 24 04:33:21 2016	1461472401	0	6985	6985	6974
Sun Apr 24 04:32:35 2016	1461472355	0	6996	6997	6985
Sun Apr 24 04:37:55 2016	1461472675	0	7072	7072	7063
Sun Apr 24 04:33:24 2016	1461472404	4	7091	7095	7082
Sun Apr 24 04:34:45 2016	1461472485	1	7108	7109	7103
Sun Apr 24 04:32:49 2016	1461472369	1	7114	7115	7092
Sun Apr 24 04:37:07 2016	1461472627	0	7154	7155	7145
Sun Apr 24 04:34:43 2016	1461472483	0	7162	7162	7154
Sun Apr 24 04:32:31 2016	1461472351	0	7168	7168	7159
Sun Apr 24 04:35:09 2016	1461472509	0	7172	7172	7161
Sun Apr 24 04:34:51 2016	1461472491	0	7177	7177	7169
Sun Apr 24 04:33:09 2016	1461472389	0	7181	7181	7172
Sun Apr 24 04:35:52 2016	1461472552	0	7185	7185	7175
Sun Apr 24 04:33:16 2016	1461472396	0	7211	7212	7204
Sun Apr 24 04:32:42 2016	1461472362	0	7248	7248	7240
Sun Apr 24 04:35:09 2016	1461472509	0	7250	7250	7241
Sun Apr 24 04:35:06 2016	1461472506	0	7256	7256	7250
Sun Apr 24 04:36:29 2016	1461472589	0	7260	7261	7249
Sun Apr 24 04:33:02 2016	1461472382	0	7288	7288	7278
Sun Apr 24 04:33:44 2016	1461472424	0	7306	7307	7295
Sun Apr 24 04:38:02 2016	1461472682	0	7315	7315	7309
Sun Apr 24 04:37:10 2016	1461472630	0	7326	7327	7321
Sun Apr 24 04:34:58 2016	1461472498	0	7332	7332	7323
Sun Apr 24 04:33:28 2016	1461472408	0	7350	7351	7345
Sun Apr 24 04:34:21 2016	1461472461	0	7351	7352	7344
Sun Apr 24 04:35:41 2016	1461472541	0	7359	7359	7353
Sun Apr 24 04:35:59 2016	1461472559	0	7380	7381	7374
Sun Apr 24 04:36:58 2016	1461472618	0	7418	7418	7198
Sun Apr 24 04:35:50 2016	1461472550	0	7439	7439	7432
Sun Apr 24 04:36:41 2016	1461472601	0	7455	7455	7446
Sun Apr 24 04:38:40 2016	1461472720	0	7540	7540	7527
Sun Apr 24 04:36:51 2016	1461472611	0	7549	7550	7538
Sun Apr 24 04:36:33 2016	1461472593	0	7564	7565	7556
Sun Apr 24 04:35:16 2016	1461472516	0	7590	7591	7584
Sun Apr 24 04:34:33 2016	1461472473	0	7594	7594	7584
Sun Apr 24 04:37:00 2016	1461472620	0	7595	7595	7588
Sun Apr 24 04:36:36 2016	1461472596	0	7640	7641	7632
Sun Apr 24 04:32:36 2016	1461472356	0	7653	7653	7645
Sun Apr 24 04:38:03 2016	1461472683	0	7654	7654	7648
Sun Apr 24 04:33:15 2016	1461472395	0	7658	7659	7651
Sun Apr 24 04:34:59 2016	1461472499	0	7660	7660	7652
Sun Apr 24 04:38:44 2016	1461472724	0	7667	7668	7661
Sun Apr 24 04:34:39 2016	1461472479	0	7715	7716	7710
Sun Apr 24 04:35:28 2016	1461472528	0	7736	7736	7724
Sun Apr 24 04:32:26 2016	1461472346	10	7758	7769	7748
Sun Apr 24 04:38:42 2016	1461472722	0	7784	7784	7772
Sun Apr 24 04:36:13 2016	1461472573	0	7798	7798	7788
Sun Apr 24 04:36:48 2016	1461472608	0	7803	7804	7798
Sun Apr 24 04:37:17 2016	1461472637	0	7828	7828	7823
Sun Apr 24 04:35:48 2016	1461472548	0	7838	7839	7830
Sun Apr 24 04:37:11 2016	1461472631	0	7844	7845	7837
Sun Apr 24 04:38:01 2016	1461472681	0	7852	7852	7839
Sun Apr 24 04:37:03 2016	1461472623	0	7867	7868	7850
Sun Apr 24 04:38:21 2016	1461472701	0	7893	7893	7881
Sun Apr 24 04:35:40 2016	1461472540	0	7909	7910	7901
Sun Apr 24 04:37:47 2016	1461472667	0	7973	7974	7965
Sun Apr 24 04:38:36 2016	1461472716	0	7998	7998	7992
Sun Apr 24 04:34:25 2016	1461472465	0	8003	8003	7783
Sun Apr 24 04:35:58 2016	1461472558	1	8019	8020	8014
Sun Apr 24 04:37:48 2016	1461472668	0	8078	8079	8068
Sun Apr 24 04:36:39 2016	1461472599	0	8118	8118	8112
Sun Apr 24 04:38:39 2016	1461472719	0	8125	8125	8118
Sun Apr 24 04:38:32 2016	1461472712	0	8130	8130	8125
Sun Apr 24 04:38:11 2016	1461472691	0	8142	8142	8133
Sun Apr 24 04:38:09 2016	1461472689	1	8155	8155	8148
Sun Apr 24 04:35:59 2016	1461472559	0	8165	8165	8154
Sun Apr 24 04:37:12 2016	1461472632	0	8169	8169	8163
Sun Apr 24 04:38:00 2016	1461472680	0	8217	8217	8209
Sun Apr 24 04:33:35 2016	1461472415	0	8270	8270	8262
Sun Apr 24 04:36:29 2016	1461472589	0	8295	8295	8283
Sun Apr 24 04:38:14 2016	1461472694	0	8347	8347	8337
Sun Apr 24 04:36:51 2016	1461472611	0	8393	8394	8383
Sun Apr 24 04:35:10 2016	1461472510	0	8464	8464	8459
Sun Apr 24 04:38:23 2016	1461472703	0	8512	8513	8503
Sun Apr 24 04:34:02 2016	1461472442	0	8585	8585	8574
Sun Apr 24 04:37:44 2016	1461472664	0	8605	8605	8598
Sun Apr 24 04:38:08 2016	1461472688	0	8612	8612	8604
Sun Apr 24 04:33:06 2016	1461472386	0	8741	8741	8735
Sun Apr 24 04:34:28 2016	1461472468	0	8770	8771	8766
Sun Apr 24 04:37:26 2016	1461472646	0	8866	8866	8860
Sun Apr 24 04:34:21 2016	1461472461	1	8878	8879	8861
Sun Apr 24 04:34:43 2016	1461472483	0	8897	8898	8889
Sun Apr 24 04:32:47 2016	1461472367	0	8925	8925	8915
Sun Apr 24 04:34:08 2016	1461472448	0	8945	8945	8936
Sun Apr 24 04:34:16 2016	1461472456	0	8975	8976	8968
Sun Apr 24 04:35:45 2016	1461472545	0	8981	8982	8975
Sun Apr 24 04:33:49 2016	1461472429	0	9035	9035	9026
Sun Apr 24 04:34:30 2016	1461472470	0	9048	9048	9026
Sun Apr 24 04:37:35 2016	1461472655	0	9057	9058	8821
Sun Apr 24 04:36:00 2016	1461472560	0	9122	9122	9116
Sun Apr 24 04:37:28 2016	1461472648	0	9198	9198	9186
Sun Apr 24 04:38:23 2016	1461472703	0	9218	9218	9212
Sun Apr 24 04:32:26 2016	1461472346	21	9207	9229	9180
Sun Apr 24 04:38:29 2016	1461472709	0	9237	9238	9229
Sun Apr 24 04:37:34 2016	1461472654	0	9382	9383	9374
Sun Apr 24 04:37:25 2016	1461472645	1	9561	9562	9550
Sun Apr 24 04:37:19 2016	1461472639	0	9568	9568	9561
Sun Apr 24 04:38:19 2016	1461472699	0	9609	9609	9603
Sun Apr 24 04:38:29 2016	1461472709	0	9658	9658	9650
Sun Apr 24 04:35:36 2016	1461472536	1	9779	9780	9768
Sun Apr 24 04:35:24 2016	1461472524	0	9833	9833	9828
Sun Apr 24 04:33:57 2016	1461472437	0	10111	10111	10103
Sun Apr 24 04:37:37 2016	1461472657	0	10174	10175	10167
Sun Apr 24 04:37:35 2016	1461472655	0	10179	10180	10174
Sun Apr 24 04:34:29 2016	1461472469	0	10385	10386	10380
Sun Apr 24 04:36:17 2016	1461472577	0	11044	11045	11036
Sun Apr 24 04:32:49 2016	1461472369	0	11728	11729	11721
Sun Apr 24 04:37:14 2016	1461472634	0	11789	11790	11781
Sun Apr 24 04:33:43 2016	1461472423	0	20941	20941	20934
