Percentage served,Time in ms
0,1083.416
1,1129.451
2,1155.069
3,1179.067
4,1184.427
5,1203.144
6,1205.916
7,1211.610
8,1216.423
9,1223.453
10,1240.724
11,1243.813
12,1250.269
13,1264.701
14,1271.854
15,1276.292
16,1279.234
17,1284.683
18,1294.504
19,1296.148
20,1298.312
21,1301.313
22,1305.049
23,1306.301
24,1307.820
25,1309.612
26,1314.992
27,1318.103
28,1320.299
29,1322.842
30,1335.226
31,1345.179
32,1354.247
33,1367.384
34,1368.854
35,1371.866
36,1374.584
37,1376.863
38,1377.728
39,1380.041
40,1382.410
41,1384.423
42,1387.206
43,1388.792
44,1389.142
45,1391.438
46,1393.037
47,1394.036
48,1394.869
49,1396.498
50,1396.955
51,1401.109
52,1402.290
53,1407.515
54,1413.278
55,1415.650
56,1416.788
57,1425.603
58,1428.369
59,1431.993
60,1435.454
61,1440.350
62,1441.253
63,1443.337
64,1446.781
65,1459.515
66,1468.199
67,1479.803
68,1481.710
69,1484.878
70,1488.698
71,1502.548
72,1514.501
73,1521.719
74,1529.913
75,1535.860
76,1536.960
77,1546.349
78,1556.541
79,1569.861
80,1583.866
81,1589.654
82,1601.394
83,1617.232
84,1629.819
85,1659.591
86,1670.079
87,1681.458
88,1701.406
89,1755.523
90,1775.285
91,1864.986
92,1873.047
93,1987.945
94,2046.353
95,2133.089
96,2158.232
97,2324.933
98,2337.348
99,2540.742
100,2559.820
