starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 11:06:57 2016	1461409617	0	1083	1083	1078
Sat Apr 23 11:06:39 2016	1461409599	0	1113	1114	1107
Sat Apr 23 11:06:40 2016	1461409600	0	1129	1129	1124
Sat Apr 23 11:07:08 2016	1461409628	0	1129	1129	1122
Sat Apr 23 11:06:27 2016	1461409587	0	1131	1131	1125
Sat Apr 23 11:06:26 2016	1461409586	0	1155	1155	1146
Sat Apr 23 11:06:47 2016	1461409607	0	1175	1176	1168
Sat Apr 23 11:07:18 2016	1461409638	0	1177	1177	1166
Sat Apr 23 11:07:13 2016	1461409633	0	1179	1179	1167
Sat Apr 23 11:06:50 2016	1461409610	0	1184	1184	1145
Sat Apr 23 11:06:56 2016	1461409616	0	1184	1184	1175
Sat Apr 23 11:07:18 2016	1461409638	0	1187	1187	1157
Sat Apr 23 11:05:58 2016	1461409558	0	1198	1198	1188
Sat Apr 23 11:06:38 2016	1461409598	0	1203	1203	1190
Sat Apr 23 11:07:06 2016	1461409626	0	1205	1205	1199
Sat Apr 23 11:06:24 2016	1461409584	0	1206	1206	1197
Sat Apr 23 11:06:24 2016	1461409584	0	1206	1206	1200
Sat Apr 23 11:06:25 2016	1461409585	1	1210	1210	1201
Sat Apr 23 11:06:34 2016	1461409594	0	1211	1212	1204
Sat Apr 23 11:06:56 2016	1461409616	0	1213	1213	1202
Sat Apr 23 11:06:29 2016	1461409589	0	1216	1216	1197
Sat Apr 23 11:06:16 2016	1461409576	0	1218	1218	1212
Sat Apr 23 11:05:52 2016	1461409552	0	1220	1220	1208
Sat Apr 23 11:06:51 2016	1461409611	0	1223	1223	1217
Sat Apr 23 11:06:45 2016	1461409605	0	1226	1227	1220
Sat Apr 23 11:05:50 2016	1461409550	0	1240	1241	1228
Sat Apr 23 11:06:43 2016	1461409603	0	1241	1241	1235
Sat Apr 23 11:07:02 2016	1461409622	0	1241	1241	1233
