starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 10:51:43 2016	1461495103	0	18085	18085	18079
Sun Apr 24 10:40:05 2016	1461494405	0	18643	18643	18633
Sun Apr 24 10:40:07 2016	1461494407	0	18643	18643	18637
Sun Apr 24 10:51:24 2016	1461495084	0	18868	18868	18859
Sun Apr 24 10:39:25 2016	1461494365	0	18880	18880	18869
Sun Apr 24 10:36:41 2016	1461494201	0	18908	18909	18900
Sun Apr 24 10:38:45 2016	1461494325	1	19128	19128	19118
Sun Apr 24 10:38:44 2016	1461494324	0	19256	19257	19247
Sun Apr 24 10:30:31 2016	1461493831	0	19342	19342	19334
Sun Apr 24 10:38:04 2016	1461494284	0	19425	19426	19416
Sun Apr 24 10:30:12 2016	1461493812	0	19508	19509	19497
Sun Apr 24 10:41:07 2016	1461494467	0	19526	19526	19518
Sun Apr 24 10:51:27 2016	1461495087	0	19616	19616	19609
Sun Apr 24 10:41:12 2016	1461494472	0	19679	19679	19667
Sun Apr 24 10:36:55 2016	1461494215	0	19688	19689	19681
Sun Apr 24 10:31:00 2016	1461493860	0	19821	19821	19811
Sun Apr 24 10:51:30 2016	1461495090	0	19940	19941	19933
Sun Apr 24 10:39:26 2016	1461494366	0	19944	19945	19936
Sun Apr 24 10:44:41 2016	1461494681	0	20072	20073	20066
Sun Apr 24 10:36:40 2016	1461494200	0	20083	20083	20067
Sun Apr 24 10:44:00 2016	1461494640	0	20176	20176	20167
Sun Apr 24 10:29:52 2016	1461493792	0	20192	20192	20182
Sun Apr 24 10:37:21 2016	1461494241	0	20219	20219	20205
Sun Apr 24 10:38:24 2016	1461494304	0	20262	20262	20254
Sun Apr 24 10:45:02 2016	1461494702	0	20326	20327	20316
Sun Apr 24 10:39:46 2016	1461494386	0	20362	20363	20357
Sun Apr 24 10:38:45 2016	1461494325	0	20390	20390	20380
Sun Apr 24 10:29:51 2016	1461493791	0	20412	20413	20401
Sun Apr 24 10:39:03 2016	1461494343	0	20420	20420	20399
Sun Apr 24 10:40:47 2016	1461494447	0	20473	20473	20465
Sun Apr 24 10:31:37 2016	1461493897	0	20500	20501	20495
Sun Apr 24 10:39:04 2016	1461494344	0	20524	20524	20515
Sun Apr 24 10:37:00 2016	1461494220	0	20524	20525	20520
Sun Apr 24 10:37:36 2016	1461494256	0	20536	20537	20527
Sun Apr 24 10:51:16 2016	1461495076	0	20555	20555	20545
Sun Apr 24 10:29:31 2016	1461493771	0	20563	20564	20555
Sun Apr 24 10:34:31 2016	1461494071	0	20568	20568	20557
Sun Apr 24 10:38:02 2016	1461494282	0	20577	20578	20571
Sun Apr 24 10:38:45 2016	1461494325	0	20582	20582	20571
Sun Apr 24 10:34:26 2016	1461494066	0	20598	20599	20590
Sun Apr 24 10:35:14 2016	1461494114	0	20644	20644	20630
Sun Apr 24 10:46:04 2016	1461494764	0	20673	20673	20665
Sun Apr 24 10:28:45 2016	1461493725	1	20677	20678	20670
Sun Apr 24 10:48:27 2016	1461494907	0	20708	20708	20701
Sun Apr 24 10:43:18 2016	1461494598	0	20727	20727	20714
Sun Apr 24 10:37:41 2016	1461494261	0	20728	20728	20715
Sun Apr 24 10:36:19 2016	1461494179	0	20796	20796	20786
Sun Apr 24 10:44:17 2016	1461494657	0	20814	20814	20806
Sun Apr 24 10:30:33 2016	1461493833	0	20829	20829	20822
Sun Apr 24 10:51:37 2016	1461495097	0	20843	20844	20833
Sun Apr 24 10:39:06 2016	1461494346	0	20847	20847	20835
Sun Apr 24 10:36:30 2016	1461494190	0	20886	20886	20876
Sun Apr 24 10:34:41 2016	1461494081	0	20892	20892	20883
Sun Apr 24 10:45:43 2016	1461494743	0	20922	20922	20911
Sun Apr 24 10:41:43 2016	1461494503	0	20951	20951	20943
Sun Apr 24 10:47:33 2016	1461494853	0	20973	20973	20962
Sun Apr 24 10:39:44 2016	1461494384	0	20979	20980	20968
Sun Apr 24 10:48:04 2016	1461494884	0	20986	20986	20975
Sun Apr 24 10:31:58 2016	1461493918	0	20992	20992	20983
Sun Apr 24 10:50:42 2016	1461495042	0	20993	20993	20983
Sun Apr 24 10:51:09 2016	1461495069	0	20998	20998	20989
Sun Apr 24 10:37:00 2016	1461494220	0	21008	21009	21001
Sun Apr 24 10:30:51 2016	1461493851	0	21023	21024	21015
Sun Apr 24 10:50:03 2016	1461495003	0	21038	21038	21033
Sun Apr 24 10:38:24 2016	1461494304	0	21053	21053	21038
Sun Apr 24 10:46:14 2016	1461494774	0	21059	21059	21049
Sun Apr 24 10:44:20 2016	1461494660	0	21061	21062	21053
Sun Apr 24 10:41:57 2016	1461494517	0	21069	21070	21063
Sun Apr 24 10:47:44 2016	1461494864	0	21084	21085	21075
Sun Apr 24 10:29:07 2016	1461493747	0	21100	21101	21091
Sun Apr 24 10:30:11 2016	1461493811	0	21147	21147	21137
Sun Apr 24 10:37:42 2016	1461494262	0	21154	21154	21146
Sun Apr 24 10:43:26 2016	1461494606	0	21155	21155	21149
Sun Apr 24 10:42:35 2016	1461494555	0	21157	21158	21152
Sun Apr 24 10:40:29 2016	1461494429	0	21177	21177	21171
Sun Apr 24 10:47:20 2016	1461494840	0	21236	21237	21226
Sun Apr 24 10:28:45 2016	1461493725	8	21236	21244	21222
Sun Apr 24 10:45:31 2016	1461494731	0	21321	21322	21315
Sun Apr 24 10:32:33 2016	1461493953	0	21322	21322	21309
Sun Apr 24 10:45:22 2016	1461494722	0	21332	21333	21327
Sun Apr 24 10:43:05 2016	1461494585	0	21359	21359	21348
Sun Apr 24 10:30:53 2016	1461493853	0	21379	21380	21369
Sun Apr 24 10:29:30 2016	1461493770	0	21393	21393	21381
Sun Apr 24 10:44:54 2016	1461494694	0	21401	21401	21392
Sun Apr 24 10:40:08 2016	1461494408	0	21435	21436	21426
Sun Apr 24 10:48:56 2016	1461494936	0	21460	21460	21455
Sun Apr 24 10:45:53 2016	1461494753	0	21476	21476	21467
Sun Apr 24 10:42:56 2016	1461494576	0	21483	21484	21470
Sun Apr 24 10:29:09 2016	1461493749	0	21487	21487	21480
Sun Apr 24 10:37:15 2016	1461494235	0	21487	21488	21480
Sun Apr 24 10:49:28 2016	1461494968	0	21494	21495	21484
Sun Apr 24 10:49:58 2016	1461494998	0	21501	21502	21496
Sun Apr 24 10:33:02 2016	1461493982	0	21513	21513	21502
Sun Apr 24 10:44:48 2016	1461494688	0	21527	21527	21519
Sun Apr 24 10:49:06 2016	1461494946	0	21541	21541	21534
Sun Apr 24 10:40:36 2016	1461494436	0	21548	21548	21543
Sun Apr 24 10:31:39 2016	1461493899	0	21549	21549	21537
Sun Apr 24 10:49:36 2016	1461494976	0	21568	21568	21559
Sun Apr 24 10:44:33 2016	1461494673	0	21572	21572	21560
Sun Apr 24 10:40:50 2016	1461494450	0	21632	21633	21623
Sun Apr 24 10:45:16 2016	1461494716	0	21658	21658	21652
Sun Apr 24 10:35:23 2016	1461494123	0	21699	21699	21693
Sun Apr 24 10:43:32 2016	1461494612	0	21708	21709	21702
Sun Apr 24 10:41:50 2016	1461494510	0	21724	21725	21717
Sun Apr 24 10:35:56 2016	1461494156	0	21756	21756	21749
Sun Apr 24 10:33:47 2016	1461494027	0	21782	21782	21773
Sun Apr 24 10:33:11 2016	1461493991	0	21794	21795	21789
Sun Apr 24 10:33:29 2016	1461494009	1	21804	21805	21792
Sun Apr 24 10:46:58 2016	1461494818	0	21846	21846	21839
Sun Apr 24 10:34:04 2016	1461494044	0	21870	21871	21849
Sun Apr 24 10:32:43 2016	1461493963	0	21879	21879	21868
Sun Apr 24 10:51:03 2016	1461495063	0	21881	21881	21875
Sun Apr 24 10:29:53 2016	1461493793	0	21884	21885	21877
Sun Apr 24 10:49:10 2016	1461494950	0	21893	21893	21885
Sun Apr 24 10:45:09 2016	1461494709	0	21920	21921	21911
Sun Apr 24 10:41:21 2016	1461494481	1	21931	21932	21916
Sun Apr 24 10:34:47 2016	1461494087	0	21933	21933	21920
Sun Apr 24 10:35:57 2016	1461494157	0	21947	21947	21938
Sun Apr 24 10:29:28 2016	1461493768	0	21960	21960	21949
Sun Apr 24 10:39:23 2016	1461494363	0	21970	21970	21962
Sun Apr 24 10:44:11 2016	1461494651	0	22033	22033	22023
Sun Apr 24 10:36:11 2016	1461494171	0	22036	22036	22026
Sun Apr 24 10:38:23 2016	1461494303	0	22038	22038	22030
Sun Apr 24 10:35:45 2016	1461494145	0	22060	22061	22052
Sun Apr 24 10:32:49 2016	1461493969	0	22073	22074	22063
Sun Apr 24 10:43:38 2016	1461494618	0	22075	22075	22070
Sun Apr 24 10:44:26 2016	1461494666	0	22076	22077	22070
Sun Apr 24 10:34:52 2016	1461494092	0	22079	22080	22071
Sun Apr 24 10:50:19 2016	1461495019	0	22128	22129	22121
Sun Apr 24 10:46:00 2016	1461494760	0	22142	22143	22135
Sun Apr 24 10:39:52 2016	1461494392	0	22143	22143	22130
Sun Apr 24 10:33:18 2016	1461493998	0	22189	22189	22182
Sun Apr 24 10:39:45 2016	1461494385	0	22208	22208	22200
Sun Apr 24 10:48:24 2016	1461494904	0	22218	22219	22210
Sun Apr 24 10:40:49 2016	1461494449	0	22219	22219	22208
Sun Apr 24 10:40:14 2016	1461494414	0	22240	22240	22234
Sun Apr 24 10:45:00 2016	1461494700	0	22254	22254	22244
Sun Apr 24 10:31:54 2016	1461493914	0	22284	22284	22279
Sun Apr 24 10:47:11 2016	1461494831	0	22293	22294	22285
Sun Apr 24 10:41:55 2016	1461494515	0	22335	22335	22326
Sun Apr 24 10:33:32 2016	1461494012	0	22344	22344	22332
Sun Apr 24 10:30:15 2016	1461493815	0	22353	22353	22345
Sun Apr 24 10:28:45 2016	1461493725	21	22332	22354	22305
Sun Apr 24 10:37:20 2016	1461494240	0	22357	22358	22348
Sun Apr 24 10:37:36 2016	1461494256	0	22363	22364	22357
Sun Apr 24 10:36:50 2016	1461494210	0	22381	22381	22374
Sun Apr 24 10:34:18 2016	1461494058	0	22416	22417	22405
Sun Apr 24 10:49:18 2016	1461494958	0	22459	22460	22449
Sun Apr 24 10:34:09 2016	1461494049	0	22461	22462	22454
Sun Apr 24 10:47:41 2016	1461494861	0	22488	22488	22481
Sun Apr 24 10:35:01 2016	1461494101	0	22496	22496	22490
Sun Apr 24 10:29:06 2016	1461493746	0	22502	22502	22495
Sun Apr 24 10:36:07 2016	1461494167	0	22503	22503	22496
Sun Apr 24 10:44:37 2016	1461494677	0	22503	22504	22496
Sun Apr 24 10:46:25 2016	1461494785	0	22512	22512	22505
Sun Apr 24 10:38:23 2016	1461494303	0	22522	22522	22514
Sun Apr 24 10:47:41 2016	1461494861	0	22528	22528	22520
Sun Apr 24 10:35:09 2016	1461494109	0	22536	22537	22531
Sun Apr 24 10:50:20 2016	1461495020	0	22553	22553	22545
Sun Apr 24 10:42:04 2016	1461494524	0	22567	22567	22557
Sun Apr 24 10:46:58 2016	1461494818	0	22615	22616	22608
Sun Apr 24 10:48:04 2016	1461494884	0	22645	22645	22636
Sun Apr 24 10:49:49 2016	1461494989	1	22653	22653	22642
Sun Apr 24 10:36:33 2016	1461494193	0	22662	22662	22647
Sun Apr 24 10:41:34 2016	1461494494	0	22682	22683	22665
Sun Apr 24 10:32:10 2016	1461493930	0	22688	22688	22681
Sun Apr 24 10:41:27 2016	1461494487	0	22704	22704	22695
Sun Apr 24 10:35:24 2016	1461494124	0	22721	22721	22708
Sun Apr 24 10:46:35 2016	1461494795	0	22730	22731	22721
Sun Apr 24 10:32:39 2016	1461493959	0	22753	22753	22741
Sun Apr 24 10:45:37 2016	1461494737	1	22771	22771	22757
Sun Apr 24 10:36:18 2016	1461494178	0	22799	22799	22793
Sun Apr 24 10:35:35 2016	1461494135	0	22814	22814	22803
Sun Apr 24 10:43:54 2016	1461494634	0	22816	22816	22809
Sun Apr 24 10:34:14 2016	1461494054	0	22851	22851	22842
Sun Apr 24 10:42:42 2016	1461494562	0	22858	22859	22849
Sun Apr 24 10:30:37 2016	1461493837	0	22900	22900	22895
Sun Apr 24 10:43:09 2016	1461494589	0	22967	22968	22959
Sun Apr 24 10:48:47 2016	1461494927	0	23003	23003	22992
Sun Apr 24 10:41:11 2016	1461494471	0	23012	23012	23000
Sun Apr 24 10:49:40 2016	1461494980	0	23025	23025	23016
Sun Apr 24 10:42:51 2016	1461494571	0	23074	23074	23064
Sun Apr 24 10:34:37 2016	1461494077	0	23138	23138	23128
Sun Apr 24 10:32:16 2016	1461493936	0	23161	23162	23155
Sun Apr 24 10:39:06 2016	1461494346	0	23179	23179	23168
Sun Apr 24 10:39:29 2016	1461494369	0	23227	23227	23217
Sun Apr 24 10:35:00 2016	1461494100	0	23265	23265	23257
Sun Apr 24 10:33:55 2016	1461494035	0	23292	23292	23282
Sun Apr 24 10:43:47 2016	1461494627	0	23323	23323	23311
Sun Apr 24 10:41:32 2016	1461494492	0	23400	23401	23393
