Percentage served,Time in ms
0,3564.567
1,3887.386
2,3981.056
3,4043.608
4,4113.004
5,4180.227
6,4198.985
7,4234.718
8,4248.460
9,4264.778
10,4283.669
11,4306.566
12,4332.976
13,4368.914
14,4411.355
15,4423.847
16,4470.332
17,4541.262
18,4555.964
19,4578.684
20,4592.339
21,4617.081
22,4662.593
23,4720.219
24,4783.503
25,4816.870
26,4849.290
27,4900.730
28,4927.914
29,4937.921
30,4970.836
31,5038.314
32,5055.654
33,5093.013
34,5143.156
35,5207.078
36,5235.556
37,5244.413
38,5262.033
39,5460.965
40,5477.045
41,5552.134
42,5820.093
43,6067.042
44,6296.365
45,6662.647
46,7018.354
47,7843.792
48,7976.392
49,8048.379
50,8092.314
51,8179.632
52,8386.333
53,8409.874
54,8417.130
55,8513.259
56,8524.031
57,8616.558
58,8659.605
59,8668.581
60,8670.569
61,8743.114
62,8770.358
63,8959.432
64,9003.057
65,9091.346
66,9164.411
67,9263.952
68,9352.779
69,9462.727
70,9476.645
71,9536.437
72,9580.851
73,9656.092
74,9715.703
75,9794.072
76,9803.042
77,9849.601
78,9915.196
79,9984.325
80,10057.128
81,10128.095
82,10212.831
83,10263.525
84,10279.560
85,10354.449
86,10401.334
87,10465.118
88,10560.005
89,10672.895
90,10804.575
91,10870.202
92,10905.759
93,11161.213
94,11461.214
95,11606.184
96,11815.834
97,11973.909
98,12153.430
99,13730.434
100,14425.112
