Percentage served,Time in ms
0,1211.634
1,1262.711
2,1267.969
3,1279.210
4,1293.683
5,1302.989
6,1306.372
7,1310.868
8,1317.948
9,1321.775
10,1331.708
11,1341.798
12,1345.153
13,1355.724
14,1357.632
15,1367.126
16,1372.658
17,1387.795
18,1390.789
19,1398.198
20,1401.291
21,1405.616
22,1407.212
23,1414.167
24,1417.120
25,1429.400
26,1430.103
27,1434.828
28,1436.543
29,1442.221
30,1447.654
31,1453.309
32,1459.078
33,1474.616
34,1495.779
35,1520.307
36,1536.434
37,1550.285
38,1559.253
39,1573.219
40,1592.104
41,1602.334
42,1636.852
43,1665.501
44,1675.520
45,1691.241
46,1726.263
47,1754.598
48,1800.852
49,1967.980
50,2585.205
51,3003.424
52,3156.879
53,3171.607
54,3209.565
55,3241.797
56,3292.353
57,3345.045
58,3349.068
59,3373.472
60,3394.715
61,3410.659
62,3424.097
63,3431.274
64,3450.271
65,3462.022
66,3488.050
67,3493.058
68,3504.625
69,3510.585
70,3514.435
71,3542.289
72,3562.095
73,3604.164
74,3642.448
75,3660.151
76,3684.595
77,3725.773
78,3732.013
79,3744.829
80,3786.956
81,3841.240
82,3853.072
83,3863.269
84,3916.279
85,3973.232
86,3992.053
87,4085.942
88,4122.353
89,4207.034
90,4255.450
91,4356.851
92,4421.065
93,4521.879
94,4601.090
95,4811.113
96,4878.721
97,5247.200
98,5925.788
99,8432.053
100,8944.955
