starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 15:21:07 2016	1461424867	0	1203	1203	1189
Sat Apr 23 15:20:50 2016	1461424850	0	1226	1226	1218
Sat Apr 23 15:20:27 2016	1461424827	0	1228	1228	1220
Sat Apr 23 15:20:42 2016	1461424842	0	1236	1236	1228
Sat Apr 23 15:20:48 2016	1461424848	0	1240	1240	1231
Sat Apr 23 15:21:04 2016	1461424864	0	1241	1241	1232
Sat Apr 23 15:20:07 2016	1461424807	0	1262	1262	1254
Sat Apr 23 15:20:54 2016	1461424854	0	1263	1263	1255
Sat Apr 23 15:21:08 2016	1461424868	0	1264	1265	1254
Sat Apr 23 15:20:20 2016	1461424820	0	1271	1271	1266
Sat Apr 23 15:20:48 2016	1461424848	0	1273	1274	1264
Sat Apr 23 15:21:15 2016	1461424875	0	1277	1277	1271
Sat Apr 23 15:21:27 2016	1461424887	0	1279	1280	1273
Sat Apr 23 15:21:00 2016	1461424860	0	1280	1281	1272
Sat Apr 23 15:20:21 2016	1461424821	0	1281	1282	1271
Sat Apr 23 15:20:38 2016	1461424838	0	1284	1285	1278
Sat Apr 23 15:20:12 2016	1461424812	0	1286	1286	1275
Sat Apr 23 15:20:45 2016	1461424845	0	1286	1287	1279
Sat Apr 23 15:20:32 2016	1461424832	4	1283	1287	1268
Sat Apr 23 15:20:37 2016	1461424837	0	1287	1288	1282
Sat Apr 23 15:21:12 2016	1461424872	0	1287	1288	1273
Sat Apr 23 15:21:26 2016	1461424886	0	1288	1289	1282
Sat Apr 23 15:21:06 2016	1461424866	0	1290	1290	1281
Sat Apr 23 15:20:15 2016	1461424815	0	1291	1291	1279
Sat Apr 23 15:20:22 2016	1461424822	1	1292	1292	1279
Sat Apr 23 15:20:50 2016	1461424850	0	1293	1294	1285
Sat Apr 23 15:20:52 2016	1461424852	1	1294	1294	1282
Sat Apr 23 15:21:17 2016	1461424877	0	1295	1295	1288
Sat Apr 23 15:21:09 2016	1461424869	0	1299	1299	1289
Sat Apr 23 15:20:13 2016	1461424813	0	1301	1301	1283
Sat Apr 23 15:21:10 2016	1461424870	0	1307	1307	1296
Sat Apr 23 15:20:12 2016	1461424812	0	1308	1308	1299
Sat Apr 23 15:21:23 2016	1461424883	0	1309	1309	1299
Sat Apr 23 15:20:11 2016	1461424811	0	1310	1311	1301
Sat Apr 23 15:21:21 2016	1461424881	0	1311	1312	1302
Sat Apr 23 15:19:58 2016	1461424798	0	1312	1312	1302
Sat Apr 23 15:20:05 2016	1461424805	0	1312	1312	1305
Sat Apr 23 15:20:28 2016	1461424828	0	1312	1313	1307
Sat Apr 23 15:20:21 2016	1461424821	0	1314	1314	1306
Sat Apr 23 15:20:39 2016	1461424839	0	1315	1315	1307
Sat Apr 23 15:20:46 2016	1461424846	0	1315	1315	1306
Sat Apr 23 15:20:01 2016	1461424801	0	1315	1316	1307
Sat Apr 23 15:20:10 2016	1461424810	0	1315	1316	1310
Sat Apr 23 15:20:47 2016	1461424847	0	1320	1320	1313
Sat Apr 23 15:21:10 2016	1461424870	0	1320	1320	1309
Sat Apr 23 15:20:06 2016	1461424806	0	1323	1323	1317
Sat Apr 23 15:21:11 2016	1461424871	0	1330	1331	1314
Sat Apr 23 15:20:46 2016	1461424846	0	1334	1334	1326
Sat Apr 23 15:21:23 2016	1461424883	0	1334	1334	1324
Sat Apr 23 15:20:04 2016	1461424804	0	1334	1335	1327
Sat Apr 23 15:20:24 2016	1461424824	0	1335	1335	1323
Sat Apr 23 15:19:58 2016	1461424798	1	1335	1335	1324
Sat Apr 23 15:20:09 2016	1461424809	0	1337	1337	1326
Sat Apr 23 15:20:37 2016	1461424837	0	1337	1338	1331
Sat Apr 23 15:20:31 2016	1461424831	0	1338	1338	1332
Sat Apr 23 15:20:13 2016	1461424813	0	1338	1339	1327
Sat Apr 23 15:21:09 2016	1461424869	0	1340	1341	1330
Sat Apr 23 15:20:05 2016	1461424805	0	1342	1343	1333
Sat Apr 23 15:21:18 2016	1461424878	0	1345	1346	1337
Sat Apr 23 15:20:33 2016	1461424833	1	1346	1346	1338
Sat Apr 23 15:21:22 2016	1461424882	0	1347	1347	1338
Sat Apr 23 15:20:27 2016	1461424827	1	1347	1348	1318
Sat Apr 23 15:21:18 2016	1461424878	0	1349	1349	1327
Sat Apr 23 15:20:02 2016	1461424802	0	1353	1354	1345
Sat Apr 23 15:21:18 2016	1461424878	0	1358	1359	1351
Sat Apr 23 15:21:09 2016	1461424869	0	1359	1359	1353
Sat Apr 23 15:20:25 2016	1461424825	0	1359	1359	1351
Sat Apr 23 15:20:09 2016	1461424809	0	1359	1360	1352
Sat Apr 23 15:20:02 2016	1461424802	0	1361	1361	1354
Sat Apr 23 15:21:19 2016	1461424879	0	1363	1363	1354
Sat Apr 23 15:20:23 2016	1461424823	0	1363	1364	1354
Sat Apr 23 15:21:03 2016	1461424863	0	1364	1364	1358
Sat Apr 23 15:21:06 2016	1461424866	0	1365	1366	1336
Sat Apr 23 15:21:14 2016	1461424874	0	1366	1366	1357
Sat Apr 23 15:21:23 2016	1461424883	0	1366	1366	1358
Sat Apr 23 15:20:28 2016	1461424828	0	1367	1367	1360
Sat Apr 23 15:20:52 2016	1461424852	0	1368	1368	1358
Sat Apr 23 15:20:58 2016	1461424858	1	1370	1371	1359
Sat Apr 23 15:20:03 2016	1461424803	0	1374	1374	1367
Sat Apr 23 15:20:49 2016	1461424849	0	1375	1375	1368
Sat Apr 23 15:20:37 2016	1461424837	0	1375	1375	1350
Sat Apr 23 15:21:27 2016	1461424887	0	1375	1376	1367
Sat Apr 23 15:20:28 2016	1461424828	0	1376	1377	1357
Sat Apr 23 15:20:43 2016	1461424843	1	1377	1377	1369
Sat Apr 23 15:20:43 2016	1461424843	0	1378	1378	1369
Sat Apr 23 15:20:54 2016	1461424854	0	1378	1378	1367
Sat Apr 23 15:20:06 2016	1461424806	0	1380	1381	1373
Sat Apr 23 15:20:51 2016	1461424851	0	1380	1381	1372
Sat Apr 23 15:21:16 2016	1461424876	0	1381	1381	1372
Sat Apr 23 15:21:19 2016	1461424879	0	1382	1382	1375
Sat Apr 23 15:21:08 2016	1461424868	0	1383	1383	1375
Sat Apr 23 15:20:03 2016	1461424803	0	1383	1383	1375
Sat Apr 23 15:20:17 2016	1461424817	0	1385	1385	1380
Sat Apr 23 15:20:37 2016	1461424837	0	1387	1387	1368
Sat Apr 23 15:20:40 2016	1461424840	0	1387	1387	1377
Sat Apr 23 15:20:40 2016	1461424840	0	1388	1388	1382
Sat Apr 23 15:21:24 2016	1461424884	0	1389	1389	1380
Sat Apr 23 15:20:41 2016	1461424841	0	1389	1390	1375
Sat Apr 23 15:20:47 2016	1461424847	0	1390	1390	1384
Sat Apr 23 15:20:55 2016	1461424855	1	1391	1391	1354
Sat Apr 23 15:20:30 2016	1461424830	0	1391	1392	1381
Sat Apr 23 15:20:57 2016	1461424857	0	1392	1393	1384
Sat Apr 23 15:20:24 2016	1461424824	0	1393	1393	1384
Sat Apr 23 15:21:17 2016	1461424877	0	1394	1394	1383
Sat Apr 23 15:20:52 2016	1461424852	0	1394	1395	1385
Sat Apr 23 15:20:23 2016	1461424823	0	1396	1396	1388
Sat Apr 23 15:20:45 2016	1461424845	0	1396	1397	1386
Sat Apr 23 15:21:01 2016	1461424861	0	1396	1397	1390
Sat Apr 23 15:20:34 2016	1461424834	0	1399	1399	1374
Sat Apr 23 15:20:22 2016	1461424822	0	1399	1400	1393
