Percentage served,Time in ms
0,17156.206
1,17982.031
2,18174.639
3,18344.975
4,18446.778
5,18500.745
6,18507.388
7,18739.990
8,18770.985
9,18906.843
10,18945.773
11,19172.810
12,19346.824
13,19407.702
14,19484.467
15,19540.748
16,19556.481
17,19594.984
18,19606.487
19,19667.441
20,19710.809
21,19834.075
22,19888.314
23,19919.565
24,20001.254
25,20082.044
26,20113.064
27,20137.341
28,20160.895
29,20198.504
30,20220.588
31,20308.507
32,20333.918
33,20369.528
34,20405.148
35,20461.177
36,20479.075
37,20564.069
38,20571.484
39,20635.044
40,20661.216
41,20727.665
42,20767.859
43,20802.390
44,20865.987
45,20921.723
46,20941.402
47,20971.272
48,21021.532
49,21085.132
50,21158.889
51,21273.025
52,21280.555
53,21349.685
54,21385.772
55,21396.608
56,21460.020
57,21492.027
58,21504.699
59,21545.461
60,21570.459
61,21610.058
62,21664.510
63,21715.608
64,21750.232
65,21809.419
66,21858.884
67,22004.021
68,22059.271
69,22075.109
70,22228.939
71,22248.082
72,22304.120
73,22445.146
74,22506.736
75,22602.250
76,22617.073
77,22626.982
78,22677.668
79,22793.958
80,22894.696
81,23040.832
82,23141.571
83,23446.527
84,23586.386
85,23728.219
86,23862.385
87,23952.966
88,24063.425
89,24367.315
90,24573.660
91,24641.021
92,24928.798
93,25155.779
94,25256.672
95,26198.453
96,26467.652
97,26952.299
98,27495.222
99,28002.273
100,28464.150
