Percentage served,Time in ms
0,3320.004
1,3404.604
2,3488.972
3,3531.845
4,3555.366
5,3607.693
6,3660.697
7,3796.525
8,3833.763
9,3869.714
10,3887.925
11,3937.742
12,3966.175
13,4034.789
14,4088.874
15,4129.962
16,4170.620
17,4222.489
18,4263.177
19,4278.118
20,4352.482
21,4374.157
22,4513.995
23,4592.509
24,4669.437
25,4682.985
26,4754.546
27,4827.336
28,4878.030
29,4928.242
30,4998.985
31,5060.403
32,5083.444
33,5158.674
34,5314.486
35,5564.630
36,5857.835
37,5940.625
38,5996.403
39,6497.256
40,6599.921
41,6681.448
42,6713.580
43,6728.056
44,6854.135
45,6919.662
46,6955.304
47,7026.861
48,7039.783
49,7067.915
50,7109.711
51,7338.657
52,7388.393
53,7432.744
54,7462.156
55,7498.418
56,7529.907
57,7573.302
58,7593.760
59,7644.013
60,7650.226
61,7675.961
62,7702.165
63,7817.339
64,7832.471
65,7897.675
66,7962.187
67,8027.846
68,8052.905
69,8104.220
70,8152.935
71,8187.010
72,8200.534
73,8252.918
74,8282.616
75,8372.874
76,8390.283
77,8440.847
78,8500.462
79,8556.968
80,8565.483
81,8738.472
82,8770.730
83,8802.283
84,8830.308
85,8888.468
86,8939.308
87,9041.610
88,9046.248
89,9130.763
90,9228.470
91,9271.949
92,9320.700
93,9412.658
94,9471.398
95,9872.481
96,10197.385
97,10807.265
98,11183.809
99,13310.518
100,13449.055
