starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 15:34:33 2016	1461425673	0	1347	1347	1339
Sat Apr 23 15:31:14 2016	1461425474	0	1355	1356	1349
Sat Apr 23 15:34:34 2016	1461425674	0	1373	1373	1368
Sat Apr 23 15:31:35 2016	1461425495	0	1382	1382	1376
Sat Apr 23 15:32:50 2016	1461425570	0	1406	1407	1401
Sat Apr 23 15:31:15 2016	1461425475	0	1414	1414	1407
Sat Apr 23 15:30:44 2016	1461425444	0	1425	1425	1420
Sat Apr 23 15:30:06 2016	1461425406	0	1425	1426	1419
Sat Apr 23 15:30:11 2016	1461425411	0	1430	1431	1423
Sat Apr 23 15:32:19 2016	1461425539	0	1434	1435	1426
Sat Apr 23 15:31:34 2016	1461425494	0	1438	1438	1430
Sat Apr 23 15:30:59 2016	1461425459	0	1439	1440	1433
Sat Apr 23 15:34:32 2016	1461425672	0	1440	1441	1435
Sat Apr 23 15:33:22 2016	1461425602	0	1442	1442	1432
Sat Apr 23 15:30:08 2016	1461425408	0	1443	1444	1433
Sat Apr 23 15:30:30 2016	1461425430	0	1443	1444	1437
Sat Apr 23 15:34:26 2016	1461425666	0	1445	1445	1439
Sat Apr 23 15:31:25 2016	1461425485	0	1453	1454	1448
Sat Apr 23 15:34:29 2016	1461425669	0	1456	1457	1451
Sat Apr 23 15:32:18 2016	1461425538	0	1458	1458	1452
Sat Apr 23 15:31:10 2016	1461425470	0	1458	1459	1450
Sat Apr 23 15:32:45 2016	1461425565	0	1462	1462	1454
Sat Apr 23 15:32:59 2016	1461425579	0	1466	1466	1459
Sat Apr 23 15:32:16 2016	1461425536	0	1466	1467	1458
Sat Apr 23 15:30:39 2016	1461425439	0	1467	1467	1456
Sat Apr 23 15:30:23 2016	1461425423	0	1470	1471	1462
Sat Apr 23 15:31:36 2016	1461425496	0	1470	1471	1463
Sat Apr 23 15:30:57 2016	1461425457	0	1471	1472	1467
Sat Apr 23 15:30:24 2016	1461425424	0	1474	1474	1467
Sat Apr 23 15:31:32 2016	1461425492	0	1475	1475	1461
Sat Apr 23 15:30:20 2016	1461425420	0	1477	1477	1466
Sat Apr 23 15:30:56 2016	1461425456	0	1479	1479	1472
