Percentage served,Time in ms
0,1319.800
1,1376.999
2,1405.943
3,1427.877
4,1450.224
5,1463.626
6,1467.674
7,1483.995
8,1490.365
9,1525.413
10,1532.165
11,1562.226
12,1582.716
13,1607.997
14,1624.610
15,1656.058
16,1714.516
17,1749.151
18,1766.114
19,1805.366
20,1831.168
21,1851.274
22,1940.615
23,1971.600
24,1993.206
25,2027.665
26,2037.381
27,2070.147
28,2096.003
29,2181.998
30,2199.821
31,2218.331
32,2267.148
33,2305.503
34,2315.659
35,2327.027
36,2362.518
37,2416.704
38,2427.645
39,2447.401
40,2451.118
41,2494.818
42,2547.907
43,2617.290
44,2640.716
45,2654.319
46,2704.894
47,2978.592
48,3033.502
49,3093.383
50,3155.652
51,3205.179
52,3241.178
53,3251.152
54,3291.481
55,3308.815
56,3326.157
57,3335.815
58,3344.074
59,3353.278
60,3364.308
61,3400.955
62,3425.301
63,3471.442
64,3478.815
65,3513.388
66,3520.641
67,3554.789
68,3563.909
69,3602.125
70,3618.378
71,3632.736
72,3636.727
73,3644.665
74,3649.094
75,3680.678
76,3688.947
77,3721.134
78,3722.728
79,3744.198
80,3767.226
81,3787.508
82,3851.219
83,3901.271
84,3923.298
85,3966.131
86,3979.961
87,4030.382
88,4062.100
89,4180.426
90,4228.707
91,4326.943
92,4362.876
93,4448.929
94,4465.710
95,4524.836
96,4593.740
97,4673.682
98,4839.729
99,5216.055
100,5802.465
