Percentage served,Time in ms
0,8346.846
1,9541.044
2,9909.422
3,10820.749
4,11093.573
5,11312.747
6,11482.429
7,11693.893
8,11779.836
9,11856.952
10,11882.470
11,11991.879
12,12040.428
13,12154.017
14,12159.611
15,12226.821
16,12237.151
17,12294.323
18,12314.259
19,12375.894
20,12380.951
21,12484.037
22,12547.812
23,12590.334
24,12625.418
25,12668.466
26,12708.738
27,12744.250
28,12802.809
29,12858.799
30,12887.595
31,12961.463
32,13030.901
33,13175.374
34,13209.868
35,13262.943
36,13347.702
37,13456.551
38,13493.772
39,13637.107
40,13667.153
41,13739.622
42,13764.031
43,13804.465
44,13853.902
45,13940.480
46,14079.779
47,14338.619
48,14542.937
49,15147.001
50,15450.448
51,15659.616
52,15809.898
53,15959.390
54,16102.404
55,16203.156
56,16237.244
57,16350.319
58,16375.678
59,16404.711
60,16485.423
61,16700.479
62,16760.384
63,16856.119
64,16874.699
65,17033.360
66,17073.631
67,17104.252
68,17193.350
69,17318.877
70,17440.576
71,17492.489
72,17509.333
73,17555.049
74,17574.825
75,17631.490
76,17722.000
77,17790.239
78,17799.318
79,17828.151
80,17855.307
81,17920.922
82,17994.132
83,18047.536
84,18056.114
85,18226.326
86,18308.143
87,18415.543
88,18557.901
89,18766.920
90,18929.711
91,18973.221
92,19069.544
93,19229.719
94,19363.462
95,19605.863
96,19666.934
97,20100.159
98,20432.948
99,20932.164
100,21027.067
