starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 00:03:14 2016	1461456194	0	17414	17415	17406
Sun Apr 24 00:03:01 2016	1461456181	0	17423	17423	17415
Sat Apr 23 23:44:00 2016	1461455040	0	17830	17830	17818
Sun Apr 24 00:02:38 2016	1461456158	0	17840	17840	17828
Sun Apr 24 00:02:06 2016	1461456126	0	17845	17845	17839
Sun Apr 24 00:02:56 2016	1461456176	0	17942	17942	17934
Sun Apr 24 00:03:20 2016	1461456200	0	18133	18133	18126
Sun Apr 24 00:02:25 2016	1461456145	0	18135	18135	18129
Sun Apr 24 00:02:23 2016	1461456143	0	18156	18156	18149
Sun Apr 24 00:01:25 2016	1461456085	0	18346	18346	18338
Sat Apr 23 23:46:09 2016	1461455169	0	18389	18389	18381
Sat Apr 23 23:48:15 2016	1461455295	0	18636	18637	18626
Sat Apr 23 23:59:36 2016	1461455976	0	18674	18674	18665
Sat Apr 23 23:43:42 2016	1461455022	0	18783	18783	18773
Sun Apr 24 00:02:00 2016	1461456120	1	18884	18885	18874
Sun Apr 24 00:02:42 2016	1461456162	0	18912	18912	18896
Sun Apr 24 00:02:00 2016	1461456120	0	18951	18952	18946
Sun Apr 24 00:00:39 2016	1461456039	0	18955	18956	18942
Sun Apr 24 00:03:31 2016	1461456211	0	18965	18966	18957
Sat Apr 23 23:42:20 2016	1461454940	0	19016	19017	18996
Sun Apr 24 00:01:21 2016	1461456081	0	19018	19018	19012
Sat Apr 23 23:44:01 2016	1461455041	0	19062	19062	19053
Sun Apr 24 00:03:03 2016	1461456183	0	19073	19073	19063
Sat Apr 23 23:59:46 2016	1461455986	0	19082	19082	19074
Sat Apr 23 23:44:24 2016	1461455064	0	19121	19122	19113
Sat Apr 23 23:42:39 2016	1461454959	1	19155	19155	19134
Sat Apr 23 23:47:34 2016	1461455254	0	19273	19273	19265
Sun Apr 24 00:03:22 2016	1461456202	0	19289	19289	19272
Sat Apr 23 23:42:00 2016	1461454920	0	19327	19327	19318
Sat Apr 23 23:42:58 2016	1461454978	0	19366	19366	19348
Sat Apr 23 23:55:41 2016	1461455741	0	19415	19416	19409
Sun Apr 24 00:00:58 2016	1461456058	0	19429	19429	19415
Sun Apr 24 00:01:26 2016	1461456086	0	19461	19461	19450
Sun Apr 24 00:00:26 2016	1461456026	0	19527	19528	19519
Sat Apr 23 23:49:41 2016	1461455381	0	19550	19551	19543
Sat Apr 23 23:44:23 2016	1461455063	0	19583	19583	19575
Sun Apr 24 00:00:41 2016	1461456041	0	19605	19606	19594
Sun Apr 24 00:00:46 2016	1461456046	5	19635	19639	19627
Sun Apr 24 00:02:19 2016	1461456139	0	19641	19642	19631
Sun Apr 24 00:01:44 2016	1461456104	0	19653	19653	19643
Sat Apr 23 23:50:06 2016	1461455406	0	19682	19683	19674
Sat Apr 23 23:46:26 2016	1461455186	0	19697	19697	19688
Sat Apr 23 23:49:26 2016	1461455366	0	19707	19708	19699
Sat Apr 23 23:57:53 2016	1461455873	0	19740	19740	19723
Sat Apr 23 23:49:59 2016	1461455399	0	19755	19755	19747
Sun Apr 24 00:01:06 2016	1461456066	0	19755	19756	19747
Sun Apr 24 00:02:43 2016	1461456163	0	19778	19778	19770
Sat Apr 23 23:58:13 2016	1461455893	1	19800	19800	19794
Sat Apr 23 23:45:23 2016	1461455123	1	19866	19866	19857
Sat Apr 23 23:49:16 2016	1461455356	0	19908	19909	19902
Sun Apr 24 00:02:40 2016	1461456160	0	19949	19950	19938
Sat Apr 23 23:58:00 2016	1461455880	0	19990	19990	19983
Sat Apr 23 23:45:01 2016	1461455101	0	20034	20035	20029
Sat Apr 23 23:42:59 2016	1461454979	0	20042	20042	20032
Sat Apr 23 23:42:17 2016	1461454937	0	20053	20053	20037
Sun Apr 24 00:03:00 2016	1461456180	0	20080	20081	20073
Sat Apr 23 23:50:18 2016	1461455418	0	20081	20081	20072
Sun Apr 24 00:01:40 2016	1461456100	0	20084	20084	20072
Sat Apr 23 23:44:40 2016	1461455080	0	20107	20107	20087
Sun Apr 24 00:00:06 2016	1461456006	0	20109	20109	20103
Sun Apr 24 00:01:06 2016	1461456066	0	20119	20120	20097
Sat Apr 23 23:56:45 2016	1461455805	0	20131	20131	20124
Sat Apr 23 23:45:03 2016	1461455103	0	20137	20137	20128
Sat Apr 23 23:56:28 2016	1461455788	0	20145	20146	20140
Sat Apr 23 23:46:27 2016	1461455187	0	20160	20160	20143
Sat Apr 23 23:58:56 2016	1461455936	0	20171	20171	20156
Sat Apr 23 23:46:06 2016	1461455166	0	20172	20172	20162
Sun Apr 24 00:00:21 2016	1461456021	0	20179	20180	20172
Sat Apr 23 23:57:30 2016	1461455850	0	20185	20185	20138
Sun Apr 24 00:01:01 2016	1461456061	0	20200	20200	20189
Sat Apr 23 23:42:39 2016	1461454959	0	20228	20229	20204
Sat Apr 23 23:46:06 2016	1461455166	0	20241	20241	20236
Sun Apr 24 00:01:40 2016	1461456100	0	20248	20248	20241
Sat Apr 23 23:57:10 2016	1461455830	0	20302	20303	20293
Sat Apr 23 23:42:16 2016	1461454936	0	20306	20306	20298
Sat Apr 23 23:43:21 2016	1461455001	0	20308	20309	20300
Sat Apr 23 23:42:36 2016	1461454956	0	20309	20309	20301
Sat Apr 23 23:53:11 2016	1461455591	0	20405	20406	20392
Sun Apr 24 00:01:45 2016	1461456105	1	20408	20408	20401
Sat Apr 23 23:51:00 2016	1461455460	0	20417	20418	20408
Sat Apr 23 23:45:25 2016	1461455125	0	20421	20422	20409
Sat Apr 23 23:48:17 2016	1461455297	0	20424	20424	20412
Sat Apr 23 23:44:42 2016	1461455082	0	20463	20463	20454
Sat Apr 23 23:58:13 2016	1461455893	0	20467	20467	20458
Sun Apr 24 00:00:45 2016	1461456045	0	20467	20467	20456
Sat Apr 23 23:53:53 2016	1461455633	0	20469	20469	20462
Sat Apr 23 23:58:34 2016	1461455914	0	20476	20476	20465
Sat Apr 23 23:46:05 2016	1461455165	0	20492	20492	20487
Sat Apr 23 23:42:56 2016	1461454976	0	20511	20512	20503
Sat Apr 23 23:58:20 2016	1461455900	0	20537	20537	20529
Sat Apr 23 23:53:53 2016	1461455633	0	20554	20554	20548
Sat Apr 23 23:58:58 2016	1461455938	0	20567	20567	20554
Sat Apr 23 23:56:47 2016	1461455807	0	20580	20581	20574
Sat Apr 23 23:48:38 2016	1461455318	0	20615	20616	20599
Sat Apr 23 23:56:08 2016	1461455768	0	20626	20626	20619
Sat Apr 23 23:51:07 2016	1461455467	0	20658	20658	20650
Sat Apr 23 23:44:39 2016	1461455079	0	20662	20663	20655
Sun Apr 24 00:02:19 2016	1461456139	0	20665	20665	20656
Sat Apr 23 23:44:43 2016	1461455083	0	20671	20672	20664
Sat Apr 23 23:59:15 2016	1461455955	0	20698	20698	20688
Sat Apr 23 23:48:17 2016	1461455297	0	20715	20715	20708
Sat Apr 23 23:59:17 2016	1461455957	0	20726	20726	20716
Sat Apr 23 23:48:38 2016	1461455318	0	20730	20731	20721
Sat Apr 23 23:54:07 2016	1461455647	0	20731	20731	20720
Sat Apr 23 23:55:23 2016	1461455723	0	20732	20732	20724
Sat Apr 23 23:57:15 2016	1461455835	0	20739	20739	20731
Sat Apr 23 23:52:04 2016	1461455524	0	20763	20763	20754
Sat Apr 23 23:43:19 2016	1461454999	0	20791	20791	20786
Sat Apr 23 23:44:20 2016	1461455060	0	20794	20794	20787
Sat Apr 23 23:58:54 2016	1461455934	0	20813	20813	20798
Sat Apr 23 23:53:32 2016	1461455612	0	20813	20813	20792
Sat Apr 23 23:43:17 2016	1461454997	0	20820	20820	20811
Sat Apr 23 23:48:34 2016	1461455314	1	20820	20820	20811
Sat Apr 23 23:55:15 2016	1461455715	0	20820	20821	20811
Sat Apr 23 23:51:16 2016	1461455476	0	20838	20838	20829
Sun Apr 24 00:00:03 2016	1461456003	0	20874	20874	20863
Sat Apr 23 23:48:58 2016	1461455338	0	20884	20884	20878
Sat Apr 23 23:48:55 2016	1461455335	0	20914	20914	20903
Sat Apr 23 23:53:46 2016	1461455626	0	20925	20926	20917
Sat Apr 23 23:54:13 2016	1461455653	4	20935	20940	20925
Sat Apr 23 23:44:03 2016	1461455043	0	20950	20950	20944
Sat Apr 23 23:51:43 2016	1461455503	0	20963	20963	20947
Sat Apr 23 23:50:47 2016	1461455447	0	20987	20987	20975
Sat Apr 23 23:50:30 2016	1461455430	0	21004	21004	20995
Sat Apr 23 23:44:02 2016	1461455042	0	21023	21024	21013
Sat Apr 23 23:46:26 2016	1461455186	0	21064	21065	21058
Sat Apr 23 23:45:00 2016	1461455100	0	21094	21095	21084
Sat Apr 23 23:45:03 2016	1461455103	0	21103	21103	21091
Sat Apr 23 23:44:18 2016	1461455058	0	21135	21135	21122
Sat Apr 23 23:46:49 2016	1461455209	0	21138	21139	21126
Sat Apr 23 23:56:54 2016	1461455814	0	21154	21155	21137
Sat Apr 23 23:59:54 2016	1461455994	0	21179	21179	21174
Sat Apr 23 23:52:14 2016	1461455534	0	21197	21197	21187
Sat Apr 23 23:49:20 2016	1461455360	0	21258	21258	21250
Sat Apr 23 23:41:32 2016	1461454892	2	21261	21263	21246
Sat Apr 23 23:56:02 2016	1461455762	0	21278	21278	21270
Sat Apr 23 23:55:02 2016	1461455702	0	21314	21315	21307
Sat Apr 23 23:51:53 2016	1461455513	0	21320	21320	21314
Sat Apr 23 23:42:17 2016	1461454937	0	21322	21323	21281
Sat Apr 23 23:53:32 2016	1461455612	0	21353	21353	21342
Sat Apr 23 23:53:46 2016	1461455626	0	21369	21369	21361
Sat Apr 23 23:50:26 2016	1461455426	0	21404	21404	21395
Sat Apr 23 23:56:23 2016	1461455783	0	21437	21438	21430
Sat Apr 23 23:47:34 2016	1461455254	0	21448	21448	21439
Sat Apr 23 23:47:56 2016	1461455276	0	21448	21448	21439
Sat Apr 23 23:43:40 2016	1461455020	0	21452	21452	21444
Sat Apr 23 23:57:08 2016	1461455828	0	21483	21483	21472
Sun Apr 24 00:03:18 2016	1461456198	0	21484	21485	21479
Sat Apr 23 23:58:40 2016	1461455920	0	21485	21485	21477
Sat Apr 23 23:52:24 2016	1461455544	0	21539	21539	21527
Sat Apr 23 23:50:01 2016	1461455401	0	21546	21547	21539
Sat Apr 23 23:53:01 2016	1461455581	0	21548	21548	21538
Sat Apr 23 23:47:09 2016	1461455229	0	21550	21550	21540
Sat Apr 23 23:41:55 2016	1461454915	0	21588	21589	21568
Sat Apr 23 23:47:30 2016	1461455250	0	21610	21611	21601
Sat Apr 23 23:57:29 2016	1461455849	0	21614	21614	21608
Sat Apr 23 23:55:21 2016	1461455721	0	21629	21629	21622
Sat Apr 23 23:59:59 2016	1461455999	0	21632	21633	21624
Sat Apr 23 23:54:34 2016	1461455674	0	21672	21673	21660
Sun Apr 24 00:02:03 2016	1461456123	0	21703	21703	21694
Sat Apr 23 23:47:34 2016	1461455254	0	21746	21747	21738
Sat Apr 23 23:56:48 2016	1461455808	0	21773	21774	21764
Sat Apr 23 23:50:09 2016	1461455409	0	21844	21844	21836
Sat Apr 23 23:50:38 2016	1461455438	0	21848	21848	21838
Sat Apr 23 23:42:37 2016	1461454957	0	21890	21891	21878
Sun Apr 24 00:00:24 2016	1461456024	0	21906	21906	21895
Sat Apr 23 23:45:21 2016	1461455121	0	21907	21907	21895
Sat Apr 23 23:59:37 2016	1461455977	0	21919	21919	21909
Sat Apr 23 23:41:55 2016	1461454915	1	21962	21963	21950
Sun Apr 24 00:01:18 2016	1461456078	0	21973	21973	21961
Sat Apr 23 23:48:58 2016	1461455338	0	22004	22004	21996
Sat Apr 23 23:45:21 2016	1461455121	0	22004	22004	21996
Sat Apr 23 23:47:55 2016	1461455275	0	22012	22012	21998
Sat Apr 23 23:52:59 2016	1461455579	0	22054	22054	22046
Sat Apr 23 23:48:16 2016	1461455296	0	22082	22082	22074
Sat Apr 23 23:58:13 2016	1461455893	0	22098	22098	22091
Sat Apr 23 23:49:19 2016	1461455359	0	22112	22113	22107
Sat Apr 23 23:59:24 2016	1461455964	0	22149	22149	22140
Sat Apr 23 23:51:08 2016	1461455468	0	22154	22154	22144
Sat Apr 23 23:50:45 2016	1461455445	0	22210	22211	22203
Sat Apr 23 23:46:27 2016	1461455187	0	22232	22233	22227
Sat Apr 23 23:59:19 2016	1461455959	0	22262	22263	22251
Sat Apr 23 23:59:41 2016	1461455981	0	22265	22265	22257
Sat Apr 23 23:56:31 2016	1461455791	0	22296	22297	22288
Sat Apr 23 23:54:14 2016	1461455654	0	22316	22316	22307
Sat Apr 23 23:42:59 2016	1461454979	0	22339	22339	22323
Sat Apr 23 23:53:10 2016	1461455590	0	22405	22406	22396
Sat Apr 23 23:41:53 2016	1461454913	0	22471	22471	22463
Sat Apr 23 23:45:43 2016	1461455143	0	22530	22531	22523
Sat Apr 23 23:57:51 2016	1461455871	0	22539	22540	22529
Sat Apr 23 23:47:53 2016	1461455273	0	22543	22543	22532
Sat Apr 23 23:55:19 2016	1461455719	0	22547	22547	22536
Sat Apr 23 23:51:28 2016	1461455488	0	22559	22559	22548
Sat Apr 23 23:51:51 2016	1461455511	0	22569	22569	22558
Sat Apr 23 23:54:56 2016	1461455696	0	22582	22582	22575
Sat Apr 23 23:46:47 2016	1461455207	0	22587	22588	22579
Sat Apr 23 23:57:51 2016	1461455871	0	22588	22588	22580
Sat Apr 23 23:50:22 2016	1461455422	0	22619	22619	22610
Sat Apr 23 23:56:01 2016	1461455761	1	22623	22623	22612
Sat Apr 23 23:59:02 2016	1461455942	0	22641	22642	22636
Sat Apr 23 23:43:38 2016	1461455018	0	22662	22662	22645
Sat Apr 23 23:51:21 2016	1461455481	0	22662	22662	22655
Sat Apr 23 23:49:46 2016	1461455386	0	22687	22687	22678
Sat Apr 23 23:46:46 2016	1461455206	0	22812	22812	22805
Sat Apr 23 23:58:35 2016	1461455915	1	22848	22849	22824
Sat Apr 23 23:54:52 2016	1461455692	0	22871	22871	22864
Sat Apr 23 23:51:30 2016	1461455490	0	22881	22881	22871
Sat Apr 23 23:52:25 2016	1461455545	0	22972	22973	22966
Sat Apr 23 23:55:44 2016	1461455744	0	23019	23020	23013
Sat Apr 23 23:49:36 2016	1461455376	0	23023	23023	23011
Sat Apr 23 23:52:48 2016	1461455568	0	23092	23093	23084
Sat Apr 23 23:53:22 2016	1461455602	0	23101	23102	23095
Sat Apr 23 23:52:36 2016	1461455556	0	23112	23113	23102
Sat Apr 23 23:43:40 2016	1461455020	0	23139	23140	23132
Sat Apr 23 23:45:43 2016	1461455143	0	23151	23151	23146
Sat Apr 23 23:48:38 2016	1461455318	1	23199	23200	23187
Sat Apr 23 23:47:52 2016	1461455272	0	23311	23311	23301
Sat Apr 23 23:43:17 2016	1461454997	0	23334	23334	23325
Sat Apr 23 23:41:32 2016	1461454892	42	23350	23391	23314
Sat Apr 23 23:52:01 2016	1461455521	0	23460	23461	23454
Sat Apr 23 23:41:32 2016	1461454892	17	23476	23493	23462
Sat Apr 23 23:46:47 2016	1461455207	0	23522	23523	23511
Sat Apr 23 23:52:37 2016	1461455557	0	23624	23624	23613
Sat Apr 23 23:56:23 2016	1461455783	0	23704	23704	23695
Sat Apr 23 23:54:58 2016	1461455698	0	23707	23707	23700
Sun Apr 24 00:00:15 2016	1461456015	0	23727	23728	23717
Sat Apr 23 23:47:10 2016	1461455230	0	23745	23745	23726
Sat Apr 23 23:45:45 2016	1461455145	0	23767	23768	23751
Sat Apr 23 23:45:43 2016	1461455143	0	23796	23796	23789
Sat Apr 23 23:47:10 2016	1461455230	0	23821	23822	23813
Sat Apr 23 23:47:10 2016	1461455230	0	23864	23864	23842
Sat Apr 23 23:57:05 2016	1461455825	0	23879	23880	23870
Sat Apr 23 23:57:29 2016	1461455849	0	23942	23942	23919
Sat Apr 23 23:58:32 2016	1461455912	0	23976	23977	23966
Sat Apr 23 23:57:36 2016	1461455856	0	24004	24005	23997
Sat Apr 23 23:50:51 2016	1461455451	0	24159	24160	24151
Sat Apr 23 23:52:46 2016	1461455566	0	24185	24186	24179
