Percentage served,Time in ms
0,1418.996
1,1494.539
2,1509.568
3,1523.321
4,1540.440
5,1547.678
6,1561.438
7,1580.949
8,1592.851
9,1599.569
10,1602.126
11,1608.272
12,1618.372
13,1641.334
14,1653.707
15,1679.666
16,1681.295
17,1684.509
18,1693.504
19,1699.981
20,1714.858
21,1724.381
22,1748.497
23,1760.692
24,1771.158
25,1791.079
26,1807.048
27,1809.792
28,1818.341
29,1824.145
30,1828.668
31,1831.198
32,1846.679
33,1860.713
34,1866.490
35,1871.788
36,1878.704
37,1890.091
38,1897.132
39,1928.697
40,1953.627
41,1966.987
42,1991.119
43,2019.427
44,2062.570
45,2165.691
46,2199.439
47,2230.386
48,2305.742
49,2444.018
50,2467.055
51,2684.553
52,2693.545
53,2727.764
54,2739.515
55,2780.423
56,2783.514
57,2794.576
58,2797.944
59,2809.728
60,2822.858
61,2832.154
62,2835.038
63,2837.404
64,2846.752
65,2869.856
66,2881.970
67,2912.970
68,2924.786
69,2942.328
70,2956.474
71,2959.524
72,2979.026
73,2988.762
74,3009.432
75,3019.746
76,3035.084
77,3045.653
78,3057.083
79,3072.123
80,3080.336
81,3092.868
82,3110.029
83,3117.784
84,3143.912
85,3191.053
86,3221.640
87,3278.428
88,3290.588
89,3323.376
90,3363.947
91,3425.184
92,3467.147
93,3605.487
94,3783.447
95,3901.857
96,3992.703
97,4228.987
98,4436.452
99,5335.242
100,6751.576
