starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 00:28:10 2016	1461457690	0	3759	3759	3753
Sun Apr 24 00:27:13 2016	1461457633	0	3814	3815	3805
Sun Apr 24 00:28:51 2016	1461457731	0	3826	3826	3815
Sun Apr 24 00:30:18 2016	1461457818	0	3843	3843	3833
Sun Apr 24 00:29:08 2016	1461457748	0	3844	3844	3837
Sun Apr 24 00:29:29 2016	1461457769	1	3851	3851	3844
Sun Apr 24 00:30:46 2016	1461457846	0	3854	3855	3846
Sun Apr 24 00:33:50 2016	1461458030	0	3952	3952	3945
Sun Apr 24 00:27:00 2016	1461457620	0	3971	3971	3964
Sun Apr 24 00:29:58 2016	1461457798	0	3977	3977	3971
Sun Apr 24 00:27:26 2016	1461457646	0	3985	3986	3975
Sun Apr 24 00:28:31 2016	1461457711	0	3995	3995	3984
Sun Apr 24 00:33:12 2016	1461457992	0	4023	4024	4013
Sun Apr 24 00:27:50 2016	1461457670	0	4053	4053	4046
Sun Apr 24 00:32:01 2016	1461457921	0	4069	4069	4063
Sun Apr 24 00:32:33 2016	1461457953	0	4077	4077	4066
Sun Apr 24 00:28:58 2016	1461457738	0	4078	4079	4068
Sun Apr 24 00:30:07 2016	1461457807	0	4136	4137	4122
Sun Apr 24 00:26:56 2016	1461457616	0	4142	4142	4132
Sun Apr 24 00:27:49 2016	1461457669	0	4150	4150	4141
Sun Apr 24 00:31:30 2016	1461457890	0	4152	4152	4119
Sun Apr 24 00:28:17 2016	1461457697	0	4155	4155	4147
Sun Apr 24 00:31:52 2016	1461457912	0	4186	4186	4175
Sun Apr 24 00:32:45 2016	1461457965	0	4218	4219	4213
Sun Apr 24 00:32:22 2016	1461457942	0	4223	4223	4217
Sun Apr 24 00:29:41 2016	1461457781	0	4226	4227	4216
Sun Apr 24 00:28:29 2016	1461457709	0	4275	4275	4267
Sun Apr 24 00:33:47 2016	1461458027	0	4276	4276	4266
Sun Apr 24 00:31:04 2016	1461457864	0	4277	4277	4269
Sun Apr 24 00:29:33 2016	1461457773	0	4308	4308	4297
Sun Apr 24 00:29:43 2016	1461457783	0	4335	4336	4327
Sun Apr 24 00:29:11 2016	1461457751	0	4416	4416	4389
Sun Apr 24 00:33:51 2016	1461458031	0	4436	4436	4428
Sun Apr 24 00:28:33 2016	1461457713	0	4438	4438	4431
Sun Apr 24 00:33:11 2016	1461457991	0	4466	4466	4458
Sun Apr 24 00:28:24 2016	1461457704	0	4474	4474	4467
Sun Apr 24 00:30:29 2016	1461457829	0	4483	4483	4476
Sun Apr 24 00:27:45 2016	1461457665	0	4486	4487	4480
Sun Apr 24 00:31:42 2016	1461457902	0	4488	4488	4477
Sun Apr 24 00:27:22 2016	1461457642	0	4517	4518	4508
Sun Apr 24 00:30:27 2016	1461457827	1	4519	4520	4513
Sun Apr 24 00:28:19 2016	1461457699	0	4533	4533	4525
Sun Apr 24 00:29:33 2016	1461457773	0	4577	4577	4570
Sun Apr 24 00:30:18 2016	1461457818	0	4608	4608	4600
Sun Apr 24 00:30:30 2016	1461457830	0	4628	4628	4610
Sun Apr 24 00:27:16 2016	1461457636	0	4631	4632	4624
Sun Apr 24 00:28:40 2016	1461457720	0	4677	4678	4669
Sun Apr 24 00:32:03 2016	1461457923	0	4687	4687	4678
Sun Apr 24 00:29:45 2016	1461457785	0	4693	4693	4681
Sun Apr 24 00:30:02 2016	1461457802	0	4709	4709	4701
Sun Apr 24 00:33:14 2016	1461457994	0	4712	4712	4700
Sun Apr 24 00:32:19 2016	1461457939	0	4714	4714	4708
Sun Apr 24 00:32:49 2016	1461457969	0	4749	4750	4537
Sun Apr 24 00:30:41 2016	1461457841	0	4756	4756	4750
Sun Apr 24 00:30:56 2016	1461457856	0	4772	4773	4762
Sun Apr 24 00:31:37 2016	1461457897	0	4787	4787	4777
Sun Apr 24 00:27:59 2016	1461457679	0	4828	4828	4822
Sun Apr 24 00:28:55 2016	1461457735	0	4830	4831	4819
Sun Apr 24 00:31:25 2016	1461457885	0	4885	4885	4879
Sun Apr 24 00:27:12 2016	1461457632	0	4905	4905	4897
Sun Apr 24 00:30:13 2016	1461457813	0	4908	4908	4896
Sun Apr 24 00:30:22 2016	1461457822	0	4919	4919	4912
Sun Apr 24 00:28:09 2016	1461457689	0	4923	4924	4913
Sun Apr 24 00:26:46 2016	1461457606	28	4906	4934	4873
Sun Apr 24 00:30:45 2016	1461457845	0	4946	4947	4939
Sun Apr 24 00:32:50 2016	1461457970	0	4954	4954	4939
Sun Apr 24 00:33:09 2016	1461457989	0	4956	4957	4948
Sun Apr 24 00:32:03 2016	1461457923	0	4956	4957	4949
Sun Apr 24 00:27:40 2016	1461457660	0	4986	4986	4973
Sun Apr 24 00:26:51 2016	1461457611	0	5010	5011	5003
Sun Apr 24 00:32:53 2016	1461457973	0	5011	5012	5003
Sun Apr 24 00:32:26 2016	1461457946	0	5054	5054	5045
Sun Apr 24 00:28:28 2016	1461457708	0	5062	5062	5054
Sun Apr 24 00:27:37 2016	1461457657	0	5067	5068	5058
Sun Apr 24 00:31:58 2016	1461457918	0	5071	5071	5060
Sun Apr 24 00:27:04 2016	1461457624	0	5073	5073	5065
Sun Apr 24 00:27:46 2016	1461457666	0	5082	5083	5075
Sun Apr 24 00:27:27 2016	1461457647	0	5093	5094	5085
Sun Apr 24 00:27:29 2016	1461457649	0	5105	5106	5099
Sun Apr 24 00:29:47 2016	1461457787	0	5153	5153	5148
Sun Apr 24 00:33:16 2016	1461457996	0	5164	5165	5157
Sun Apr 24 00:27:32 2016	1461457652	0	5165	5165	5159
Sun Apr 24 00:33:16 2016	1461457996	0	5174	5174	5165
Sun Apr 24 00:26:58 2016	1461457618	0	5215	5215	5207
Sun Apr 24 00:33:04 2016	1461457984	0	5294	5294	5285
Sun Apr 24 00:27:17 2016	1461457637	0	5368	5368	5351
Sun Apr 24 00:29:53 2016	1461457793	0	5437	5438	5430
Sun Apr 24 00:30:34 2016	1461457834	0	5511	5511	5467
Sun Apr 24 00:32:37 2016	1461457957	1	5523	5524	5519
Sun Apr 24 00:26:46 2016	1461457606	61	5511	5572	5470
Sun Apr 24 00:29:37 2016	1461457777	0	5581	5582	5574
Sun Apr 24 00:28:53 2016	1461457733	0	5589	5590	5583
Sun Apr 24 00:30:50 2016	1461457850	0	5620	5621	5609
Sun Apr 24 00:33:27 2016	1461458007	0	5652	5652	5645
Sun Apr 24 00:32:14 2016	1461457934	0	5675	5675	5666
Sun Apr 24 00:27:34 2016	1461457654	0	5823	5823	5814
Sun Apr 24 00:32:58 2016	1461457978	0	5838	5839	5820
Sun Apr 24 00:26:52 2016	1461457612	0	5883	5883	5872
Sun Apr 24 00:32:16 2016	1461457936	0	5915	5916	5908
Sun Apr 24 00:30:23 2016	1461457823	0	5928	5928	5916
Sun Apr 24 00:33:29 2016	1461458009	0	5947	5947	5940
Sun Apr 24 00:32:58 2016	1461457978	0	5955	5956	5946
Sun Apr 24 00:27:23 2016	1461457643	1	5964	5964	5953
Sun Apr 24 00:26:46 2016	1461457606	15	5952	5967	5939
Sun Apr 24 00:32:44 2016	1461457964	0	5992	5992	5983
Sun Apr 24 00:31:55 2016	1461457915	0	6029	6029	6020
Sun Apr 24 00:32:20 2016	1461457940	0	6046	6046	6037
Sun Apr 24 00:30:21 2016	1461457821	0	6152	6152	6140
Sun Apr 24 00:32:10 2016	1461457930	0	6210	6210	6198
Sun Apr 24 00:32:08 2016	1461457928	0	6213	6214	6205
Sun Apr 24 00:29:18 2016	1461457758	0	6256	6257	6246
Sun Apr 24 00:32:13 2016	1461457933	0	6261	6262	6253
Sun Apr 24 00:32:08 2016	1461457928	0	6265	6265	6240
Sun Apr 24 00:28:03 2016	1461457683	0	6353	6354	6346
Sun Apr 24 00:33:32 2016	1461458012	0	6420	6421	6409
Sun Apr 24 00:30:58 2016	1461457858	0	6452	6453	6446
Sun Apr 24 00:32:21 2016	1461457941	0	6503	6504	6493
Sun Apr 24 00:31:21 2016	1461457881	0	6762	6762	6749
Sun Apr 24 00:32:37 2016	1461457957	0	6777	6777	6771
Sun Apr 24 00:32:27 2016	1461457947	0	6822	6823	6811
Sun Apr 24 00:31:48 2016	1461457908	0	6846	6847	6838
Sun Apr 24 00:31:56 2016	1461457916	0	7002	7002	6995
Sun Apr 24 00:32:14 2016	1461457934	0	7097	7097	7089
Sun Apr 24 00:32:03 2016	1461457923	0	7147	7147	7124
Sun Apr 24 00:33:46 2016	1461458026	0	7165	7166	7160
Sun Apr 24 00:27:42 2016	1461457662	0	7248	7248	7234
Sun Apr 24 00:27:09 2016	1461457629	0	7290	7290	7276
Sun Apr 24 00:28:44 2016	1461457724	0	7291	7291	7281
Sun Apr 24 00:33:13 2016	1461457993	0	7299	7299	7292
Sun Apr 24 00:29:49 2016	1461457789	0	7328	7328	7321
Sun Apr 24 00:32:05 2016	1461457925	0	7476	7477	7466
Sun Apr 24 00:29:03 2016	1461457743	0	7481	7482	7472
Sun Apr 24 00:29:57 2016	1461457797	0	7537	7538	7531
Sun Apr 24 00:28:01 2016	1461457681	0	7544	7545	7536
Sun Apr 24 00:27:04 2016	1461457624	0	7605	7605	7593
Sun Apr 24 00:33:35 2016	1461458015	0	7606	7606	7598
Sun Apr 24 00:27:08 2016	1461457628	0	7618	7619	7608
Sun Apr 24 00:29:33 2016	1461457773	0	7626	7627	7620
Sun Apr 24 00:30:06 2016	1461457806	0	7645	7646	7634
Sun Apr 24 00:30:13 2016	1461457813	0	7646	7646	7637
Sun Apr 24 00:27:16 2016	1461457636	0	7647	7647	7638
Sun Apr 24 00:29:21 2016	1461457761	0	7651	7651	7641
Sun Apr 24 00:27:56 2016	1461457676	0	7663	7663	7655
Sun Apr 24 00:31:36 2016	1461457896	0	7705	7706	7696
Sun Apr 24 00:26:56 2016	1461457616	0	7705	7706	7699
Sun Apr 24 00:33:19 2016	1461457999	0	7719	7720	7712
Sun Apr 24 00:28:34 2016	1461457714	0	7739	7739	7731
Sun Apr 24 00:29:02 2016	1461457742	0	7747	7748	7738
Sun Apr 24 00:28:58 2016	1461457738	0	7750	7751	7742
Sun Apr 24 00:27:53 2016	1461457673	0	7754	7754	7742
Sun Apr 24 00:30:39 2016	1461457839	0	7765	7765	7755
Sun Apr 24 00:31:20 2016	1461457880	0	7766	7766	7760
Sun Apr 24 00:31:22 2016	1461457882	0	7767	7768	7758
Sun Apr 24 00:27:48 2016	1461457668	0	7775	7776	7769
Sun Apr 24 00:31:13 2016	1461457873	0	7785	7786	7780
Sun Apr 24 00:31:00 2016	1461457860	0	7796	7796	7785
Sun Apr 24 00:27:00 2016	1461457620	0	7798	7799	7792
Sun Apr 24 00:29:58 2016	1461457798	0	7801	7801	7795
Sun Apr 24 00:32:54 2016	1461457974	0	7804	7805	7796
Sun Apr 24 00:30:33 2016	1461457833	0	7825	7826	7817
Sun Apr 24 00:28:12 2016	1461457692	0	7827	7827	7819
