Percentage served,Time in ms
0,1241.163
1,1254.181
2,1272.631
3,1295.695
4,1299.391
5,1307.462
6,1312.249
7,1327.778
8,1328.637
9,1334.215
10,1335.727
11,1337.963
12,1345.676
13,1353.880
14,1357.714
15,1363.653
16,1365.553
17,1371.533
18,1377.633
19,1382.520
20,1384.518
21,1386.890
22,1392.376
23,1397.770
24,1402.562
25,1404.573
26,1411.404
27,1414.986
28,1415.934
29,1423.186
30,1428.199
31,1431.217
32,1437.169
33,1439.331
34,1440.799
35,1452.000
36,1460.037
37,1465.900
38,1467.422
39,1476.456
40,1480.038
41,1485.283
42,1489.357
43,1506.453
44,1511.234
45,1553.716
46,1554.999
47,1586.553
48,1616.568
49,1712.561
50,1850.283
51,2574.143
52,3092.740
53,3279.102
54,3302.180
55,3357.063
56,3387.837
57,3423.386
58,3444.261
59,3473.122
60,3477.547
61,3504.794
62,3549.712
63,3584.397
64,3596.974
65,3640.249
66,3650.097
67,3686.422
68,3744.537
69,3777.729
70,3783.623
71,3822.012
72,3855.090
73,3872.025
74,3893.723
75,3940.318
76,3968.914
77,3984.597
78,4035.950
79,4064.501
80,4103.936
81,4141.279
82,4170.794
83,4278.081
84,4318.276
85,4409.493
86,4419.136
87,4580.444
88,4633.896
89,4714.416
90,4768.045
91,4805.173
92,4907.897
93,5057.902
94,5159.428
95,5331.023
96,5650.239
97,6333.845
98,6548.024
99,7808.451
100,17343.538
