starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 14:00:20 2016	1461420020	0	7938	7938	7927
Sat Apr 23 13:50:20 2016	1461419420	0	8731	8732	8721
Sat Apr 23 13:50:21 2016	1461419421	0	8848	8848	8835
Sat Apr 23 13:50:19 2016	1461419419	0	9851	9852	9840
Sat Apr 23 13:50:19 2016	1461419419	0	9898	9899	9888
Sat Apr 23 13:59:16 2016	1461419956	0	9922	9922	9914
Sat Apr 23 14:05:09 2016	1461420309	1	10662	10663	10652
Sat Apr 23 13:51:29 2016	1461419489	0	10954	10955	10950
Sat Apr 23 14:01:39 2016	1461420099	0	11031	11031	11019
Sat Apr 23 14:01:48 2016	1461420108	0	11119	11119	11112
Sat Apr 23 13:57:20 2016	1461419840	0	11127	11127	11118
Sat Apr 23 14:05:36 2016	1461420336	0	11145	11146	11139
Sat Apr 23 13:57:58 2016	1461419878	0	11220	11220	11211
Sat Apr 23 13:54:38 2016	1461419678	0	11491	11491	11486
Sat Apr 23 13:58:28 2016	1461419908	1	11508	11508	11501
Sat Apr 23 13:52:58 2016	1461419578	0	11593	11593	11581
Sat Apr 23 14:02:39 2016	1461420159	0	11639	11640	11632
Sat Apr 23 14:02:56 2016	1461420176	0	11644	11644	11635
Sat Apr 23 13:54:38 2016	1461419678	0	11874	11874	11865
Sat Apr 23 13:52:38 2016	1461419558	0	11875	11875	11866
Sat Apr 23 13:56:09 2016	1461419769	0	11902	11902	11891
Sat Apr 23 13:53:29 2016	1461419609	0	11966	11966	11954
Sat Apr 23 13:51:17 2016	1461419477	0	12004	12005	11997
Sat Apr 23 14:05:46 2016	1461420346	1	12009	12009	12002
Sat Apr 23 13:55:07 2016	1461419707	0	12043	12043	12035
Sat Apr 23 13:56:38 2016	1461419798	0	12160	12160	12155
Sat Apr 23 13:58:06 2016	1461419886	0	12217	12218	12208
Sat Apr 23 13:52:26 2016	1461419546	0	12224	12225	12217
Sat Apr 23 14:02:36 2016	1461420156	0	12278	12279	12269
Sat Apr 23 14:03:26 2016	1461420206	0	12311	12311	12302
Sat Apr 23 14:05:40 2016	1461420340	0	12312	12313	12302
Sat Apr 23 13:52:18 2016	1461419538	0	12354	12354	12345
Sat Apr 23 14:03:57 2016	1461420237	0	12371	12371	12356
Sat Apr 23 14:05:38 2016	1461420338	0	12389	12389	12373
Sat Apr 23 14:02:48 2016	1461420168	0	12408	12408	12398
Sat Apr 23 13:54:26 2016	1461419666	0	12409	12410	12399
Sat Apr 23 13:59:06 2016	1461419946	0	12424	12424	12415
Sat Apr 23 13:53:56 2016	1461419636	0	12480	12480	12470
Sat Apr 23 14:04:38 2016	1461420278	0	12487	12488	12478
Sat Apr 23 13:55:07 2016	1461419707	0	12514	12515	12509
Sat Apr 23 13:55:37 2016	1461419737	0	12520	12520	12511
Sat Apr 23 14:04:27 2016	1461420267	0	12534	12534	12525
Sat Apr 23 13:56:08 2016	1461419768	0	12538	12539	12529
Sat Apr 23 13:55:29 2016	1461419729	0	12546	12546	12539
Sat Apr 23 13:55:56 2016	1461419756	0	12556	12556	12549
Sat Apr 23 13:56:47 2016	1461419807	0	12578	12579	12570
Sat Apr 23 13:58:48 2016	1461419928	0	12659	12660	12651
Sat Apr 23 13:51:57 2016	1461419517	0	12669	12670	12661
Sat Apr 23 14:00:07 2016	1461420007	0	12675	12675	12666
Sat Apr 23 13:56:38 2016	1461419798	0	12681	12681	12668
Sat Apr 23 13:53:25 2016	1461419605	0	12691	12691	12681
Sat Apr 23 14:02:07 2016	1461420127	0	12702	12702	12695
Sat Apr 23 14:01:39 2016	1461420099	0	12716	12717	12699
Sat Apr 23 14:05:25 2016	1461420325	0	12726	12726	12720
Sat Apr 23 13:57:17 2016	1461419837	0	12744	12745	12737
Sat Apr 23 13:52:45 2016	1461419565	0	12781	12782	12773
Sat Apr 23 13:52:46 2016	1461419566	0	12785	12786	12775
Sat Apr 23 13:53:26 2016	1461419606	0	12800	12800	12793
Sat Apr 23 14:00:46 2016	1461420046	0	12812	12813	12801
