starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 21:09:42 2016	1461445782	0	3621	3621	3613
Sat Apr 23 21:13:48 2016	1461446028	0	3768	3769	3759
Sat Apr 23 21:15:28 2016	1461446128	0	3793	3793	3767
Sat Apr 23 21:10:35 2016	1461445835	0	3810	3810	3801
Sat Apr 23 21:10:48 2016	1461445848	4	3821	3825	3815
Sat Apr 23 21:11:03 2016	1461445863	0	3835	3835	3825
Sat Apr 23 21:13:45 2016	1461446025	0	3876	3876	3865
Sat Apr 23 21:12:05 2016	1461445925	1	3896	3896	3887
Sat Apr 23 21:09:20 2016	1461445760	0	3926	3926	3919
Sat Apr 23 21:12:44 2016	1461445964	0	3978	3978	3969
Sat Apr 23 21:10:37 2016	1461445837	0	4017	4017	4005
Sat Apr 23 21:11:32 2016	1461445892	0	4031	4032	4022
Sat Apr 23 21:09:46 2016	1461445786	0	4064	4064	4057
Sat Apr 23 21:14:03 2016	1461446043	0	4072	4072	4064
Sat Apr 23 21:13:52 2016	1461446032	0	4079	4079	4074
Sat Apr 23 21:14:49 2016	1461446089	0	4092	4092	4086
Sat Apr 23 21:10:52 2016	1461445852	0	4132	4133	4124
Sat Apr 23 21:13:39 2016	1461446019	0	4151	4151	4143
Sat Apr 23 21:14:53 2016	1461446093	0	4192	4193	4185
Sat Apr 23 21:08:49 2016	1461445729	0	4197	4197	4188
Sat Apr 23 21:09:24 2016	1461445764	0	4286	4286	4279
Sat Apr 23 21:12:04 2016	1461445924	0	4295	4295	4287
Sat Apr 23 21:14:07 2016	1461446047	0	4296	4297	4289
Sat Apr 23 21:09:14 2016	1461445754	0	4315	4316	4304
Sat Apr 23 21:12:02 2016	1461445922	0	4346	4346	4332
Sat Apr 23 21:10:22 2016	1461445822	0	4355	4355	4343
Sat Apr 23 21:15:00 2016	1461446100	0	4364	4364	4356
Sat Apr 23 21:11:18 2016	1461445878	0	4412	4413	4406
Sat Apr 23 21:12:33 2016	1461445953	0	4425	4425	4414
Sat Apr 23 21:09:00 2016	1461445740	0	4444	4444	4435
Sat Apr 23 21:10:31 2016	1461445831	0	4448	4449	4443
Sat Apr 23 21:10:56 2016	1461445856	0	4466	4467	4459
Sat Apr 23 21:10:06 2016	1461445806	1	4483	4484	4468
Sat Apr 23 21:08:51 2016	1461445731	0	4499	4500	4491
Sat Apr 23 21:11:35 2016	1461445895	0	4518	4518	4510
Sat Apr 23 21:09:03 2016	1461445743	0	4543	4544	4533
Sat Apr 23 21:12:14 2016	1461445934	0	4544	4545	4535
Sat Apr 23 21:11:49 2016	1461445909	0	4548	4548	4537
Sat Apr 23 21:09:20 2016	1461445760	0	4554	4554	4549
Sat Apr 23 21:14:20 2016	1461446060	0	4578	4578	4571
Sat Apr 23 21:10:02 2016	1461445802	0	4590	4590	4583
Sat Apr 23 21:10:26 2016	1461445826	0	4599	4599	4590
Sat Apr 23 21:08:51 2016	1461445731	0	4611	4612	4603
Sat Apr 23 21:10:11 2016	1461445811	0	4612	4612	4599
Sat Apr 23 21:14:11 2016	1461446051	0	4657	4657	4647
Sat Apr 23 21:11:22 2016	1461445882	0	4657	4657	4648
Sat Apr 23 21:09:58 2016	1461445798	0	4684	4685	4676
Sat Apr 23 21:13:11 2016	1461445991	1	4685	4686	4679
Sat Apr 23 21:12:45 2016	1461445965	0	4688	4689	4681
Sat Apr 23 21:12:13 2016	1461445933	0	4730	4731	4721
Sat Apr 23 21:11:35 2016	1461445895	0	4736	4737	4727
Sat Apr 23 21:10:06 2016	1461445806	0	4742	4743	4733
Sat Apr 23 21:13:06 2016	1461445986	0	4756	4757	4725
Sat Apr 23 21:11:51 2016	1461445911	0	4791	4792	4782
Sat Apr 23 21:12:20 2016	1461445940	0	4804	4805	4794
Sat Apr 23 21:09:08 2016	1461445748	0	4849	4849	4842
Sat Apr 23 21:15:15 2016	1461446115	0	4863	4863	4856
Sat Apr 23 21:14:42 2016	1461446082	0	4874	4874	4868
Sat Apr 23 21:14:43 2016	1461446083	0	4879	4879	4870
Sat Apr 23 21:14:14 2016	1461446054	0	4886	4886	4876
Sat Apr 23 21:11:22 2016	1461445882	0	4888	4889	4875
Sat Apr 23 21:09:50 2016	1461445790	0	4899	4899	4891
Sat Apr 23 21:13:16 2016	1461445996	0	4930	4930	4910
Sat Apr 23 21:14:37 2016	1461446077	0	4933	4933	4922
Sat Apr 23 21:10:49 2016	1461445849	0	4943	4943	4934
Sat Apr 23 21:14:57 2016	1461446097	0	4956	4956	4948
Sat Apr 23 21:11:36 2016	1461445896	0	4965	4965	4954
Sat Apr 23 21:11:08 2016	1461445868	0	4965	4965	4958
Sat Apr 23 21:15:26 2016	1461446126	0	4974	4975	4964
Sat Apr 23 21:15:32 2016	1461446132	0	4977	4977	4966
Sat Apr 23 21:14:55 2016	1461446095	0	4983	4984	4975
Sat Apr 23 21:13:15 2016	1461445995	1	4987	4988	4980
Sat Apr 23 21:14:03 2016	1461446043	0	4999	4999	4993
Sat Apr 23 21:12:44 2016	1461445964	0	5010	5010	4997
Sat Apr 23 21:11:59 2016	1461445919	0	5010	5011	5003
Sat Apr 23 21:12:09 2016	1461445929	0	5019	5019	5012
