Percentage served,Time in ms
0,1367.908
1,1420.673
2,1426.040
3,1475.957
4,1476.492
5,1490.798
6,1493.031
7,1504.944
8,1512.850
9,1542.129
10,1550.586
11,1576.185
12,1581.053
13,1591.600
14,1593.905
15,1641.987
16,1671.846
17,1697.566
18,1724.853
19,1736.628
20,1759.993
21,1810.076
22,1834.714
23,1921.774
24,1953.191
25,2061.015
26,2119.716
27,2173.002
28,2184.626
29,2257.226
30,2278.277
31,2328.268
32,2346.430
33,2397.811
34,2441.806
35,2464.185
36,2504.219
37,2581.128
38,2620.948
39,3008.892
40,3025.971
41,3083.434
42,3117.062
43,3175.715
44,3202.131
45,3223.324
46,3236.430
47,3244.081
48,3266.942
49,3273.288
50,3298.634
51,3333.078
52,3338.584
53,3345.030
54,3359.527
55,3366.761
56,3376.731
57,3382.944
58,3407.964
59,3419.170
60,3423.544
61,3442.662
62,3452.500
63,3455.584
64,3461.321
65,3490.177
66,3497.351
67,3499.166
68,3513.006
69,3586.594
70,3595.286
71,3613.370
72,3620.105
73,3657.167
74,3671.826
75,3679.127
76,3703.442
77,3730.396
78,3743.506
79,3801.027
80,3827.920
81,3878.555
82,3928.400
83,3950.649
84,3957.670
85,3964.429
86,3976.247
87,3997.431
88,4009.531
89,4133.808
90,4142.519
91,4206.581
92,4244.542
93,4323.950
94,4337.732
95,4535.269
96,4553.576
97,4663.416
98,4853.990
99,6984.477
100,7127.364
