Percentage served,Time in ms
0,8615.404
1,9445.332
2,11112.927
3,11310.683
4,11394.568
5,11623.910
6,11760.157
7,11828.947
8,11867.543
9,11904.485
10,11919.631
11,11973.878
12,11993.982
13,12020.175
14,12039.982
15,12133.741
16,12186.278
17,12242.713
18,12297.281
19,12381.519
20,12390.632
21,12419.807
22,12445.632
23,12469.068
24,12506.059
25,12536.981
26,12582.693
27,12606.293
28,12692.344
29,12809.316
30,12871.965
31,12921.974
32,12942.191
33,12991.299
34,13084.150
35,13185.259
36,13239.271
37,13349.489
38,13577.676
39,13667.541
40,13762.963
41,13887.699
42,13936.311
43,13969.056
44,14024.060
45,14216.438
46,14299.368
47,14399.257
48,14449.626
49,14925.109
50,15041.382
51,15481.711
52,15775.068
53,15854.568
54,15902.171
55,15941.993
56,15953.322
57,16077.644
58,16214.535
59,16344.209
60,16356.762
61,16429.402
62,16478.950
63,16527.397
64,16558.678
65,16708.768
66,16721.692
67,16735.208
68,16847.462
69,16910.669
70,17023.195
71,17074.830
72,17100.602
73,17184.539
74,17268.692
75,17322.602
76,17370.083
77,17413.962
78,17468.640
79,17621.043
80,17631.425
81,17775.129
82,17818.241
83,17878.928
84,17914.480
85,17996.824
86,18024.274
87,18160.707
88,18217.874
89,18332.354
90,18381.366
91,18388.205
92,18425.434
93,18555.475
94,18569.149
95,18661.077
96,18831.006
97,19330.533
98,19561.764
99,20581.018
100,20764.290
