starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 01:14:37 2016	1461460477	0	16887	16888	16879
Sun Apr 24 01:09:41 2016	1461460181	0	16930	16931	16922
Sun Apr 24 01:11:09 2016	1461460269	0	16971	16971	16963
Sun Apr 24 01:14:57 2016	1461460497	0	16974	16974	16958
Sun Apr 24 01:10:32 2016	1461460232	0	17120	17120	17111
Sun Apr 24 01:13:42 2016	1461460422	1	17187	17188	17178
Sun Apr 24 01:12:45 2016	1461460365	0	17190	17190	17180
Sun Apr 24 01:12:23 2016	1461460343	0	17202	17202	17196
Sun Apr 24 01:12:06 2016	1461460326	0	17279	17279	17272
Sun Apr 24 01:02:36 2016	1461459756	0	17282	17283	17275
Sun Apr 24 01:10:35 2016	1461460235	1	17358	17359	17350
Sun Apr 24 01:09:35 2016	1461460175	0	17376	17376	17367
Sun Apr 24 01:10:11 2016	1461460211	0	17376	17376	17365
Sun Apr 24 01:02:44 2016	1461459764	0	17395	17395	17385
Sun Apr 24 01:14:39 2016	1461460479	0	17425	17425	17420
Sun Apr 24 01:15:15 2016	1461460515	0	17497	17498	17488
Sun Apr 24 01:06:23 2016	1461459983	0	17498	17499	17493
Sun Apr 24 01:08:58 2016	1461460138	0	17584	17585	17575
Sun Apr 24 01:07:02 2016	1461460022	0	17587	17587	17575
Sun Apr 24 01:10:51 2016	1461460251	0	17614	17614	17605
Sun Apr 24 01:09:15 2016	1461460155	0	17659	17659	17651
Sun Apr 24 01:12:41 2016	1461460361	0	17664	17664	17657
Sun Apr 24 01:11:47 2016	1461460307	0	17686	17687	17678
Sun Apr 24 01:09:17 2016	1461460157	0	17704	17704	17697
Sun Apr 24 01:14:18 2016	1461460458	0	17733	17733	17723
Sun Apr 24 01:11:10 2016	1461460270	0	17752	17752	17745
Sun Apr 24 01:12:41 2016	1461460361	0	17789	17789	17782
Sun Apr 24 01:06:21 2016	1461459981	0	17811	17811	17803
Sun Apr 24 01:15:50 2016	1461460550	0	17822	17822	17815
Sun Apr 24 01:06:03 2016	1461459963	0	17833	17833	17827
Sun Apr 24 01:02:49 2016	1461459769	0	17889	17890	17880
Sun Apr 24 01:01:47 2016	1461459707	0	17935	17935	17925
