Percentage served,Time in ms
0,1591.947
1,1697.746
2,1700.036
3,1721.296
4,1727.579
5,1730.476
6,1737.269
7,1756.766
8,1759.453
9,1779.675
10,1789.495
11,1796.757
12,1815.010
13,1816.556
14,1820.748
15,1829.245
16,1830.052
17,1834.053
18,1840.651
19,1845.154
20,1848.384
21,1855.245
22,1858.561
23,1876.981
24,1881.012
25,1885.993
26,1886.357
27,1894.236
28,1896.038
29,1912.451
30,1922.749
31,1937.447
32,1949.716
33,1964.061
34,1970.069
35,1992.432
36,2007.453
37,2027.134
38,2032.655
39,2048.311
40,2076.511
41,2085.846
42,2172.233
43,2192.288
44,2235.641
45,2379.274
46,2388.707
47,2549.781
48,2560.216
49,2569.385
50,2643.782
51,2663.704
52,2689.539
53,2719.786
54,2720.733
55,2736.051
56,2752.321
57,2760.017
58,2766.485
59,2782.546
60,2787.500
61,2805.616
62,2809.793
63,2825.147
64,2843.291
65,2852.217
66,2864.104
67,2882.379
68,2890.758
69,2901.328
70,2902.990
71,2915.056
72,2927.028
73,2944.258
74,2948.133
75,2951.055
76,2959.341
77,2980.021
78,2986.808
79,2999.528
80,3004.718
81,3016.688
82,3027.236
83,3069.944
84,3084.475
85,3089.851
86,3098.331
87,3130.843
88,3142.342
89,3149.840
90,3160.251
91,3200.108
92,3222.965
93,3258.937
94,3301.338
95,3330.030
96,3384.465
97,3477.756
98,3662.770
99,3896.893
100,4053.097
