"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd/aes/microbench-decode-64MB-7.csv",,,,"Date:","20 Apr 2016 17:28:42 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 17:28:42,1.379,0.295,98.211,0.114,0.0,0.000,8621.820,38795.961,390230016.0,244002816.0,1095049216.0,5412294656.0,0.0,0.0
20-04 17:28:43,6.944,5.682,84.848,2.525,0.0,0.0,0.0,626688.0,418664448.0,244027392.0,1095016448.0,5383868416.0,290.0,168.0
20-04 17:28:44,0.751,11.765,87.484,0.0,0.0,0.0,0.0,0.0,432275456.0,244027392.0,1095376896.0,5369896960.0,368.0,340.0
20-04 17:28:45,0.0,12.484,87.391,0.125,0.0,0.0,0.0,0.0,444719104.0,244027392.0,1095376896.0,5357453312.0,582.0,0.0
20-04 17:28:46,0.0,12.516,87.484,0.0,0.0,0.0,0.0,4096.0,455249920.0,244027392.0,1095380992.0,5346918400.0,60.0,0.0
20-04 17:28:47,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,469172224.0,244027392.0,1095380992.0,5332996096.0,64.0,0.0
20-04 17:28:48,0.0,12.516,87.484,0.0,0.0,0.0,0.0,188416.0,481722368.0,244035584.0,1095380992.0,5320437760.0,0.0,70.0
20-04 17:28:49,2.122,10.487,87.391,0.0,0.0,0.0,0.0,0.0,512716800.0,244035584.0,1095380992.0,5289443328.0,190.0,0.0
20-04 17:28:50,10.526,1.880,87.594,0.0,0.0,0.0,0.0,0.0,647278592.0,244035584.0,1095380992.0,5154881536.0,0.0,0.0
20-04 17:28:51,10.625,1.875,87.500,0.0,0.0,0.0,0.0,348160.0,647151616.0,244035584.0,1095380992.0,5155008512.0,64.0,0.0
20-04 17:28:52,10.513,2.003,87.484,0.0,0.0,0.0,0.0,0.0,647278592.0,244035584.0,1095380992.0,5154881536.0,0.0,70.0
20-04 17:28:53,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,647278592.0,244035584.0,1095380992.0,5154881536.0,190.0,0.0
20-04 17:28:54,10.625,1.875,87.125,0.375,0.0,0.0,0.0,12288.0,647151616.0,244035584.0,1095380992.0,5155008512.0,0.0,0.0
20-04 17:28:55,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,647278592.0,244035584.0,1095380992.0,5154881536.0,64.0,0.0
20-04 17:28:56,10.401,2.005,87.594,0.0,0.0,0.0,0.0,0.0,647278592.0,244035584.0,1095380992.0,5154881536.0,0.0,0.0
20-04 17:28:57,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,647290880.0,244035584.0,1095380992.0,5154869248.0,64.0,0.0
20-04 17:28:58,10.513,2.003,87.484,0.0,0.0,0.0,0.0,0.0,647417856.0,244035584.0,1095380992.0,5154742272.0,0.0,0.0
20-04 17:28:59,10.487,2.122,87.141,0.250,0.0,0.0,0.0,20480.0,647188480.0,244035584.0,1095380992.0,5154971648.0,64.0,0.0
20-04 17:29:00,10.263,2.128,87.610,0.0,0.0,0.0,0.0,0.0,647315456.0,244035584.0,1095380992.0,5154844672.0,0.0,0.0
20-04 17:29:01,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,647315456.0,244035584.0,1095380992.0,5154844672.0,64.0,0.0
20-04 17:29:02,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,647188480.0,244035584.0,1095380992.0,5154971648.0,0.0,0.0
