"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd/aes/microbench-encode-64MB-6.csv",,,,"Date:","19 Apr 2016 21:27:16 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 21:27:16,5.883,1.240,92.072,0.803,0.0,0.002,73249.343,266601.103,364150784.0,163586048.0,1080553472.0,5533286400.0,0.0,0.0
19-04 21:27:17,6.692,5.808,84.470,3.030,0.0,0.0,0.0,716800.0,395853824.0,163643392.0,1080664064.0,5501415424.0,396.0,180.0
19-04 21:27:18,0.501,12.015,87.484,0.0,0.0,0.0,0.0,0.0,408829952.0,163643392.0,1080881152.0,5488222208.0,142.0,78.0
19-04 21:27:19,0.0,12.390,87.610,0.0,0.0,0.0,0.0,0.0,421412864.0,163643392.0,1080881152.0,5475639296.0,522.0,250.0
19-04 21:27:20,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,431644672.0,163643392.0,1080881152.0,5465407488.0,0.0,0.0
19-04 21:27:21,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,444039168.0,163643392.0,1080889344.0,5453004800.0,64.0,0.0
19-04 21:27:22,0.0,12.625,87.0,0.375,0.0,0.0,0.0,184320.0,458457088.0,163651584.0,1080881152.0,5438586880.0,0.0,0.0
19-04 21:27:23,2.375,10.125,87.500,0.0,0.0,0.0,0.0,0.0,487268352.0,163651584.0,1080881152.0,5409775616.0,190.0,70.0
19-04 21:27:24,10.889,1.502,87.610,0.0,0.0,0.0,0.0,0.0,623476736.0,163651584.0,1080881152.0,5273567232.0,0.0,0.0
19-04 21:27:25,10.500,2.125,87.375,0.0,0.0,0.0,0.0,0.0,623349760.0,163651584.0,1080881152.0,5273694208.0,64.0,0.0
19-04 21:27:26,10.250,2.250,87.500,0.0,0.0,0.0,0.0,0.0,623095808.0,163651584.0,1080881152.0,5273948160.0,0.0,0.0
19-04 21:27:27,10.401,2.005,87.594,0.0,0.0,0.0,0.0,0.0,623468544.0,163651584.0,1080889344.0,5273567232.0,190.0,70.0
19-04 21:27:28,10.737,1.748,86.767,0.749,0.0,0.0,0.0,12288.0,623341568.0,163655680.0,1080885248.0,5273694208.0,0.0,0.0
19-04 21:27:29,10.763,1.752,87.484,0.0,0.0,0.0,0.0,0.0,623087616.0,163655680.0,1080885248.0,5273948160.0,64.0,0.0
19-04 21:27:30,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,623468544.0,163655680.0,1080885248.0,5273567232.0,0.0,0.0
19-04 21:27:31,10.401,2.005,87.594,0.0,0.0,0.0,0.0,0.0,623337472.0,163655680.0,1080889344.0,5273694208.0,64.0,0.0
19-04 21:27:32,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,623083520.0,163655680.0,1080889344.0,5273948160.0,0.0,0.0
19-04 21:27:33,10.500,2.0,86.875,0.625,0.0,0.0,0.0,20480.0,623464448.0,163655680.0,1080889344.0,5273567232.0,64.0,0.0
19-04 21:27:34,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,623337472.0,163655680.0,1080889344.0,5273694208.0,0.0,0.0
19-04 21:27:35,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,623083520.0,163655680.0,1080889344.0,5273948160.0,64.0,0.0
19-04 21:27:36,10.750,1.875,87.375,0.0,0.0,0.0,0.0,0.0,623464448.0,163655680.0,1080889344.0,5273567232.0,0.0,0.0
19-04 21:27:37,10.638,1.752,87.610,0.0,0.0,0.0,0.0,0.0,623337472.0,163655680.0,1080889344.0,5273694208.0,64.0,0.0
19-04 21:27:38,10.500,2.0,87.0,0.500,0.0,0.0,0.0,12288.0,623083520.0,163655680.0,1080889344.0,5273948160.0,0.0,0.0
19-04 21:27:39,10.763,1.752,87.484,0.0,0.0,0.0,0.0,4096.0,623464448.0,163655680.0,1080889344.0,5273567232.0,64.0,0.0
19-04 21:27:40,10.388,2.003,87.610,0.0,0.0,0.0,0.0,0.0,623337472.0,163655680.0,1080889344.0,5273694208.0,0.0,0.0
19-04 21:27:41,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,623083520.0,163655680.0,1080889344.0,5273948160.0,64.0,0.0
19-04 21:27:42,10.362,2.372,87.266,0.0,0.0,0.0,0.0,0.0,623738880.0,163655680.0,1080889344.0,5273292800.0,0.0,0.0
19-04 21:27:43,10.526,1.880,87.594,0.0,0.0,0.0,0.0,0.0,623738880.0,163655680.0,1080889344.0,5273292800.0,64.0,0.0
19-04 21:27:44,10.500,2.0,85.125,2.375,0.0,0.0,0.0,626688.0,623476736.0,163659776.0,1080885248.0,5273554944.0,0.0,0.0
19-04 21:27:45,10.526,1.880,87.594,0.0,0.0,0.0,0.0,49152.0,623349760.0,163659776.0,1080885248.0,5273681920.0,64.0,0.0
19-04 21:27:46,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,623345664.0,163659776.0,1080889344.0,5273681920.0,0.0,0.0
19-04 21:27:47,10.237,2.247,87.391,0.125,0.0,0.0,0.0,0.0,623472640.0,163659776.0,1080889344.0,5273554944.0,64.0,0.0
19-04 21:27:48,10.500,2.125,87.375,0.0,0.0,0.0,0.0,0.0,623341568.0,163659776.0,1080893440.0,5273681920.0,0.0,0.0
19-04 21:27:49,10.513,2.003,87.484,0.0,0.0,0.0,0.0,0.0,623341568.0,163659776.0,1080893440.0,5273681920.0,304.0,0.0
19-04 21:27:50,10.375,2.125,87.125,0.375,0.0,0.0,0.0,217088.0,623661056.0,163659776.0,1080893440.0,5273362432.0,420.0,0.0
19-04 21:27:51,10.401,2.005,87.594,0.0,0.0,0.0,0.0,0.0,623534080.0,163659776.0,1080893440.0,5273489408.0,244.0,0.0
19-04 21:27:52,10.750,1.875,87.375,0.0,0.0,0.0,0.0,0.0,623878144.0,163659776.0,1080893440.0,5273145344.0,0.0,0.0
19-04 21:27:53,10.737,1.748,87.391,0.125,0.0,0.0,0.0,0.0,623624192.0,163659776.0,1080893440.0,5273399296.0,64.0,0.0
19-04 21:27:54,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,623624192.0,163659776.0,1080893440.0,5273399296.0,0.0,0.0
19-04 21:27:55,10.513,1.877,87.359,0.250,0.0,0.0,0.0,57344.0,623808512.0,163663872.0,1080893440.0,5273210880.0,64.0,0.0
19-04 21:27:56,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,623403008.0,163663872.0,1080893440.0,5273616384.0,0.0,0.0
19-04 21:27:57,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,623403008.0,163663872.0,1080893440.0,5273616384.0,64.0,0.0
19-04 21:27:58,10.276,2.130,87.594,0.0,0.0,0.0,0.0,0.0,623656960.0,163663872.0,1080893440.0,5273362432.0,0.0,0.0
19-04 21:27:59,10.861,1.748,87.391,0.0,0.0,0.0,0.0,0.0,623403008.0,163663872.0,1080893440.0,5273616384.0,64.0,0.0
19-04 21:28:00,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,623403008.0,163663872.0,1080893440.0,5273616384.0,0.0,0.0
19-04 21:28:01,10.513,2.003,87.234,0.250,0.0,0.0,0.0,12288.0,623656960.0,163672064.0,1080885248.0,5273362432.0,124.0,0.0
19-04 21:28:02,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,623403008.0,163672064.0,1080885248.0,5273616384.0,0.0,0.0
19-04 21:28:03,10.513,2.003,87.484,0.0,0.0,0.0,0.0,0.0,623394816.0,163672064.0,1080893440.0,5273616384.0,64.0,0.0
19-04 21:28:04,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,623648768.0,163672064.0,1080893440.0,5273362432.0,0.0,0.0
19-04 21:28:05,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,623386624.0,163672064.0,1080893440.0,5273624576.0,64.0,0.0
