"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd/cauchy/microbench-decode-64MB-4.csv",,,,"Date:","20 Apr 2016 17:41:20 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 17:41:20,1.454,0.321,98.109,0.115,0.0,0.000,8541.625,38895.577,389488640.0,245084160.0,1095401472.0,5411602432.0,0.0,0.0
20-04 17:41:21,6.337,5.577,85.298,2.788,0.0,0.0,0.0,626688.0,423374848.0,245084160.0,1095462912.0,5377654784.0,230.0,168.0
20-04 17:41:22,0.501,11.905,87.594,0.0,0.0,0.0,0.0,0.0,437571584.0,245084160.0,1095725056.0,5363195904.0,308.0,250.0
20-04 17:41:23,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,448012288.0,245084160.0,1095680000.0,5352800256.0,522.0,90.0
20-04 17:41:24,0.125,12.625,87.250,0.0,0.0,0.0,0.0,0.0,460214272.0,245084160.0,1095720960.0,5340557312.0,0.0,0.0
20-04 17:41:25,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,473018368.0,245084160.0,1095725056.0,5327749120.0,64.0,0.0
20-04 17:41:26,0.0,12.500,87.375,0.125,0.0,0.0,0.0,184320.0,483377152.0,245084160.0,1095725056.0,5317390336.0,0.0,70.0
20-04 17:41:27,2.128,10.388,87.484,0.0,0.0,0.0,0.0,0.0,514969600.0,245084160.0,1095725056.0,5285797888.0,190.0,0.0
20-04 17:41:28,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,678002688.0,245084160.0,1095729152.0,5122760704.0,0.0,0.0
20-04 17:41:29,9.273,3.133,87.594,0.0,0.0,0.0,0.0,0.0,679526400.0,245084160.0,1095729152.0,5121236992.0,64.0,0.0
20-04 17:41:30,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,745680896.0,245084160.0,1095729152.0,5055082496.0,0.0,70.0
20-04 17:41:31,9.125,3.375,87.500,0.0,0.0,0.0,0.0,0.0,745426944.0,245084160.0,1095729152.0,5055336448.0,190.0,0.0
20-04 17:41:32,10.401,2.005,87.469,0.125,0.0,0.0,0.0,16384.0,807899136.0,245084160.0,1095729152.0,4992864256.0,0.0,0.0
20-04 17:41:33,9.613,2.996,87.391,0.0,0.0,0.0,0.0,0.0,745558016.0,245084160.0,1095729152.0,5055205376.0,64.0,0.0
20-04 17:41:34,9.875,2.625,87.500,0.0,0.0,0.0,0.0,0.0,628310016.0,245084160.0,1095729152.0,5172453376.0,0.0,0.0
20-04 17:41:35,10.0,2.625,87.375,0.0,0.0,0.0,0.0,0.0,745938944.0,245084160.0,1095729152.0,5054824448.0,64.0,0.0
20-04 17:41:36,9.887,2.503,87.610,0.0,0.0,0.0,0.0,0.0,681881600.0,245084160.0,1095729152.0,5118881792.0,0.0,0.0
20-04 17:41:37,10.125,2.375,87.250,0.250,0.0,0.0,0.0,20480.0,745304064.0,245084160.0,1095729152.0,5055459328.0,64.0,0.0
20-04 17:41:38,9.500,3.0,87.500,0.0,0.0,0.0,0.0,0.0,711876608.0,245084160.0,1095729152.0,5088886784.0,0.0,0.0
20-04 17:41:39,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,745558016.0,245084160.0,1095729152.0,5055205376.0,64.0,0.0
20-04 17:41:40,8.886,3.504,87.610,0.0,0.0,0.0,0.0,0.0,745304064.0,245084160.0,1095729152.0,5055459328.0,0.0,0.0
20-04 17:41:41,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,749559808.0,245084160.0,1095729152.0,5051203584.0,64.0,0.0
20-04 17:41:42,9.512,3.004,86.984,0.501,0.0,0.0,0.0,12288.0,746065920.0,245084160.0,1095729152.0,5054697472.0,0.0,0.0
20-04 17:41:43,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,641019904.0,245084160.0,1095729152.0,5159743488.0,64.0,0.0
20-04 17:41:44,10.138,2.378,87.484,0.0,0.0,0.0,0.0,4096.0,745431040.0,245084160.0,1095729152.0,5055332352.0,0.0,0.0
20-04 17:41:45,9.887,2.503,87.610,0.0,0.0,0.0,0.0,0.0,688300032.0,245084160.0,1095729152.0,5112463360.0,64.0,0.0
20-04 17:41:46,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,745304064.0,245084160.0,1095729152.0,5055459328.0,0.0,0.0
20-04 17:41:47,9.250,3.250,86.375,1.125,0.0,0.0,0.0,12288.0,688304128.0,245084160.0,1095729152.0,5112459264.0,64.0,0.0
20-04 17:41:48,10.652,1.754,87.594,0.0,0.0,0.0,0.0,0.0,745181184.0,245084160.0,1095729152.0,5055582208.0,0.0,0.0
20-04 17:41:49,8.875,3.625,83.750,3.750,0.0,0.0,0.0,364544.0,745181184.0,245084160.0,1095729152.0,5055582208.0,64.0,0.0
