"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd/cauchy/microbench-encode-16MB-6.csv",,,,"Date:","19 Apr 2016 21:36:32 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 21:36:32,6.030,1.353,91.791,0.824,0.0,0.002,68837.136,267036.875,371810304.0,171827200.0,1083367424.0,5514571776.0,0.0,0.0
19-04 21:36:33,6.084,5.323,85.171,3.295,0.0,0.127,0.0,720896.0,401096704.0,171900928.0,1083654144.0,5484924928.0,308.0,168.0
19-04 21:36:34,1.247,11.471,87.282,0.0,0.0,0.0,0.0,733184.0,418250752.0,171900928.0,1083727872.0,5467697152.0,522.0,250.0
19-04 21:36:35,4.130,8.385,87.484,0.0,0.0,0.0,0.0,0.0,486625280.0,171900928.0,1083748352.0,5399302144.0,166.0,90.0
19-04 21:36:36,11.139,1.502,87.359,0.0,0.0,0.0,0.0,0.0,511225856.0,171900928.0,1083891712.0,5374558208.0,64.0,0.0
19-04 21:36:37,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,494821376.0,171900928.0,1083891712.0,5390962688.0,0.0,0.0
19-04 21:36:38,11.375,1.250,87.375,0.0,0.0,0.0,0.0,192512.0,511152128.0,171900928.0,1083891712.0,5374631936.0,190.0,70.0
19-04 21:36:39,11.278,1.128,87.594,0.0,0.0,0.0,0.0,151552.0,511279104.0,171900928.0,1083891712.0,5374504960.0,0.0,0.0
19-04 21:36:40,11.486,1.124,87.391,0.0,0.0,0.0,0.0,0.0,503590912.0,171900928.0,1083891712.0,5382193152.0,64.0,0.0
19-04 21:36:41,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,510771200.0,171900928.0,1083891712.0,5375012864.0,0.0,0.0
19-04 21:36:42,11.375,1.250,87.375,0.0,0.0,0.0,0.0,0.0,512782336.0,171900928.0,1083891712.0,5373001728.0,190.0,70.0
19-04 21:36:43,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,529522688.0,171900928.0,1083891712.0,5356261376.0,0.0,0.0
19-04 21:36:44,11.264,1.126,87.484,0.125,0.0,0.0,0.0,57344.0,512745472.0,171905024.0,1083887616.0,5373038592.0,64.0,0.0
19-04 21:36:45,11.375,1.250,87.375,0.0,0.0,0.0,0.0,0.0,506322944.0,171905024.0,1083891712.0,5379457024.0,0.0,0.0
19-04 21:36:46,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,512106496.0,171905024.0,1083891712.0,5373673472.0,64.0,0.0
19-04 21:36:47,11.236,1.373,87.391,0.0,0.0,0.0,0.0,0.0,512741376.0,171905024.0,1083891712.0,5373038592.0,0.0,0.0
19-04 21:36:48,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,496410624.0,171905024.0,1083891712.0,5389369344.0,64.0,0.0
19-04 21:36:49,11.153,1.253,87.093,0.501,0.0,0.0,0.0,143360.0,512098304.0,171913216.0,1083891712.0,5373673472.0,0.0,0.0
19-04 21:36:50,11.486,1.124,87.391,0.0,0.0,0.0,0.0,311296.0,509906944.0,171913216.0,1083891712.0,5375864832.0,64.0,0.0
