"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd/xor/microbench-decode-64MB-10.csv",,,,"Date:","20 Apr 2016 18:11:04 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:11:04,2.013,0.362,97.519,0.107,0.0,0.000,8315.066,36775.288,384278528.0,244215808.0,1090682880.0,5422399488.0,0.0,0.0
20-04 18:11:05,5.934,5.051,85.732,3.283,0.0,0.0,0.0,585728.0,413700096.0,244240384.0,1090748416.0,5392887808.0,166.0,168.0
20-04 18:11:06,1.629,10.777,87.594,0.0,0.0,0.0,0.0,0.0,433143808.0,244240384.0,1090994176.0,5373198336.0,372.0,250.0
20-04 18:11:07,0.0,12.625,87.375,0.0,0.0,0.0,0.0,0.0,444715008.0,244240384.0,1090994176.0,5361627136.0,458.0,90.0
20-04 18:11:08,0.0,12.625,87.375,0.0,0.0,0.0,0.0,0.0,456765440.0,244240384.0,1090994176.0,5349576704.0,64.0,0.0
20-04 18:11:09,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,467247104.0,244240384.0,1090998272.0,5339090944.0,0.0,0.0
20-04 18:11:10,0.125,12.500,87.125,0.250,0.0,0.0,0.0,163840.0,479956992.0,244252672.0,1090985984.0,5326381056.0,64.0,70.0
20-04 18:11:11,1.001,11.389,87.610,0.0,0.0,0.0,0.0,0.0,494608384.0,244252672.0,1090998272.0,5311717376.0,126.0,0.0
20-04 18:11:12,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,549711872.0,244252672.0,1091002368.0,5256609792.0,64.0,0.0
20-04 18:11:13,10.513,2.003,87.484,0.0,0.0,0.0,0.0,0.0,661524480.0,244252672.0,1091002368.0,5144797184.0,0.0,0.0
20-04 18:11:14,9.863,2.747,87.391,0.0,0.0,0.0,0.0,0.0,801619968.0,244252672.0,1091002368.0,5004701696.0,64.0,70.0
20-04 18:11:15,8.636,3.755,87.610,0.0,0.0,0.0,0.0,0.0,793223168.0,244252672.0,1091002368.0,5013098496.0,126.0,0.0
20-04 18:11:16,8.636,3.880,87.359,0.125,0.0,0.0,0.0,16384.0,718299136.0,244256768.0,1090998272.0,5088022528.0,64.0,0.0
20-04 18:11:17,9.262,3.129,87.610,0.0,0.0,0.0,0.0,0.0,847880192.0,244256768.0,1090998272.0,4958441472.0,0.0,0.0
20-04 18:11:18,8.875,3.750,87.375,0.0,0.0,0.0,0.0,0.0,784666624.0,244256768.0,1091002368.0,5021650944.0,64.0,0.0
20-04 18:11:19,9.136,3.254,87.610,0.0,0.0,0.0,0.0,0.0,753950720.0,244256768.0,1091002368.0,5052366848.0,0.0,0.0
20-04 18:11:20,9.363,3.246,87.391,0.0,0.0,0.0,0.0,0.0,869036032.0,244256768.0,1091002368.0,4937281536.0,64.0,0.0
20-04 18:11:21,8.511,4.005,87.484,0.0,0.0,0.0,0.0,0.0,798052352.0,244256768.0,1091002368.0,5008265216.0,0.0,0.0
20-04 18:11:22,9.125,3.500,86.875,0.500,0.0,0.0,0.0,36864.0,774283264.0,244260864.0,1091002368.0,5032030208.0,64.0,0.0
20-04 18:11:23,8.772,3.634,87.594,0.0,0.0,0.0,0.0,0.0,917266432.0,244260864.0,1091002368.0,4889047040.0,0.0,0.0
20-04 18:11:24,9.114,3.496,87.391,0.0,0.0,0.0,0.0,0.0,821370880.0,244260864.0,1091002368.0,4984942592.0,64.0,0.0
20-04 18:11:25,8.636,3.755,87.610,0.0,0.0,0.0,0.0,0.0,805801984.0,244260864.0,1091002368.0,5000511488.0,0.0,0.0
20-04 18:11:26,9.0,3.625,87.375,0.0,0.0,0.0,0.0,0.0,735072256.0,244260864.0,1091002368.0,5071241216.0,64.0,0.0
20-04 18:11:27,8.886,3.504,87.484,0.125,0.0,0.0,0.0,12288.0,843677696.0,244264960.0,1090998272.0,4962635776.0,0.0,0.0
20-04 18:11:28,9.250,3.250,87.500,0.0,0.0,0.0,0.0,0.0,850726912.0,244264960.0,1091002368.0,4955582464.0,64.0,0.0
20-04 18:11:29,9.262,3.254,87.484,0.0,0.0,0.0,0.0,0.0,758136832.0,244264960.0,1091002368.0,5048172544.0,0.0,0.0
20-04 18:11:30,9.136,3.254,87.610,0.0,0.0,0.0,0.0,0.0,879513600.0,244264960.0,1091002368.0,4926795776.0,64.0,0.0
