"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd/xor/microbench-encode-64MB-3.csv",,,,"Date:","19 Apr 2016 22:02:27 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:02:27,7.074,1.206,91.096,0.624,0.0,0.001,58617.491,210061.164,360607744.0,164425728.0,1076711424.0,5539831808.0,0.0,0.0
19-04 22:02:28,7.421,5.786,84.277,2.516,0.0,0.0,0.0,688128.0,393306112.0,164487168.0,1076805632.0,5506977792.0,766.0,168.0
19-04 22:02:29,0.250,12.265,87.484,0.0,0.0,0.0,0.0,0.0,406511616.0,164487168.0,1076936704.0,5493641216.0,792.0,250.0
19-04 22:02:30,0.0,12.500,87.500,0.0,0.0,0.0,0.0,8192.0,419192832.0,164487168.0,1076908032.0,5480988672.0,818.0,90.0
19-04 22:02:31,0.125,12.516,87.359,0.0,0.0,0.0,0.0,0.0,429166592.0,164487168.0,1077006336.0,5470916608.0,484.0,0.0
19-04 22:02:32,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,441876480.0,164487168.0,1077006336.0,5458206720.0,180.0,0.0
19-04 22:02:33,0.0,12.500,87.125,0.375,0.0,0.0,0.0,163840.0,454332416.0,164495360.0,1077006336.0,5445742592.0,304.0,70.0
19-04 22:02:34,2.628,9.762,87.610,0.0,0.0,0.0,0.0,0.0,475332608.0,164495360.0,1077006336.0,5424742400.0,366.0,0.0
19-04 22:02:35,10.625,2.0,87.375,0.0,0.0,0.0,0.0,0.0,529092608.0,164495360.0,1077010432.0,5370978304.0,844.0,0.0
19-04 22:02:36,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,640512000.0,164495360.0,1077010432.0,5259558912.0,480.0,0.0
19-04 22:02:37,9.512,3.004,87.484,0.0,0.0,0.0,0.0,0.0,665976832.0,164495360.0,1077010432.0,5234094080.0,484.0,70.0
19-04 22:02:38,9.262,3.254,87.484,0.0,0.0,0.0,0.0,0.0,775856128.0,164495360.0,1077010432.0,5124214784.0,486.0,0.0
19-04 22:02:39,9.500,3.0,87.0,0.500,0.0,0.0,0.0,16384.0,775221248.0,164503552.0,1077002240.0,5124849664.0,304.0,0.0
19-04 22:02:40,9.262,3.254,87.484,0.0,0.0,0.0,0.0,0.0,695619584.0,164503552.0,1077010432.0,5204443136.0,360.0,0.0
19-04 22:02:41,8.864,3.745,87.391,0.0,0.0,0.0,0.0,0.0,808955904.0,164503552.0,1077010432.0,5091106816.0,424.0,0.0
19-04 22:02:42,9.011,3.379,87.610,0.0,0.0,0.0,0.0,0.0,748331008.0,164503552.0,1077010432.0,5151731712.0,360.0,0.0
19-04 22:02:43,8.875,3.750,87.375,0.0,0.0,0.0,0.0,0.0,727678976.0,164503552.0,1077010432.0,5172383744.0,544.0,0.0
19-04 22:02:44,8.750,3.750,87.0,0.500,0.0,0.0,0.0,20480.0,666472448.0,164511744.0,1077010432.0,5233582080.0,240.0,0.0
19-04 22:02:45,9.023,3.383,87.594,0.0,0.0,0.0,0.0,634880.0,775331840.0,164511744.0,1077010432.0,5124722688.0,484.0,0.0
