"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int/aes_sha_512/microbench-decode-64MB-7.csv",,,,"Date:","20 Apr 2016 18:27:08 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:27:08,2.105,0.385,97.402,0.108,0.0,0.000,8219.917,36786.619,385048576.0,245751808.0,1091043328.0,5419732992.0,0.0,0.0
20-04 18:27:09,7.566,5.422,84.615,2.396,0.0,0.0,0.0,585728.0,419606528.0,245776384.0,1091231744.0,5384962048.0,332.0,258.0
20-04 18:27:10,0.125,12.390,87.484,0.0,0.0,0.0,0.0,0.0,433307648.0,245776384.0,1091317760.0,5371174912.0,142.0,160.0
20-04 18:27:11,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,444133376.0,245776384.0,1091358720.0,5360308224.0,356.0,90.0
20-04 18:27:12,0.0,12.625,87.375,0.0,0.0,0.0,0.0,0.0,456445952.0,245776384.0,1091358720.0,5347995648.0,166.0,0.0
20-04 18:27:13,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,469028864.0,245776384.0,1091358720.0,5335412736.0,64.0,0.0
20-04 18:27:14,0.0,12.500,87.375,0.125,0.0,0.0,0.0,172032.0,479490048.0,245784576.0,1091350528.0,5324951552.0,0.0,70.0
20-04 18:27:15,2.750,9.750,87.500,0.0,0.0,0.0,0.0,0.0,510668800.0,245784576.0,1091354624.0,5293768704.0,190.0,0.0
20-04 18:27:16,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,594640896.0,245784576.0,1091354624.0,5209796608.0,0.0,0.0
20-04 18:27:17,10.777,1.629,87.594,0.0,0.0,0.0,0.0,0.0,646369280.0,245784576.0,1091354624.0,5158068224.0,64.0,0.0
20-04 18:27:18,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,646369280.0,245784576.0,1091354624.0,5158068224.0,0.0,70.0
20-04 18:27:19,10.861,1.748,87.391,0.0,0.0,0.0,0.0,0.0,682905600.0,245784576.0,1091358720.0,5121527808.0,190.0,0.0
20-04 18:27:20,10.652,1.754,87.469,0.125,0.0,0.0,0.0,315392.0,713154560.0,245784576.0,1091358720.0,5091278848.0,0.0,0.0
20-04 18:27:21,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,713662464.0,245784576.0,1091358720.0,5090770944.0,64.0,0.0
20-04 18:27:22,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,646365184.0,245784576.0,1091358720.0,5158068224.0,0.0,0.0
20-04 18:27:23,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,646365184.0,245784576.0,1091358720.0,5158068224.0,64.0,0.0
20-04 18:27:24,11.111,1.498,87.391,0.0,0.0,0.0,0.0,0.0,678072320.0,245784576.0,1091362816.0,5126356992.0,0.0,0.0
20-04 18:27:25,10.388,2.003,87.359,0.250,0.0,0.0,0.0,20480.0,711872512.0,245792768.0,1091362816.0,5092548608.0,124.0,0.0
20-04 18:27:26,11.250,1.375,87.375,0.0,0.0,0.0,0.0,0.0,713142272.0,245792768.0,1091362816.0,5091278848.0,0.0,0.0
20-04 18:27:27,10.388,2.003,87.610,0.0,0.0,0.0,0.0,0.0,645337088.0,245792768.0,1091362816.0,5159084032.0,64.0,0.0
20-04 18:27:28,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,645844992.0,245792768.0,1091362816.0,5158576128.0,0.0,0.0
20-04 18:27:29,11.486,1.124,87.391,0.0,0.0,0.0,0.0,0.0,646352896.0,245792768.0,1091362816.0,5158068224.0,64.0,0.0
20-04 18:27:30,10.652,1.754,87.093,0.501,0.0,0.0,0.0,12288.0,712880128.0,245800960.0,1091362816.0,5091532800.0,0.0,0.0
20-04 18:27:31,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,713134080.0,245800960.0,1091362816.0,5091278848.0,64.0,0.0
20-04 18:27:32,11.139,1.252,87.610,0.0,0.0,0.0,0.0,0.0,712880128.0,245800960.0,1091362816.0,5091532800.0,0.0,0.0
20-04 18:27:33,10.889,1.627,87.484,0.0,0.0,0.0,0.0,0.0,646344704.0,245800960.0,1091362816.0,5158068224.0,64.0,0.0
20-04 18:27:34,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,645836800.0,245800960.0,1091362816.0,5158576128.0,0.0,0.0
20-04 18:27:35,11.0,1.500,86.750,0.750,0.0,0.0,0.0,12288.0,703217664.0,245805056.0,1091362816.0,5101191168.0,64.0,0.0
20-04 18:27:36,10.763,1.752,87.484,0.0,0.0,0.0,0.0,0.0,713637888.0,245805056.0,1091362816.0,5090770944.0,0.0,0.0
20-04 18:27:37,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,713129984.0,245805056.0,1091362816.0,5091278848.0,64.0,0.0
20-04 18:27:38,10.777,1.629,87.594,0.0,0.0,0.0,0.0,0.0,646340608.0,245805056.0,1091362816.0,5158068224.0,0.0,0.0
20-04 18:27:39,11.250,1.250,87.500,0.0,0.0,0.0,0.0,81920.0,646340608.0,245805056.0,1091362816.0,5158068224.0,64.0,0.0
20-04 18:27:40,11.264,1.252,86.859,0.626,0.0,0.0,0.0,61440.0,646332416.0,245809152.0,1091366912.0,5158068224.0,0.0,0.0
20-04 18:27:41,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,663617536.0,245809152.0,1091366912.0,5140783104.0,64.0,0.0
20-04 18:27:42,11.014,1.377,87.610,0.0,0.0,0.0,0.0,0.0,713121792.0,245809152.0,1091366912.0,5091278848.0,0.0,0.0
20-04 18:27:43,11.361,1.248,87.391,0.0,0.0,0.0,0.0,0.0,713121792.0,245809152.0,1091366912.0,5091278848.0,64.0,0.0
20-04 18:27:44,10.889,1.627,87.484,0.0,0.0,0.0,0.0,36864.0,646332416.0,245809152.0,1091366912.0,5158068224.0,0.0,0.0
20-04 18:27:45,11.139,1.252,86.984,0.626,0.0,0.0,0.0,24576.0,646332416.0,245809152.0,1091366912.0,5158068224.0,64.0,0.0
20-04 18:27:46,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,663617536.0,245809152.0,1091366912.0,5140783104.0,0.0,0.0
20-04 18:27:47,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,712867840.0,245809152.0,1091366912.0,5091532800.0,64.0,0.0
20-04 18:27:48,11.139,1.377,87.484,0.0,0.0,0.0,0.0,0.0,713121792.0,245809152.0,1091366912.0,5091278848.0,0.0,0.0
20-04 18:27:49,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,645824512.0,245809152.0,1091366912.0,5158576128.0,64.0,0.0
20-04 18:27:50,11.278,1.128,87.093,0.501,0.0,0.0,0.0,12288.0,646299648.0,245809152.0,1091366912.0,5158100992.0,0.0,0.0
20-04 18:27:51,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,660725760.0,245809152.0,1091366912.0,5143674880.0,64.0,0.0
20-04 18:27:52,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,701333504.0,245809152.0,1091366912.0,5103067136.0,0.0,0.0
20-04 18:27:53,11.139,1.377,87.484,0.0,0.0,0.0,0.0,0.0,713469952.0,245809152.0,1091366912.0,5090930688.0,64.0,0.0
20-04 18:27:54,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,613572608.0,245809152.0,1091366912.0,5190828032.0,0.0,0.0
20-04 18:27:55,11.014,1.502,86.859,0.626,0.0,0.0,0.0,12288.0,646295552.0,245813248.0,1091366912.0,5158100992.0,64.0,0.0
20-04 18:27:56,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,646295552.0,245813248.0,1091366912.0,5158100992.0,0.0,0.0
20-04 18:27:57,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,688414720.0,245813248.0,1091366912.0,5115981824.0,64.0,0.0
20-04 18:27:58,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,714170368.0,245813248.0,1091366912.0,5090226176.0,0.0,0.0
20-04 18:27:59,11.250,1.250,87.500,0.0,0.0,0.0,0.0,53248.0,714170368.0,245813248.0,1091366912.0,5090226176.0,64.0,0.0
20-04 18:28:00,10.777,1.629,87.093,0.501,0.0,0.0,0.0,12288.0,647503872.0,245817344.0,1091366912.0,5156888576.0,0.0,0.0
20-04 18:28:01,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,646995968.0,245817344.0,1091366912.0,5157396480.0,64.0,0.0
