"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int/aes_sha_512/microbench-encode-16MB-5.csv",,,,"Date:","19 Apr 2016 22:13:09 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:13:09,7.122,1.354,90.885,0.638,0.0,0.001,55322.690,210581.950,367640576.0,172859392.0,1079513088.0,5521563648.0,0.0,0.0
19-04 22:13:10,6.068,6.827,84.576,2.528,0.0,0.0,0.0,745472.0,402894848.0,172908544.0,1079468032.0,5486305280.0,406.0,90.0
19-04 22:13:11,0.500,12.125,87.375,0.0,0.0,0.0,0.0,0.0,418267136.0,172908544.0,1079783424.0,5470617600.0,732.0,168.0
19-04 22:13:12,4.756,7.635,87.610,0.0,0.0,0.0,0.0,0.0,496066560.0,172908544.0,1079791616.0,5392809984.0,638.0,160.0
19-04 22:13:13,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,495661056.0,172908544.0,1079799808.0,5393207296.0,484.0,90.0
19-04 22:13:14,11.514,1.001,87.484,0.0,0.0,0.0,0.0,0.0,496218112.0,172908544.0,1079799808.0,5392650240.0,180.0,0.0
19-04 22:13:15,11.640,0.876,85.732,1.752,0.0,0.0,0.0,245760.0,483221504.0,172908544.0,1079799808.0,5405646848.0,304.0,0.0
19-04 22:13:16,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,478965760.0,172908544.0,1079799808.0,5409902592.0,366.0,70.0
19-04 22:13:17,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,478965760.0,172908544.0,1079799808.0,5409902592.0,304.0,0.0
19-04 22:13:18,11.640,0.876,87.484,0.0,0.0,0.0,0.0,0.0,478584832.0,172908544.0,1079799808.0,5410283520.0,360.0,0.0
19-04 22:13:19,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,479059968.0,172908544.0,1079799808.0,5409808384.0,544.0,0.0
19-04 22:13:20,11.735,0.874,87.391,0.0,0.0,0.0,0.0,479232.0,495517696.0,172908544.0,1079799808.0,5393350656.0,486.0,70.0
19-04 22:13:21,11.543,0.753,85.194,2.509,0.0,0.0,0.0,204800.0,496119808.0,172908544.0,1079799808.0,5392748544.0,364.0,0.0
19-04 22:13:22,11.610,0.999,87.391,0.0,0.0,0.0,0.0,0.0,495738880.0,172908544.0,1079799808.0,5393129472.0,540.0,0.0
19-04 22:13:23,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,495521792.0,172908544.0,1079799808.0,5393346560.0,364.0,0.0
19-04 22:13:24,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,487006208.0,172908544.0,1079799808.0,5401862144.0,720.0,0.0
19-04 22:13:25,11.640,0.876,87.484,0.0,0.0,0.0,0.0,0.0,479412224.0,172908544.0,1079799808.0,5409456128.0,424.0,0.0
19-04 22:13:26,11.640,0.751,87.359,0.250,0.0,0.0,0.0,20480.0,479023104.0,172908544.0,1079799808.0,5409845248.0,300.0,0.0
19-04 22:13:27,11.610,0.999,87.391,0.0,0.0,0.0,0.0,0.0,479023104.0,172908544.0,1079799808.0,5409845248.0,484.0,0.0
19-04 22:13:28,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,480616448.0,172908544.0,1079799808.0,5408251904.0,420.0,0.0
19-04 22:13:29,11.278,1.128,87.594,0.0,0.0,0.0,0.0,0.0,496787456.0,172908544.0,1079799808.0,5392080896.0,604.0,0.0
19-04 22:13:30,11.735,0.874,87.391,0.0,0.0,0.0,0.0,0.0,497422336.0,172908544.0,1079799808.0,5391446016.0,480.0,0.0
19-04 22:13:31,11.514,0.876,87.359,0.250,0.0,0.0,0.0,12288.0,497295360.0,172908544.0,1079799808.0,5391572992.0,544.0,0.0
19-04 22:13:32,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,497041408.0,172908544.0,1079799808.0,5391826944.0,360.0,0.0
19-04 22:13:33,7.848,2.911,87.595,1.646,0.0,0.0,0.0,188416.0,374947840.0,172908544.0,1079791616.0,5513928704.0,1.84467440737e+19,1.84467440737e+19
