"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int/cauchy_sha_512/microbench-decode-64MB-3.csv",,,,"Date:","20 Apr 2016 18:31:37 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:31:37,2.355,0.413,97.115,0.117,0.0,0.000,8098.853,36524.177,392740864.0,257445888.0,1099390976.0,5391998976.0,0.0,0.0
20-04 18:31:38,5.815,6.700,84.450,3.034,0.0,0.0,0.0,602112.0,427651072.0,257470464.0,1099489280.0,5356965888.0,332.0,258.0
20-04 18:31:39,0.125,12.265,87.610,0.0,0.0,0.0,0.0,0.0,440827904.0,257470464.0,1099702272.0,5343576064.0,206.0,250.0
20-04 18:31:40,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,453632000.0,257470464.0,1099710464.0,5330763776.0,292.0,0.0
20-04 18:31:41,0.0,12.641,87.359,0.0,0.0,0.0,0.0,0.0,465522688.0,257470464.0,1099710464.0,5318873088.0,230.0,0.0
20-04 18:31:42,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,478142464.0,257470464.0,1099710464.0,5306253312.0,0.0,0.0
20-04 18:31:43,0.0,12.516,87.359,0.125,0.0,0.0,0.0,172032.0,488460288.0,257482752.0,1099714560.0,5295919104.0,64.0,70.0
20-04 18:31:44,2.372,10.237,87.391,0.0,0.0,0.0,0.0,0.0,519417856.0,257482752.0,1099718656.0,5264957440.0,126.0,0.0
20-04 18:31:45,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,774680576.0,257482752.0,1099722752.0,5009690624.0,64.0,0.0
20-04 18:31:46,9.524,2.882,87.594,0.0,0.0,0.0,0.0,0.0,749617152.0,257482752.0,1099722752.0,5034754048.0,0.0,0.0
20-04 18:31:47,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,749617152.0,257482752.0,1099722752.0,5034754048.0,64.0,70.0
20-04 18:31:48,10.526,1.880,87.594,0.0,0.0,0.0,0.0,0.0,749490176.0,257482752.0,1099722752.0,5034881024.0,126.0,0.0
20-04 18:31:49,10.625,1.875,87.250,0.250,0.0,0.0,0.0,16384.0,749608960.0,257490944.0,1099722752.0,5034754048.0,124.0,0.0
20-04 18:31:50,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,749608960.0,257490944.0,1099722752.0,5034754048.0,60.0,0.0
20-04 18:31:51,10.388,2.128,87.484,0.0,0.0,0.0,0.0,0.0,749395968.0,257490944.0,1099722752.0,5034967040.0,424.0,0.0
20-04 18:31:52,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,757141504.0,257490944.0,1099722752.0,5027221504.0,0.0,0.0
20-04 18:31:53,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,767623168.0,257490944.0,1099726848.0,5016735744.0,64.0,0.0
20-04 18:31:54,10.375,2.250,86.875,0.500,0.0,0.0,0.0,20480.0,778354688.0,257499136.0,1099726848.0,5005996032.0,0.0,0.0
20-04 18:31:55,10.638,1.752,87.610,0.0,0.0,0.0,0.0,0.0,782422016.0,257499136.0,1099726848.0,5001928704.0,64.0,0.0
20-04 18:31:56,10.625,2.0,87.375,0.0,0.0,0.0,0.0,0.0,797102080.0,257499136.0,1099726848.0,4987248640.0,0.0,0.0
20-04 18:31:57,10.526,1.754,87.719,0.0,0.0,0.0,0.0,8192.0,807714816.0,257499136.0,1099726848.0,4976635904.0,64.0,0.0
20-04 18:31:58,10.362,2.247,87.391,0.0,0.0,0.0,0.0,0.0,750702592.0,257499136.0,1099726848.0,5033648128.0,0.0,0.0
20-04 18:31:59,10.388,2.128,87.484,0.0,0.0,0.0,0.0,0.0,762204160.0,257499136.0,1099726848.0,5022146560.0,124.0,0.0
20-04 18:32:00,10.263,2.128,87.359,0.250,0.0,0.0,0.0,20480.0,776630272.0,257499136.0,1099726848.0,5007720448.0,240.0,0.0
20-04 18:32:01,10.375,2.250,87.375,0.0,0.0,0.0,0.0,0.0,791674880.0,257499136.0,1099726848.0,4992675840.0,124.0,0.0
20-04 18:32:02,10.388,2.003,87.610,0.0,0.0,0.0,0.0,0.0,804282368.0,257499136.0,1099726848.0,4980068352.0,0.0,0.0
20-04 18:32:03,10.250,2.250,87.500,0.0,0.0,0.0,0.0,0.0,816738304.0,257499136.0,1099726848.0,4967612416.0,64.0,0.0
20-04 18:32:04,10.513,2.003,87.484,0.0,0.0,0.0,0.0,0.0,688623616.0,257499136.0,1099726848.0,5095727104.0,0.0,0.0
20-04 18:32:05,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,701333504.0,257499136.0,1099726848.0,5083017216.0,64.0,0.0
20-04 18:32:06,10.500,2.0,87.250,0.250,0.0,0.0,0.0,12288.0,713404416.0,257503232.0,1099726848.0,5070942208.0,0.0,0.0
20-04 18:32:07,10.513,1.877,87.610,0.0,0.0,0.0,0.0,8192.0,726622208.0,257503232.0,1099726848.0,5057724416.0,64.0,0.0
