"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int/cauchy_sha_512/microbench-encode-16MB-10.csv",,,,"Date:","19 Apr 2016 22:23:38 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:23:38,7.370,1.251,90.772,0.606,0.0,0.001,51272.105,183659.279,365326336.0,174665728.0,1079398400.0,5522186240.0,0.0,0.0
19-04 22:23:39,6.187,5.934,84.343,3.535,0.0,0.0,0.0,692224.0,395640832.0,174714880.0,1079402496.0,5491818496.0,852.0,258.0
19-04 22:23:40,1.125,11.375,87.500,0.0,0.0,0.0,0.0,0.0,411705344.0,174714880.0,1079640064.0,5475516416.0,818.0,160.0
19-04 22:23:41,4.625,8.0,87.375,0.0,0.0,0.0,0.0,0.0,490344448.0,174714880.0,1079644160.0,5396873216.0,470.0,90.0
19-04 22:23:42,11.0,1.750,87.250,0.0,0.0,0.0,0.0,4096.0,503586816.0,174714880.0,1079648256.0,5383626752.0,480.0,0.0
19-04 22:23:43,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,503803904.0,174714880.0,1079685120.0,5383372800.0,424.0,0.0
19-04 22:23:44,11.765,0.751,87.109,0.375,0.0,0.0,0.0,163840.0,521023488.0,174714880.0,1079685120.0,5366153216.0,366.0,70.0
19-04 22:23:45,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,503803904.0,174714880.0,1079685120.0,5383372800.0,304.0,0.0
19-04 22:23:46,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,504152064.0,174714880.0,1079685120.0,5383024640.0,180.0,0.0
19-04 22:23:47,11.514,1.001,87.484,0.0,0.0,0.0,0.0,0.0,514891776.0,174714880.0,1079685120.0,5372284928.0,484.0,0.0
19-04 22:23:48,11.514,0.876,87.610,0.0,0.0,0.0,0.0,0.0,504152064.0,174714880.0,1079685120.0,5383024640.0,426.0,70.0
19-04 22:23:49,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,503644160.0,174714880.0,1079685120.0,5383532544.0,480.0,0.0
19-04 22:23:50,11.750,0.875,87.125,0.250,0.0,0.0,0.0,12288.0,505249792.0,174714880.0,1079685120.0,5381926912.0,364.0,0.0
19-04 22:23:51,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,505122816.0,174714880.0,1079685120.0,5382053888.0,360.0,0.0
19-04 22:23:52,11.625,0.875,87.500,0.0,0.0,0.0,0.0,8192.0,505217024.0,174714880.0,1079685120.0,5381959680.0,244.0,0.0
19-04 22:23:53,11.765,0.751,87.484,0.0,0.0,0.0,0.0,0.0,504836096.0,174714880.0,1079685120.0,5382340608.0,240.0,0.0
19-04 22:23:54,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,503869440.0,174714880.0,1079685120.0,5383307264.0,184.0,0.0
19-04 22:23:55,11.890,0.626,87.484,0.0,0.0,0.0,0.0,0.0,504758272.0,174714880.0,1079685120.0,5382418432.0,180.0,0.0
19-04 22:23:56,11.640,0.876,87.484,0.0,0.0,0.0,0.0,20480.0,504573952.0,174714880.0,1079685120.0,5382602752.0,244.0,0.0
19-04 22:23:57,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,521412608.0,174714880.0,1079685120.0,5365764096.0,360.0,0.0
19-04 22:23:58,11.640,0.751,87.610,0.0,0.0,0.0,0.0,0.0,504541184.0,174714880.0,1079685120.0,5382635520.0,244.0,0.0
19-04 22:23:59,11.890,0.626,87.484,0.0,0.0,0.0,0.0,0.0,505049088.0,174714880.0,1079685120.0,5382127616.0,120.0,0.0
19-04 22:24:00,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,505049088.0,174714880.0,1079685120.0,5382127616.0,424.0,0.0
19-04 22:24:01,11.625,0.875,86.875,0.625,0.0,0.0,0.0,12288.0,505049088.0,174714880.0,1079685120.0,5382127616.0,240.0,0.0
19-04 22:24:02,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,505081856.0,174714880.0,1079685120.0,5382094848.0,244.0,0.0
19-04 22:24:03,11.514,1.001,87.484,0.0,0.0,0.0,0.0,0.0,505462784.0,174714880.0,1079685120.0,5381713920.0,60.0,0.0
19-04 22:24:04,11.139,1.377,87.484,0.0,0.0,0.0,0.0,0.0,499838976.0,174714880.0,1079685120.0,5387337728.0,184.0,0.0
19-04 22:24:05,8.575,2.648,87.390,1.387,0.0,0.0,0.0,114688.0,369553408.0,174714880.0,1079676928.0,5517631488.0,1.84467440737e+19,1.84467440737e+19
