"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int/xor_sha_512/microbench-decode-64MB-10.csv",,,,"Date:","20 Apr 2016 19:03:47 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 19:03:47,2.518,0.466,96.898,0.118,0.0,0.000,7918.158,36341.113,394776576.0,259735552.0,1099980800.0,5387083776.0,0.0,0.0
20-04 19:03:48,6.927,6.171,84.257,2.645,0.0,0.0,0.0,684032.0,429932544.0,259756032.0,1099952128.0,5351936000.0,166.0,258.0
20-04 19:03:49,0.375,12.140,87.484,0.0,0.0,0.0,0.0,0.0,442691584.0,259756032.0,1100259328.0,5338869760.0,372.0,160.0
20-04 19:03:50,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,455114752.0,259756032.0,1100292096.0,5326413824.0,458.0,90.0
20-04 19:03:51,0.250,12.500,87.250,0.0,0.0,0.0,0.0,0.0,467808256.0,259756032.0,1100300288.0,5313712128.0,64.0,0.0
20-04 19:03:52,0.0,12.625,87.375,0.0,0.0,0.0,0.0,0.0,480063488.0,259756032.0,1100300288.0,5301456896.0,0.0,0.0
20-04 19:03:53,0.0,12.500,87.375,0.125,0.0,0.0,0.0,167936.0,492331008.0,259760128.0,1100300288.0,5289185280.0,64.0,70.0
20-04 19:03:54,3.0,9.500,87.500,0.0,0.0,0.0,0.0,0.0,499638272.0,259760128.0,1100300288.0,5281878016.0,126.0,0.0
20-04 19:03:55,10.362,2.247,87.391,0.0,0.0,0.0,0.0,0.0,616235008.0,259760128.0,1100304384.0,5165277184.0,64.0,0.0
20-04 19:03:56,10.401,2.005,87.594,0.0,0.0,0.0,0.0,0.0,727126016.0,259760128.0,1100304384.0,5054386176.0,0.0,0.0
20-04 19:03:57,10.362,2.247,87.391,0.0,0.0,0.0,0.0,0.0,740241408.0,259760128.0,1100304384.0,5041270784.0,64.0,70.0
20-04 19:03:58,9.750,2.750,87.500,0.0,0.0,0.0,0.0,0.0,773943296.0,259760128.0,1100304384.0,5007568896.0,126.0,0.0
20-04 19:03:59,10.763,1.752,86.984,0.501,0.0,0.0,0.0,16384.0,835555328.0,259768320.0,1100304384.0,4945948672.0,64.0,0.0
20-04 19:04:00,9.863,2.747,87.391,0.0,0.0,0.0,0.0,0.0,822337536.0,259768320.0,1100304384.0,4959166464.0,0.0,0.0
20-04 19:04:01,10.250,2.250,87.500,0.0,0.0,0.0,0.0,0.0,835428352.0,259768320.0,1100304384.0,4946075648.0,64.0,0.0
20-04 19:04:02,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,834732032.0,259768320.0,1100304384.0,4946771968.0,0.0,0.0
20-04 19:04:03,10.0,2.625,87.375,0.0,0.0,0.0,0.0,0.0,854241280.0,259768320.0,1100304384.0,4927262720.0,0.0,0.0
20-04 19:04:04,10.763,1.752,86.984,0.501,0.0,0.0,0.0,24576.0,761016320.0,259768320.0,1100304384.0,5020487680.0,64.0,0.0
20-04 19:04:05,9.512,2.879,87.610,0.0,0.0,0.0,0.0,0.0,788045824.0,259768320.0,1100304384.0,4993458176.0,0.0,0.0
20-04 19:04:06,10.612,1.998,87.391,0.0,0.0,0.0,0.0,0.0,853987328.0,259768320.0,1100304384.0,4927516672.0,64.0,0.0
20-04 19:04:07,9.887,2.628,87.484,0.0,0.0,0.0,0.0,0.0,836067328.0,259768320.0,1100304384.0,4945436672.0,0.0,0.0
20-04 19:04:08,10.250,2.250,87.500,0.0,0.0,0.0,0.0,0.0,854241280.0,259768320.0,1100304384.0,4927262720.0,64.0,0.0
