"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int/xor_sha_512/microbench-encode-16MB-9.csv",,,,"Date:","19 Apr 2016 22:48:18 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:48:18,7.578,1.410,90.403,0.609,0.0,0.001,45673.437,180618.839,370343936.0,185884672.0,1083932672.0,5501415424.0,0.0,0.0
19-04 22:48:19,6.726,5.838,84.518,2.919,0.0,0.0,0.0,700416.0,406990848.0,185942016.0,1084178432.0,5464465408.0,608.0,168.0
19-04 22:48:20,0.750,11.875,87.375,0.0,0.0,0.0,0.0,4096.0,422993920.0,185942016.0,1084260352.0,5448380416.0,988.0,250.0
19-04 22:48:21,5.257,7.134,87.610,0.0,0.0,0.0,0.0,0.0,479543296.0,185942016.0,1084235776.0,5391855616.0,540.0,90.0
19-04 22:48:22,11.139,1.502,87.359,0.0,0.0,0.0,0.0,0.0,512217088.0,185942016.0,1084239872.0,5359177728.0,484.0,0.0
19-04 22:48:23,10.889,1.502,87.610,0.0,0.0,0.0,0.0,0.0,528662528.0,185942016.0,1084256256.0,5342715904.0,300.0,0.0
19-04 22:48:24,11.111,1.498,87.391,0.0,0.0,0.0,0.0,159744.0,528535552.0,185954304.0,1084243968.0,5342842880.0,490.0,70.0
19-04 22:48:25,11.153,1.253,87.594,0.0,0.0,0.0,0.0,135168.0,529031168.0,185954304.0,1084256256.0,5342334976.0,120.0,0.0
19-04 22:48:26,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,498307072.0,185954304.0,1084256256.0,5373059072.0,124.0,0.0
19-04 22:48:27,11.153,1.253,87.594,0.0,0.0,0.0,0.0,0.0,512286720.0,185954304.0,1084256256.0,5359079424.0,480.0,0.0
19-04 22:48:28,11.361,1.248,87.391,0.0,0.0,0.0,0.0,0.0,528490496.0,185954304.0,1084256256.0,5342875648.0,430.0,70.0
19-04 22:48:29,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,528617472.0,185954304.0,1084256256.0,5342748672.0,270.0,0.0
19-04 22:48:30,11.250,1.250,86.875,0.625,0.0,0.0,0.0,57344.0,529276928.0,185958400.0,1084256256.0,5342085120.0,304.0,0.0
19-04 22:48:31,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,508997632.0,185958400.0,1084256256.0,5362364416.0,360.0,0.0
19-04 22:48:32,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,525041664.0,185958400.0,1084256256.0,5346320384.0,484.0,0.0
19-04 22:48:33,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,540610560.0,185958400.0,1084256256.0,5330751488.0,240.0,0.0
19-04 22:48:34,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,540913664.0,185958400.0,1084256256.0,5330448384.0,364.0,0.0
19-04 22:48:35,11.264,1.252,87.109,0.375,0.0,0.0,0.0,32768.0,540913664.0,185962496.0,1084252160.0,5330448384.0,360.0,0.0
19-04 22:48:36,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,541544448.0,185962496.0,1084256256.0,5329813504.0,484.0,0.0
19-04 22:48:37,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,510853120.0,185962496.0,1084256256.0,5360504832.0,180.0,0.0
