"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int_sign/aes_rsa_sha_512/microbench-decode-64MB-7.csv",,,,"Date:","20 Apr 2016 18:16:35 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:16:35,2.216,0.374,97.274,0.135,0.0,0.000,8131.923,38330.030,395030528.0,261136384.0,1097723904.0,5387685888.0,0.0,0.0
20-04 18:16:36,6.250,5.867,84.949,2.934,0.0,0.0,0.0,589824.0,426774528.0,261152768.0,1097670656.0,5355978752.0,372.0,90.0
20-04 18:16:37,1.373,11.236,87.391,0.0,0.0,0.0,0.0,0.0,444772352.0,261152768.0,1097928704.0,5337722880.0,458.0,168.0
20-04 18:16:38,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,456769536.0,261152768.0,1098010624.0,5325643776.0,230.0,250.0
20-04 18:16:39,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,469135360.0,261152768.0,1098047488.0,5313241088.0,0.0,0.0
20-04 18:16:40,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,481378304.0,261152768.0,1098047488.0,5300998144.0,64.0,0.0
20-04 18:16:41,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,491864064.0,261152768.0,1098047488.0,5290512384.0,126.0,0.0
20-04 18:16:42,1.001,11.389,87.234,0.375,0.0,0.0,0.0,151552.0,510427136.0,261156864.0,1098047488.0,5271945216.0,64.0,70.0
20-04 18:16:43,10.986,1.623,87.391,0.0,0.0,0.0,0.0,0.0,687976448.0,261156864.0,1098047488.0,5094395904.0,0.0,0.0
20-04 18:16:44,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,659824640.0,261156864.0,1098047488.0,5122547712.0,64.0,0.0
20-04 18:16:45,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,660078592.0,261156864.0,1098047488.0,5122293760.0,126.0,0.0
20-04 18:16:46,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,727375872.0,261156864.0,1098047488.0,5054996480.0,64.0,70.0
20-04 18:16:47,10.986,1.623,87.391,0.0,0.0,0.0,0.0,0.0,698970112.0,261156864.0,1098047488.0,5083402240.0,0.0,0.0
20-04 18:16:48,11.250,1.250,87.125,0.375,0.0,0.0,0.0,12288.0,727339008.0,261160960.0,1098047488.0,5055029248.0,64.0,0.0
20-04 18:16:49,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,684253184.0,261160960.0,1098047488.0,5098115072.0,0.0,0.0
20-04 18:16:50,11.236,1.373,87.391,0.0,0.0,0.0,0.0,0.0,659787776.0,261160960.0,1098047488.0,5122580480.0,64.0,0.0
20-04 18:16:51,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,617209856.0,261160960.0,1098047488.0,5165158400.0,0.0,0.0
20-04 18:16:52,10.889,1.627,87.484,0.0,0.0,0.0,0.0,0.0,727408640.0,261160960.0,1098047488.0,5054959616.0,64.0,0.0
20-04 18:16:53,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,727154688.0,261160960.0,1098047488.0,5055213568.0,0.0,0.0
20-04 18:16:54,10.750,1.750,87.250,0.250,0.0,0.0,0.0,20480.0,705413120.0,261169152.0,1098047488.0,5076946944.0,64.0,0.0
20-04 18:16:55,11.875,0.625,87.500,0.0,0.0,0.0,0.0,0.0,660357120.0,261169152.0,1098047488.0,5122002944.0,0.0,0.0
20-04 18:16:56,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,660103168.0,261169152.0,1098047488.0,5122256896.0,64.0,0.0
20-04 18:16:57,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,727527424.0,261169152.0,1098047488.0,5054832640.0,0.0,0.0
20-04 18:16:58,11.014,1.627,87.359,0.0,0.0,0.0,0.0,0.0,661168128.0,261169152.0,1098047488.0,5121191936.0,64.0,0.0
20-04 18:16:59,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,727384064.0,261169152.0,1098047488.0,5054976000.0,0.0,0.0
20-04 18:17:00,11.640,0.876,87.234,0.250,0.0,0.0,0.0,16384.0,683782144.0,261177344.0,1098047488.0,5098569728.0,64.0,0.0
20-04 18:17:01,10.889,1.877,87.234,0.0,0.0,0.0,0.0,0.0,660353024.0,261177344.0,1098047488.0,5121998848.0,0.0,0.0
20-04 18:17:02,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,727597056.0,261177344.0,1098047488.0,5054754816.0,64.0,0.0
20-04 18:17:03,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,716357632.0,261177344.0,1098047488.0,5065994240.0,0.0,0.0
20-04 18:17:04,10.861,1.748,87.391,0.0,0.0,0.0,0.0,0.0,727478272.0,261177344.0,1098047488.0,5054873600.0,64.0,0.0
20-04 18:17:05,11.389,1.001,83.605,4.005,0.0,0.0,0.0,348160.0,682541056.0,261185536.0,1098039296.0,5099810816.0,0.0,0.0
20-04 18:17:06,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,660291584.0,261185536.0,1098047488.0,5122052096.0,64.0,0.0
20-04 18:17:07,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,609067008.0,261185536.0,1098051584.0,5173272576.0,0.0,0.0
20-04 18:17:08,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,727584768.0,261185536.0,1098051584.0,5054754816.0,64.0,0.0
20-04 18:17:09,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,727711744.0,261185536.0,1098051584.0,5054627840.0,0.0,0.0
20-04 18:17:10,11.014,1.377,86.859,0.751,0.0,0.0,0.0,122880.0,699297792.0,261185536.0,1098051584.0,5083041792.0,64.0,0.0
20-04 18:17:11,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,660279296.0,261185536.0,1098051584.0,5122060288.0,0.0,0.0
20-04 18:17:12,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,660279296.0,261185536.0,1098051584.0,5122060288.0,64.0,0.0
20-04 18:17:13,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,727576576.0,261185536.0,1098051584.0,5054763008.0,0.0,0.0
20-04 18:17:14,11.014,1.377,87.610,0.0,0.0,0.0,0.0,0.0,661434368.0,261185536.0,1098051584.0,5120905216.0,64.0,0.0
20-04 18:17:15,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,727314432.0,261185536.0,1098051584.0,5055025152.0,0.0,0.0
20-04 18:17:16,11.890,0.626,87.234,0.250,0.0,0.0,0.0,40960.0,667324416.0,261185536.0,1098051584.0,5115015168.0,64.0,0.0
20-04 18:17:17,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,660271104.0,261185536.0,1098051584.0,5122068480.0,0.0,0.0
20-04 18:17:18,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,727695360.0,261185536.0,1098051584.0,5054644224.0,64.0,0.0
20-04 18:17:19,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,709775360.0,261185536.0,1098051584.0,5072564224.0,0.0,0.0
20-04 18:17:20,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,727695360.0,261185536.0,1098051584.0,5054644224.0,64.0,0.0
20-04 18:17:21,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,690900992.0,261185536.0,1098051584.0,5091438592.0,0.0,0.0
20-04 18:17:22,11.486,0.999,87.141,0.375,0.0,0.0,0.0,12288.0,660238336.0,261185536.0,1098051584.0,5122101248.0,64.0,0.0
20-04 18:17:23,11.139,1.252,87.610,0.0,0.0,0.0,0.0,0.0,617533440.0,261185536.0,1098051584.0,5164806144.0,0.0,0.0
20-04 18:17:24,11.139,1.377,87.484,0.0,0.0,0.0,0.0,0.0,727408640.0,261185536.0,1098051584.0,5054930944.0,64.0,0.0
20-04 18:17:25,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,727535616.0,261185536.0,1098051584.0,5054803968.0,0.0,0.0
20-04 18:17:26,10.889,1.502,87.610,0.0,0.0,0.0,0.0,0.0,697159680.0,261185536.0,1098051584.0,5085179904.0,64.0,0.0
20-04 18:17:27,11.486,1.124,87.391,0.0,0.0,0.0,0.0,0.0,660492288.0,261185536.0,1098051584.0,5121847296.0,0.0,0.0
20-04 18:17:28,11.014,1.377,87.359,0.250,0.0,0.0,0.0,12288.0,660238336.0,261185536.0,1098051584.0,5122101248.0,64.0,0.0
20-04 18:17:29,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,727662592.0,261185536.0,1098051584.0,5054676992.0,0.0,0.0
20-04 18:17:30,11.125,1.500,87.375,0.0,0.0,0.0,0.0,0.0,727535616.0,261185536.0,1098051584.0,5054803968.0,64.0,0.0
20-04 18:17:31,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,727662592.0,261185536.0,1098051584.0,5054676992.0,0.0,0.0
20-04 18:17:32,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,663097344.0,261185536.0,1098051584.0,5119242240.0,64.0,0.0
20-04 18:17:33,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,660238336.0,261185536.0,1098051584.0,5122101248.0,0.0,0.0
20-04 18:17:34,11.125,1.500,87.125,0.250,0.0,0.0,0.0,12288.0,727662592.0,261185536.0,1098051584.0,5054676992.0,64.0,0.0
20-04 18:17:35,10.875,1.625,87.500,0.0,0.0,0.0,0.0,4096.0,697159680.0,261185536.0,1098051584.0,5085179904.0,0.0,0.0
20-04 18:17:36,10.902,1.504,87.594,0.0,0.0,0.0,0.0,0.0,727535616.0,261185536.0,1098051584.0,5054803968.0,64.0,0.0
20-04 18:17:37,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,676188160.0,261185536.0,1098051584.0,5106151424.0,0.0,0.0
20-04 18:17:38,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,660365312.0,261185536.0,1098051584.0,5121974272.0,64.0,0.0
20-04 18:17:39,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,600629248.0,261185536.0,1098051584.0,5181710336.0,0.0,0.0
20-04 18:17:40,11.0,1.500,87.125,0.375,0.0,0.0,0.0,73728.0,727662592.0,261185536.0,1098051584.0,5054676992.0,64.0,0.0
20-04 18:17:41,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,727654400.0,261185536.0,1098051584.0,5054685184.0,0.0,0.0
20-04 18:17:42,10.889,1.502,87.610,0.0,0.0,0.0,0.0,0.0,695054336.0,261185536.0,1098051584.0,5087285248.0,64.0,0.0
20-04 18:17:43,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,660353024.0,261185536.0,1098055680.0,5121982464.0,0.0,0.0
20-04 18:17:44,10.986,1.623,87.391,0.0,0.0,0.0,0.0,0.0,660353024.0,261185536.0,1098055680.0,5121982464.0,64.0,0.0
20-04 18:17:45,10.889,1.502,87.610,0.0,0.0,0.0,0.0,8192.0,727650304.0,261185536.0,1098055680.0,5054685184.0,0.0,0.0
20-04 18:17:46,11.014,1.502,87.234,0.250,0.0,0.0,0.0,20480.0,727646208.0,261189632.0,1098055680.0,5054685184.0,64.0,0.0
20-04 18:17:47,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,727519232.0,261189632.0,1098055680.0,5054812160.0,0.0,0.0
20-04 18:17:48,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,660348928.0,261189632.0,1098055680.0,5121982464.0,64.0,0.0
20-04 18:17:49,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,660348928.0,261189632.0,1098055680.0,5121982464.0,0.0,0.0
20-04 18:17:50,11.278,1.128,87.594,0.0,0.0,0.0,0.0,0.0,727646208.0,261189632.0,1098055680.0,5054685184.0,64.0,0.0
20-04 18:17:51,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,689008640.0,261189632.0,1098055680.0,5093322752.0,0.0,0.0
20-04 18:17:52,10.763,1.627,87.359,0.250,0.0,0.0,0.0,12288.0,727646208.0,261189632.0,1098055680.0,5054685184.0,64.0,0.0
20-04 18:17:53,11.610,0.999,87.391,0.0,0.0,0.0,0.0,0.0,667783168.0,261189632.0,1098055680.0,5114548224.0,0.0,0.0
20-04 18:17:54,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,660348928.0,261189632.0,1098055680.0,5121982464.0,64.0,0.0
20-04 18:17:55,11.389,1.001,87.610,0.0,0.0,0.0,0.0,0.0,727519232.0,261189632.0,1098055680.0,5054812160.0,0.0,0.0
20-04 18:17:56,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,727519232.0,261189632.0,1098055680.0,5054812160.0,64.0,0.0
20-04 18:17:57,11.014,1.377,87.610,0.0,0.0,0.0,0.0,0.0,727519232.0,261189632.0,1098055680.0,5054812160.0,0.0,0.0
20-04 18:17:58,11.236,1.373,87.016,0.375,0.0,0.0,0.0,12288.0,684687360.0,261189632.0,1098055680.0,5097644032.0,64.0,0.0
20-04 18:17:59,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,660348928.0,261189632.0,1098055680.0,5121982464.0,0.0,0.0
20-04 18:18:00,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,660348928.0,261189632.0,1098055680.0,5121982464.0,64.0,0.0
20-04 18:18:01,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,727519232.0,261189632.0,1098055680.0,5054812160.0,0.0,0.0
20-04 18:18:02,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,727932928.0,261189632.0,1098055680.0,5054398464.0,64.0,0.0
20-04 18:18:03,10.638,1.752,87.610,0.0,0.0,0.0,0.0,0.0,727552000.0,261189632.0,1098055680.0,5054779392.0,0.0,0.0
20-04 18:18:04,11.875,0.625,87.250,0.250,0.0,0.0,0.0,12288.0,660381696.0,261189632.0,1098055680.0,5121949696.0,64.0,0.0
20-04 18:18:05,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,660348928.0,261189632.0,1098055680.0,5121982464.0,0.0,0.0
20-04 18:18:06,11.236,1.373,87.391,0.0,0.0,0.0,0.0,0.0,727519232.0,261189632.0,1098055680.0,5054812160.0,64.0,0.0
20-04 18:18:07,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,686911488.0,261189632.0,1098055680.0,5095419904.0,0.0,0.0
20-04 18:18:08,10.902,1.504,87.594,0.0,0.0,0.0,0.0,0.0,727519232.0,261189632.0,1098055680.0,5054812160.0,64.0,0.0
20-04 18:18:09,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,665305088.0,261189632.0,1098055680.0,5117026304.0,0.0,0.0
20-04 18:18:10,11.139,1.377,87.234,0.250,0.0,0.0,0.0,12288.0,660348928.0,261189632.0,1098055680.0,5121982464.0,64.0,0.0
20-04 18:18:11,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,727900160.0,261189632.0,1098055680.0,5054431232.0,0.0,0.0
20-04 18:18:12,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,727519232.0,261189632.0,1098055680.0,5054812160.0,64.0,0.0
20-04 18:18:13,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,727900160.0,261189632.0,1098055680.0,5054431232.0,0.0,0.0
20-04 18:18:14,11.014,1.377,87.610,0.0,0.0,0.0,0.0,0.0,686911488.0,261189632.0,1098055680.0,5095419904.0,64.0,0.0
20-04 18:18:15,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,660348928.0,261189632.0,1098055680.0,5121982464.0,0.0,0.0
20-04 18:18:16,10.763,1.752,87.359,0.125,0.0,0.0,0.0,16384.0,660344832.0,261193728.0,1098055680.0,5121982464.0,64.0,0.0
20-04 18:18:17,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,727515136.0,261193728.0,1098055680.0,5054812160.0,0.0,0.0
20-04 18:18:18,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,727764992.0,261193728.0,1098059776.0,5054558208.0,64.0,0.0
20-04 18:18:19,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,727511040.0,261193728.0,1098059776.0,5054812160.0,0.0,0.0
20-04 18:18:20,11.890,0.626,87.484,0.0,0.0,0.0,0.0,0.0,662945792.0,261193728.0,1098059776.0,5119377408.0,64.0,0.0
20-04 18:18:21,10.875,1.625,86.625,0.875,0.0,0.0,0.0,20480.0,660332544.0,261201920.0,1098059776.0,5121982464.0,0.0,0.0
20-04 18:18:22,11.139,1.252,87.610,0.0,0.0,0.0,0.0,0.0,727883776.0,261201920.0,1098059776.0,5054431232.0,64.0,0.0
20-04 18:18:23,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,705769472.0,261201920.0,1098059776.0,5076545536.0,0.0,0.0
20-04 18:18:24,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,727883776.0,261201920.0,1098059776.0,5054431232.0,64.0,0.0
20-04 18:18:25,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,693186560.0,261201920.0,1098059776.0,5089128448.0,0.0,0.0
20-04 18:18:26,11.375,1.125,86.500,1.0,0.0,0.0,0.0,12288.0,660332544.0,261201920.0,1098059776.0,5121982464.0,64.0,0.0
20-04 18:18:27,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,613433344.0,261201920.0,1098059776.0,5168881664.0,0.0,0.0
20-04 18:18:28,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,727502848.0,261201920.0,1098059776.0,5054812160.0,64.0,0.0
20-04 18:18:29,10.889,1.502,87.610,0.0,0.0,0.0,0.0,0.0,727756800.0,261201920.0,1098059776.0,5054558208.0,0.0,0.0
20-04 18:18:30,11.111,1.498,87.391,0.0,0.0,0.0,0.0,0.0,705769472.0,261201920.0,1098059776.0,5076545536.0,64.0,0.0
20-04 18:18:31,11.765,0.626,86.984,0.626,0.0,0.0,0.0,12288.0,660836352.0,261206016.0,1098059776.0,5121474560.0,0.0,0.0
20-04 18:18:32,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,660328448.0,261206016.0,1098059776.0,5121982464.0,0.0,0.0
20-04 18:18:33,11.139,1.377,87.484,0.0,0.0,0.0,0.0,0.0,727879680.0,261206016.0,1098059776.0,5054431232.0,64.0,0.0
20-04 18:18:34,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,661610496.0,261206016.0,1098059776.0,5120700416.0,0.0,0.0
20-04 18:18:35,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,727879680.0,261206016.0,1098059776.0,5054431232.0,64.0,0.0
20-04 18:18:36,12.140,1.001,86.108,0.751,0.0,0.0,0.0,12288.0,688353280.0,261206016.0,1098059776.0,5093957632.0,0.0,0.0
20-04 18:18:37,10.902,1.504,87.594,0.0,0.0,0.0,0.0,0.0,660328448.0,261206016.0,1098059776.0,5121982464.0,64.0,0.0
20-04 18:18:38,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,727752704.0,261206016.0,1098059776.0,5054558208.0,0.0,0.0
20-04 18:18:39,11.028,1.378,87.594,0.0,0.0,0.0,0.0,0.0,727244800.0,261206016.0,1098059776.0,5055066112.0,64.0,0.0
20-04 18:18:40,11.236,1.373,87.391,0.0,0.0,0.0,0.0,0.0,727752704.0,261206016.0,1098059776.0,5054558208.0,0.0,0.0
