"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int_sign/aes_rsa_sha_512/microbench-encode-4MB-7.csv",,,,"Date:","19 Apr 2016 21:51:50 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 21:51:50,6.696,1.162,91.401,0.741,0.0,0.001,60970.610,211563.764,357969920.0,170852352.0,1078173696.0,5534580736.0,0.0,0.0
19-04 21:51:51,4.442,5.584,84.898,5.076,0.0,0.0,0.0,811008.0,379461632.0,170934272.0,1078190080.0,5512990720.0,332.0,180.0
19-04 21:51:52,5.632,6.884,87.484,0.0,0.0,0.0,0.0,0.0,423088128.0,170934272.0,1078501376.0,5469052928.0,206.0,78.0
19-04 21:51:53,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,439164928.0,170934272.0,1078497280.0,5452980224.0,458.0,250.0
19-04 21:51:54,11.514,1.001,87.484,0.0,0.0,0.0,0.0,0.0,434548736.0,170934272.0,1078497280.0,5457596416.0,64.0,0.0
19-04 21:51:55,11.375,1.250,87.375,0.0,0.0,0.0,0.0,0.0,437960704.0,170934272.0,1078542336.0,5454139392.0,0.0,0.0
19-04 21:51:56,11.389,1.001,87.610,0.0,0.0,0.0,0.0,0.0,438214656.0,170934272.0,1078542336.0,5453885440.0,64.0,0.0
19-04 21:51:57,11.389,1.126,87.109,0.375,0.0,0.0,0.0,163840.0,434593792.0,170938368.0,1078538240.0,5457506304.0,126.0,70.0
19-04 21:51:58,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,440279040.0,170938368.0,1078542336.0,5451816960.0,64.0,0.0
19-04 21:51:59,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,440614912.0,170938368.0,1078542336.0,5451481088.0,0.0,0.0
19-04 21:52:00,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,435585024.0,170938368.0,1078542336.0,5456510976.0,64.0,0.0
