"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int_sign/cauchy_rsa_sha_512/microbench-decode-64MB-6.csv",,,,"Date:","20 Apr 2016 18:46:58 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:46:58,2.394,0.408,97.062,0.136,0.0,0.000,7958.386,38026.574,396779520.0,262684672.0,1098215424.0,5383897088.0,0.0,0.0
20-04 18:46:59,6.369,6.242,84.459,2.930,0.0,0.0,0.0,589824.0,429588480.0,262688768.0,1098338304.0,5350961152.0,308.0,90.0
20-04 18:47:00,1.128,11.278,87.594,0.0,0.0,0.0,0.0,0.0,448057344.0,262688768.0,1098575872.0,5332254720.0,688.0,168.0
20-04 18:47:01,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,458715136.0,262688768.0,1098530816.0,5321641984.0,0.0,250.0
20-04 18:47:02,0.0,12.641,87.359,0.0,0.0,0.0,0.0,0.0,470970368.0,262688768.0,1098539008.0,5309378560.0,64.0,0.0
20-04 18:47:03,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,481443840.0,262688768.0,1098539008.0,5298905088.0,0.0,0.0
20-04 18:47:04,0.0,12.500,87.375,0.125,0.0,0.0,0.0,143360.0,494153728.0,262692864.0,1098534912.0,5286195200.0,190.0,0.0
20-04 18:47:05,1.373,11.236,87.391,0.0,0.0,0.0,0.0,0.0,513806336.0,262692864.0,1098539008.0,5266538496.0,0.0,70.0
20-04 18:47:06,11.640,0.876,87.484,0.0,0.0,0.0,0.0,0.0,647557120.0,262692864.0,1098543104.0,5132783616.0,64.0,0.0
20-04 18:47:07,10.401,2.005,87.594,0.0,0.0,0.0,0.0,0.0,822288384.0,262692864.0,1098543104.0,4958052352.0,0.0,0.0
20-04 18:47:08,9.625,3.0,87.375,0.0,0.0,0.0,0.0,0.0,756457472.0,262692864.0,1098543104.0,5023883264.0,190.0,0.0
20-04 18:47:09,11.014,1.377,87.610,0.0,0.0,0.0,0.0,0.0,756711424.0,262692864.0,1098543104.0,5023629312.0,0.0,70.0
20-04 18:47:10,10.889,1.627,87.359,0.125,0.0,0.0,0.0,16384.0,689160192.0,262692864.0,1098543104.0,5091180544.0,64.0,0.0
