"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int_sign/cauchy_rsa_sha_512/microbench-encode-64MB-9.csv",,,,"Date:","19 Apr 2016 22:53:07 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:53:07,7.550,1.398,90.339,0.712,0.0,0.001,44758.648,190986.869,379285504.0,195698688.0,1088204800.0,5478387712.0,0.0,0.0
19-04 22:53:08,6.321,5.942,84.576,3.161,0.0,0.0,0.0,589824.0,412913664.0,195760128.0,1088237568.0,5444665344.0,608.0,180.0
19-04 22:53:09,1.128,11.278,87.594,0.0,0.0,0.0,0.0,8192.0,428941312.0,195764224.0,1088266240.0,5428604928.0,762.0,78.0
19-04 22:53:10,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,443006976.0,195764224.0,1088503808.0,5414301696.0,346.0,250.0
19-04 22:53:11,0.125,12.516,87.359,0.0,0.0,0.0,0.0,0.0,453029888.0,195764224.0,1088552960.0,5404229632.0,244.0,0.0
19-04 22:53:12,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,465448960.0,195764224.0,1088552960.0,5391810560.0,240.0,0.0
19-04 22:53:13,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,478031872.0,195764224.0,1088552960.0,5379227648.0,310.0,0.0
19-04 22:53:14,1.253,11.153,87.469,0.125,0.0,0.0,0.0,180224.0,501022720.0,195768320.0,1088552960.0,5356232704.0,60.0,70.0
19-04 22:53:15,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,660602880.0,195768320.0,1088557056.0,5196648448.0,364.0,0.0
19-04 22:53:16,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,804638720.0,195768320.0,1088557056.0,5052612608.0,360.0,0.0
19-04 22:53:17,9.500,3.0,87.500,0.0,0.0,0.0,0.0,0.0,737976320.0,195768320.0,1088557056.0,5119275008.0,550.0,0.0
19-04 22:53:18,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,737562624.0,195768320.0,1088557056.0,5119688704.0,120.0,70.0
19-04 22:53:19,10.652,1.880,86.842,0.627,0.0,0.0,0.0,16384.0,675086336.0,195776512.0,1088557056.0,5182156800.0,364.0,0.0
19-04 22:53:20,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,736956416.0,195776512.0,1088557056.0,5120286720.0,240.0,0.0
19-04 22:53:21,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,736829440.0,195776512.0,1088557056.0,5120413696.0,124.0,0.0
19-04 22:53:22,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,737685504.0,195776512.0,1088557056.0,5119557632.0,300.0,0.0
19-04 22:53:23,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,737685504.0,195776512.0,1088557056.0,5119557632.0,304.0,0.0
19-04 22:53:24,10.250,2.250,86.875,0.625,0.0,0.0,0.0,20480.0,737968128.0,195780608.0,1088557056.0,5119270912.0,300.0,0.0
19-04 22:53:25,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,760082432.0,195780608.0,1088557056.0,5097156608.0,364.0,0.0
19-04 22:53:26,10.763,1.752,87.484,0.0,0.0,0.0,0.0,0.0,737681408.0,195780608.0,1088557056.0,5119557632.0,480.0,0.0
19-04 22:53:27,11.139,1.252,87.610,0.0,0.0,0.0,0.0,0.0,738189312.0,195780608.0,1088557056.0,5119049728.0,244.0,0.0
19-04 22:53:28,10.487,2.122,87.391,0.0,0.0,0.0,0.0,0.0,738062336.0,195780608.0,1088557056.0,5119176704.0,180.0,0.0
19-04 22:53:29,11.139,1.377,86.859,0.626,0.0,0.0,0.0,12288.0,737935360.0,195780608.0,1088557056.0,5119303680.0,424.0,0.0
19-04 22:53:30,10.388,2.128,87.484,0.0,0.0,0.0,0.0,0.0,742682624.0,195780608.0,1088557056.0,5114556416.0,240.0,0.0
19-04 22:53:31,10.638,1.752,87.610,0.0,0.0,0.0,0.0,0.0,756658176.0,195780608.0,1088557056.0,5100580864.0,244.0,0.0
19-04 22:53:32,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,756658176.0,195780608.0,1088557056.0,5100580864.0,120.0,0.0
19-04 22:53:33,11.139,1.377,87.484,0.0,0.0,0.0,0.0,0.0,756404224.0,195780608.0,1088557056.0,5100834816.0,124.0,0.0
19-04 22:53:34,11.153,1.253,86.466,1.128,0.0,0.0,0.0,909312.0,644431872.0,195780608.0,1088557056.0,5212807168.0,0.0,0.0
19-04 22:53:35,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,690294784.0,195780608.0,1088557056.0,5166944256.0,304.0,0.0
19-04 22:53:36,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,806035456.0,195780608.0,1088557056.0,5051203584.0,60.0,0.0
19-04 22:53:37,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,756531200.0,195780608.0,1088557056.0,5100707840.0,304.0,0.0
19-04 22:53:38,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,756748288.0,195780608.0,1088561152.0,5100486656.0,60.0,0.0
19-04 22:53:39,10.750,1.750,87.250,0.250,0.0,0.0,0.0,262144.0,756621312.0,195780608.0,1088561152.0,5100613632.0,244.0,0.0
19-04 22:53:40,11.028,1.504,87.469,0.0,0.0,0.0,0.0,0.0,756805632.0,195780608.0,1088561152.0,5100429312.0,240.0,0.0
19-04 22:53:41,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,742141952.0,195780608.0,1088561152.0,5115092992.0,184.0,0.0
19-04 22:53:42,10.763,1.752,87.484,0.0,0.0,0.0,0.0,0.0,756248576.0,195780608.0,1088561152.0,5100986368.0,360.0,0.0
19-04 22:53:43,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,756883456.0,195780608.0,1088561152.0,5100351488.0,364.0,0.0
19-04 22:53:44,10.986,1.498,87.141,0.375,0.0,0.0,0.0,61440.0,756334592.0,195788800.0,1088561152.0,5100892160.0,420.0,0.0
19-04 22:53:45,10.889,1.627,87.484,0.0,0.0,0.0,0.0,0.0,637943808.0,195788800.0,1088561152.0,5219282944.0,364.0,0.0
19-04 22:53:46,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,689938432.0,195788800.0,1088561152.0,5167288320.0,240.0,0.0
19-04 22:53:47,10.612,1.998,87.391,0.0,0.0,0.0,0.0,0.0,799260672.0,195788800.0,1088561152.0,5057966080.0,304.0,0.0
19-04 22:53:48,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,756301824.0,195788800.0,1088561152.0,5100924928.0,540.0,0.0
19-04 22:53:49,11.389,1.126,87.234,0.250,0.0,0.0,0.0,16384.0,756428800.0,195788800.0,1088561152.0,5100797952.0,304.0,0.0
19-04 22:53:50,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,765792256.0,195788800.0,1088561152.0,5091434496.0,360.0,0.0
19-04 22:53:51,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,765411328.0,195788800.0,1088561152.0,5091815424.0,364.0,0.0
19-04 22:53:52,10.750,1.875,87.375,0.0,0.0,0.0,0.0,0.0,761663488.0,195788800.0,1088561152.0,5095563264.0,120.0,0.0
19-04 22:53:53,10.889,1.502,87.610,0.0,0.0,0.0,0.0,0.0,765493248.0,195788800.0,1088561152.0,5091733504.0,424.0,0.0
19-04 22:53:54,10.500,2.0,86.875,0.625,0.0,0.0,0.0,24576.0,765460480.0,195788800.0,1088561152.0,5091766272.0,240.0,0.0
19-04 22:53:55,11.014,1.377,87.610,0.0,0.0,0.0,0.0,0.0,765333504.0,195788800.0,1088561152.0,5091893248.0,304.0,0.0
19-04 22:53:56,11.111,1.498,87.391,0.0,0.0,0.0,0.0,0.0,648912896.0,195788800.0,1088561152.0,5208313856.0,120.0,0.0
19-04 22:53:57,10.513,2.003,87.484,0.0,0.0,0.0,0.0,0.0,671707136.0,195788800.0,1088561152.0,5185519616.0,364.0,0.0
19-04 22:53:58,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,799776768.0,195788800.0,1088561152.0,5057449984.0,0.0,0.0
19-04 22:53:59,10.763,1.752,86.984,0.501,0.0,0.0,0.0,12288.0,738066432.0,195792896.0,1088561152.0,5119156224.0,244.0,0.0
19-04 22:54:00,11.250,1.375,87.375,0.0,0.0,0.0,0.0,0.0,738193408.0,195792896.0,1088561152.0,5119029248.0,0.0,0.0
19-04 22:54:01,10.388,2.003,87.610,0.0,0.0,0.0,0.0,0.0,738390016.0,195792896.0,1088561152.0,5118832640.0,304.0,0.0
19-04 22:54:02,10.902,1.504,87.594,0.0,0.0,0.0,0.0,0.0,737976320.0,195792896.0,1088561152.0,5119246336.0,420.0,0.0
19-04 22:54:03,10.250,2.250,87.500,0.0,0.0,0.0,0.0,0.0,736706560.0,195792896.0,1088561152.0,5120516096.0,364.0,0.0
19-04 22:54:04,10.861,1.748,86.517,0.874,0.0,0.0,0.0,12288.0,737972224.0,195796992.0,1088561152.0,5119246336.0,240.0,0.0
19-04 22:54:05,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,738226176.0,195796992.0,1088561152.0,5118992384.0,184.0,0.0
19-04 22:54:06,10.889,1.502,87.610,0.0,0.0,0.0,0.0,0.0,738193408.0,195796992.0,1088561152.0,5119025152.0,180.0,0.0
19-04 22:54:07,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,659394560.0,195796992.0,1088561152.0,5197824000.0,424.0,0.0
