"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int_sign/xor_rsa_sha_512/microbench-decode-4MB-10.csv",,,,"Date:","20 Apr 2016 18:22:45 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:22:45,2.358,0.369,97.131,0.141,0.0,0.000,8100.587,38622.586,392515584.0,260079616.0,1095880704.0,5393100800.0,0.0,0.0
20-04 18:22:46,6.480,5.718,84.752,2.922,0.0,0.127,0.0,618496.0,426868736.0,260120576.0,1096048640.0,5358538752.0,474.0,258.0
20-04 18:22:47,6.625,5.875,87.500,0.0,0.0,0.0,0.0,0.0,469057536.0,260120576.0,1096200192.0,5316198400.0,356.0,160.0
20-04 18:22:48,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,483106816.0,260120576.0,1096200192.0,5302149120.0,166.0,90.0
20-04 18:22:49,11.500,1.125,87.375,0.0,0.0,0.0,0.0,303104.0,475627520.0,260120576.0,1096200192.0,5309628416.0,64.0,0.0
20-04 18:22:50,11.139,1.377,87.484,0.0,0.0,0.0,0.0,0.0,483348480.0,260120576.0,1096212480.0,5301895168.0,0.0,0.0
20-04 18:22:51,10.889,1.502,87.109,0.501,0.0,0.0,0.0,147456.0,475713536.0,260120576.0,1096212480.0,5309530112.0,190.0,70.0
20-04 18:22:52,11.250,1.375,87.375,0.0,0.0,0.0,0.0,0.0,483336192.0,260120576.0,1096212480.0,5301907456.0,0.0,0.0
20-04 18:22:53,11.500,1.125,87.375,0.0,0.0,0.0,0.0,0.0,476798976.0,260120576.0,1096212480.0,5308444672.0,64.0,0.0
20-04 18:22:54,10.750,1.750,87.500,0.0,0.0,0.0,0.0,8192.0,483786752.0,260120576.0,1096212480.0,5301456896.0,0.0,0.0
