"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_int_sign/xor_rsa_sha_512/microbench-encode-16MB-4.csv",,,,"Date:","19 Apr 2016 22:19:43 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:19:43,7.345,1.136,90.792,0.726,0.0,0.001,52413.984,196708.561,359411712.0,174911488.0,1078980608.0,5528272896.0,0.0,0.0
19-04 22:19:44,6.566,5.303,84.596,3.535,0.0,0.0,0.0,708608.0,390631424.0,174981120.0,1079095296.0,5496868864.0,710.0,90.0
19-04 22:19:45,1.001,11.514,87.484,0.0,0.0,0.0,0.0,0.0,408981504.0,174981120.0,1079361536.0,5478252544.0,668.0,168.0
19-04 22:19:46,4.370,8.240,87.391,0.0,0.0,0.0,0.0,0.0,454053888.0,174981120.0,1079406592.0,5433135104.0,882.0,250.0
19-04 22:19:47,11.028,1.504,87.469,0.0,0.0,0.0,0.0,0.0,505737216.0,174981120.0,1079410688.0,5381447680.0,300.0,0.0
19-04 22:19:48,11.610,0.999,87.391,0.0,0.0,0.0,0.0,0.0,505552896.0,174981120.0,1079410688.0,5381632000.0,364.0,0.0
19-04 22:19:49,11.514,1.001,84.856,2.628,0.0,0.0,0.0,724992.0,505520128.0,174981120.0,1079410688.0,5381664768.0,360.0,0.0
19-04 22:19:50,11.654,0.752,87.594,0.0,0.0,0.0,0.0,0.0,505520128.0,174981120.0,1079410688.0,5381664768.0,370.0,70.0
19-04 22:19:51,11.610,0.999,87.391,0.0,0.0,0.0,0.0,0.0,507076608.0,174981120.0,1079410688.0,5380108288.0,120.0,0.0
19-04 22:19:52,11.640,0.751,87.610,0.0,0.0,0.0,0.0,0.0,539557888.0,174981120.0,1079410688.0,5347627008.0,124.0,0.0
19-04 22:19:53,11.514,1.001,87.484,0.0,0.0,0.0,0.0,0.0,539811840.0,174981120.0,1079410688.0,5347373056.0,300.0,0.0
19-04 22:19:54,11.750,0.750,87.500,0.0,0.0,0.0,0.0,245760.0,539852800.0,174981120.0,1079410688.0,5347332096.0,550.0,70.0
19-04 22:19:55,11.500,1.0,87.125,0.375,0.0,0.0,0.0,69632.0,539217920.0,174985216.0,1079406592.0,5347966976.0,300.0,0.0
19-04 22:19:56,11.640,0.751,87.610,0.0,0.0,0.0,0.0,0.0,539217920.0,174985216.0,1079406592.0,5347966976.0,604.0,0.0
19-04 22:19:57,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,539439104.0,174985216.0,1079406592.0,5347745792.0,420.0,0.0
19-04 22:19:58,11.860,0.749,87.391,0.0,0.0,0.0,0.0,0.0,539815936.0,174985216.0,1079410688.0,5347364864.0,364.0,0.0
19-04 22:19:59,11.529,0.877,87.594,0.0,0.0,0.0,0.0,0.0,539181056.0,174985216.0,1079410688.0,5347999744.0,240.0,0.0
19-04 22:20:00,11.625,0.875,86.875,0.625,0.0,0.0,0.0,20480.0,539181056.0,174989312.0,1079406592.0,5347999744.0,364.0,0.0
19-04 22:20:01,11.640,0.751,87.610,0.0,0.0,0.0,0.0,0.0,539402240.0,174989312.0,1079406592.0,5347778560.0,300.0,0.0
19-04 22:20:02,11.625,1.0,87.375,0.0,0.0,0.0,0.0,0.0,539652096.0,174989312.0,1079410688.0,5347524608.0,544.0,0.0
19-04 22:20:03,11.765,0.626,87.610,0.0,0.0,0.0,0.0,0.0,539811840.0,174989312.0,1079410688.0,5347364864.0,300.0,0.0
19-04 22:20:04,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,539144192.0,174989312.0,1079410688.0,5348032512.0,364.0,0.0
19-04 22:20:05,11.514,0.876,86.859,0.751,0.0,0.0,0.0,12288.0,539144192.0,174993408.0,1079406592.0,5348032512.0,420.0,0.0
19-04 22:20:06,11.765,0.751,87.484,0.0,0.0,0.0,0.0,0.0,539394048.0,174993408.0,1079410688.0,5347778560.0,724.0,0.0
19-04 22:20:07,11.735,0.874,87.391,0.0,0.0,0.0,0.0,0.0,539742208.0,174993408.0,1079410688.0,5347430400.0,420.0,0.0
19-04 22:20:08,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,539107328.0,174993408.0,1079410688.0,5348065280.0,364.0,0.0
19-04 22:20:09,11.640,0.751,87.610,0.0,0.0,0.0,0.0,0.0,539107328.0,174993408.0,1079410688.0,5348065280.0,330.0,0.0
19-04 22:20:10,11.514,1.001,86.608,0.876,0.0,0.0,0.0,12288.0,539455488.0,175001600.0,1079402496.0,5347717120.0,364.0,0.0
19-04 22:20:11,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,541814784.0,175001600.0,1079402496.0,5345357824.0,480.0,0.0
19-04 22:20:12,10.638,1.126,87.860,0.375,0.0,0.0,0.0,16384.0,373493760.0,175001600.0,1079410688.0,5513670656.0,1012.0,648.0
